,Key,model_1,model_2
0,Red,0.0,0.0
1,Blue,20.8597,8.3209
2,Green,11.8575,10.8856
3,Orange,0.0,0.0
4,Yellow,0.0,0.0
5,Pink,2.1788,0.0
6,Red2,20.8597,8.3209
7,Blue2,0.0,0.0
8,Green2,0.0,0.0
9,Orange2,0.0,0.0
10,Yellow2,0.0,0.0
11,Pink2,0.0,0.0
