,Key,model_1,model_2
0,Red,14.3468,6.3706
1,Blue,2.8038,4.1074
2,Green,10.6567,4.5872
3,Orange,26.356,6.4174
4,Yellow,21.204,8.0843
5,Pink,28.1027,17.7557
6,Red2,2.8038,4.1074
7,Blue2,26.356,6.4174
8,Green2,10.7345,4.3566
9,Orange2,21.204,8.0843
10,Yellow2,14.3468,6.3706
11,Pink2,26.356,6.4174
