,Key,model_1,model_2
0,Red,0.0,0.0
1,Blue,3.8348,0.0
2,Green,2.5078,0.0
3,Orange,5.1812,0.0
4,Yellow,2.0346,0.0
5,Pink,8.5818,3.3489
6,Red2,3.8348,0.0
7,Blue2,5.1812,0.0
8,Green2,0.0,0.0
9,Orange2,2.0346,0.0
10,Yellow2,0.0,0.0
11,Pink2,5.1812,0.0
