,Key,model_1,model_2
0,Red,25.7813,13.4861
1,Blue,11.3486,6.9584
2,Green,50.1818,17.8378
3,Orange,9.1557,12.4485
4,Yellow,15.1965,8.0486
5,Pink,11.1513,10.782
6,Red2,11.3486,6.9584
7,Blue2,9.1557,12.4485
8,Green2,17.1364,10.6667
9,Orange2,15.1965,8.0486
10,Yellow2,25.7813,13.4861
11,Pink2,9.1557,12.4485
