,Key,model_1,model_2
0,Red,13.3494,8.9098
1,Blue,18.9626,10.5563
2,Green,9.8211,27.0745
3,Orange,16.0321,10.5394
4,Yellow,24.9007,25.5913
5,Pink,20.9259,18.2678
6,Red2,18.9626,10.5563
7,Blue2,16.0321,10.5394
8,Green2,9.0046,6.5578
9,Orange2,24.9007,25.5913
10,Yellow2,13.3494,8.9098
11,Pink2,16.0321,10.5394
