,Key,model_1,model_2
0,Red,0.0,0.0
1,Blue,0.0,0.0
2,Green,11.2247,7.2182
3,Orange,6.8612,6.3227
4,Yellow,20.3578,9.5694
5,Pink,3.1955,2.9841
6,Red2,0.0,0.0
7,Blue2,6.8612,6.3227
8,Green2,3.931,2.2042
9,Orange2,20.3578,9.5694
10,Yellow2,0.0,0.0
11,Pink2,6.8612,6.3227
