,Key,model_1,model_2
0,Red,8.5817,9.8898
1,Blue,0.0,0.0
2,Green,18.6864,9.9401
3,Orange,2.7098,0.0
4,Yellow,3.1639,3.6586
5,Pink,0.0,0.0
6,Red2,0.0,0.0
7,Blue2,2.7098,0.0
8,Green2,0.0,0.0
9,Orange2,3.1639,3.6586
10,Yellow2,8.5817,9.8898
11,Pink2,2.7098,0.0
