,Key,model_1,model_2
0,Red,7.9169,7.0566
1,Blue,24.9972,10.0277
2,Green,29.1182,9.6237
3,Orange,6.4026,2.509
4,Yellow,0.0,0.0
5,Pink,6.0697,2.1811
6,Red2,24.9972,10.0277
7,Blue2,6.4026,2.509
8,Green2,0.0,0.0
9,Orange2,0.0,0.0
10,Yellow2,7.9169,7.0566
11,Pink2,6.4026,2.509
