Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Yellow2_X,Yellow2_Y,Pink2_X
0.1999,0.1453,0.2681,15.6623,11.7683,0.4989,0.1305,1.9693,1.1547,2.2358,1.391,66.917,2.0519,0.3363,1.6958,635.9172,0.269,0.7053,1.0272,0.5527,1.5025,54.5108
0.2998,0.1386,0.2616,16.7861,11.0891,0.4098,0.1546,1.6343,1.0493,1.6456,1.6444,69.4162,1.8761,0.3055,1.4643,675.3948,0.2544,0.6722,1.0064,0.4895,1.3876,54.0393
0.3997,0.1304,0.2535,17.748,5.8069,0.2929,0.1749,1.3867,0.9592,1.3399,1.5119,56.8867,1.7214,0.2808,1.3297,667.2134,0.2384,0.6333,0.9662,0.4571,1.2955,51.7169
0.4997,0.123,0.2459,18.6709,11.8575,0.165,0.1881,1.3846,0.9241,1.5812,1.0153,69.823,1.6421,0.2728,1.3421,605.0968,0.2263,0.6026,0.9068,0.4559,1.2351,47.7106
0.5996,0.1181,0.2404,19.5021,7.0644,0.0845,0.1924,1.5739,0.9455,1.9786,0.3321,69.5975,1.6377,0.28,1.4067,507.1375,0.2212,0.588,0.8332,0.4516,1.1752,42.9979
0.6995,0.1166,0.2373,20.177,10.8856,0.1676,0.1873,1.7655,0.9873,2.1788,0.743,56.1285,1.655,0.2908,1.3989,414.9626,0.2227,0.59,0.7537,0.4147,1.0779,39.3029
0.7995,0.1181,0.2364,20.6421,9.0972,0.2835,0.1733,1.8293,1.0068,2.0648,1.5329,42.0319,1.6316,0.2929,1.2596,379.3906,0.2275,0.6017,0.6765,0.3415,0.9315,38.1548
0.8994,0.1212,0.2362,20.8597,5.7685,0.3815,0.1521,1.7185,0.9772,1.6533,2.0978,28.0608,1.5299,0.2796,1.0057,405.7769,0.2312,0.6131,0.605,0.2564,0.7611,39.4684
0.9993,0.124,0.2353,20.8084,7.1894,0.4498,0.1262,1.449,0.8927,1.0503,2.31,15.5552,1.3477,0.2508,0.73,443.1174,0.2302,0.6153,0.537,0.2071,0.6192,41.5601
1.0993,0.1251,0.232,20.4823,2.1368,0.483,0.0998,1.09,0.7662,0.4813,2.1411,4.5451,1.1166,0.2131,0.6056,448.2068,0.2226,0.6032,0.468,0.2168,0.5497,42.6536
1.1992,0.1234,0.2256,19.8894,4.0199,0.4794,0.0794,0.776,0.6271,0.5545,1.6758,5.0592,0.8995,0.1783,0.6994,408.0529,0.2084,0.576,0.3947,0.2393,0.534,41.8735
1.2991,0.1185,0.2157,19.0509,1.4612,0.4406,0.0725,0.6998,0.5164,0.9193,1.1764,12.9764,0.7752,0.1601,0.8273,335.1451,0.1894,0.5371,0.3188,0.2334,0.5123,39.3941
1.3991,0.1105,0.2028,17.9995,2.6426,0.3712,0.0801,0.8438,0.468,1.0851,1.1581,18.9868,0.7729,0.1622,0.8572,264.877,0.1688,0.4932,0.2458,0.1947,0.4517,36.2108
1.499,0.1005,0.188,16.7784,1.7835,0.2783,0.0941,0.9864,0.4729,0.9942,1.6173,22.5575,0.8255,0.1727,0.7657,244.2859,0.1508,0.4526,0.183,0.147,0.3635,33.6153
1.5989,0.0896,0.173,15.4398,1.2855,0.1713,0.1069,1.0118,0.4862,0.6876,2.0409,23.5565,0.8501,0.1775,0.6027,275.1798,0.139,0.4229,0.1356,0.1334,0.2927,32.3606
1.6989,0.0796,0.1597,14.0445,1.1072,0.067,0.1143,0.8983,0.472,0.257,2.1939,22.6692,0.8066,0.1694,0.4878,309.196,0.1348,0.4074,0.1031,0.1573,0.2802,32.1097
1.7988,0.0723,0.1495,12.6598,1.4677,0.0744,0.115,0.6781,0.4187,0.1848,2.0297,20.2342,0.6962,0.1482,0.5295,313.2878,0.1357,0.403,0.0791,0.1755,0.3,31.9401
1.8987,0.0688,0.143,11.3586,1.5946,0.1643,0.1086,0.4378,0.3346,0.5312,1.6198,16.8184,0.5517,0.1193,0.6417,280.954,0.1378,0.4025,0.0576,0.1654,0.301,31.3468
1.9987,0.0687,0.1394,10.2145,2.6172,0.2402,0.0959,0.3656,0.2465,0.7072,1.1549,12.9081,0.4375,0.0937,0.6988,225.4537,0.1373,0.3981,0.038,0.1308,0.2654,30.7597
2.0986,0.0703,0.1371,9.2936,3.5576,0.2915,0.0785,0.5121,0.2029,0.6842,0.9678,8.1658,0.4219,0.085,0.6557,177.9576,0.1322,0.3847,0.0233,0.0968,0.2096,31.2802
2.1985,0.0716,0.1342,8.6396,3.0744,0.3146,0.0585,0.6606,0.2308,0.4837,1.1642,2.968,0.4839,0.0941,0.5291,173.7416,0.1223,0.3606,0.0172,0.0986,0.1738,33.6569
2.2984,0.0712,0.1291,8.2576,3.4604,0.309,0.0395,0.7135,0.2842,0.1719,1.3937,3.0427,0.5433,0.1064,0.3925,202.5274,0.1085,0.3274,0.0191,0.1216,0.1824,37.4212
2.3984,0.0684,0.1209,8.1075,2.5889,0.2769,0.0283,0.6541,0.3208,0.1852,1.4376,7.4522,0.5532,0.111,0.3671,226.0548,0.0929,0.2895,0.0286,0.1313,0.2023,41.2866
2.4983,0.0628,0.1096,8.116,2.2866,0.2226,0.0319,0.507,0.3276,0.4659,1.2589,10.5902,0.5031,0.1045,0.4535,225.3117,0.0786,0.2534,0.0453,0.1175,0.2001,44.0731
2.5982,0.0551,0.0959,8.1999,1.806,0.1527,0.0426,0.3422,0.3091,0.6219,0.9227,12.3023,0.4072,0.0887,0.5277,200.7812,0.069,0.2265,0.0647,0.0902,0.1721,45.2101
2.6982,0.046,0.081,8.2862,2.1173,0.0758,0.0519,0.3032,0.2811,0.6184,0.5867,13.405,0.3021,0.07,0.5266,166.9137,0.0663,0.2144,0.0823,0.0756,0.1381,44.8298
2.7981,0.0371,0.0668,8.3209,1.8963,0.0284,0.0571,0.4166,0.2636,0.4671,0.5175,13.9513,0.2489,0.059,0.4498,147.0766,0.0693,0.2164,0.0949,0.0887,0.1283,43.6162
2.898,0.0305,0.0557,8.2698,2.2609,0.0878,0.0571,0.5277,0.2671,0.2345,0.6736,13.4908,0.279,0.0626,0.3458,153.7062,0.0748,0.2265,0.1024,0.1043,0.1431,42.4343
2.998,0.0281,0.0497,8.116,1.6738,0.1474,0.0522,0.5619,0.2822,0.2039,0.7633,11.8539,0.3345,0.0732,0.3077,171.1045,0.0798,0.2376,0.1071,0.1036,0.1537,41.8226
3.0979,0.0297,0.0488,7.8557,1.1131,0.1903,0.0431,0.5037,0.2915,0.4242,0.6934,8.7962,0.3623,0.0804,0.3669,179.5512,0.0826,0.2446,0.1121,0.086,0.1454,41.6778
3.1978,0.033,0.0504,7.495,0.9334,0.2128,0.0311,0.3701,0.2843,0.5781,0.4815,4.8891,0.345,0.0795,0.4338,172.0012,0.0826,0.2448,0.1181,0.0663,0.1234,41.4442
3.2978,0.0355,0.0515,7.0471,0.6266,0.2138,0.0179,0.2156,0.2597,0.6026,0.2091,1.2905,0.2864,0.0702,0.4448,152.6511,0.0798,0.2374,0.1229,0.0664,0.1061,40.6206
3.3977,0.036,0.0503,6.5296,0.4249,0.1943,0.009,0.1932,0.2261,0.4961,0.1854,1.6704,0.2053,0.0554,0.3901,133.0289,0.0747,0.2232,0.1228,0.0805,0.1064,39.1462
3.4976,0.0342,0.0458,5.9625,1.3834,0.1574,0.0156,0.3172,0.198,0.3033,0.3752,4.0777,0.1404,0.0412,0.3019,124.9407,0.068,0.2038,0.1162,0.0868,0.1127,37.4631
3.5976,0.03,0.0385,5.3672,1.6078,0.1081,0.0258,0.419,0.1863,0.1759,0.4596,6.3807,0.1441,0.0363,0.2552,129.1711,0.0612,0.1821,0.1037,0.0779,0.1091,36.2407
3.6975,0.0242,0.0291,4.7644,1.0647,0.0535,0.0336,0.446,0.1871,0.3137,0.4067,8.7578,0.189,0.0419,0.2966,136.1189,0.056,0.1622,0.0886,0.0602,0.0936,35.8714
3.7974,0.0181,0.0202,4.1737,1.9992,0.0274,0.038,0.3894,0.1855,0.4615,0.2499,10.5409,0.2199,0.0487,0.3582,138.2388,0.0543,0.1494,0.0743,0.0525,0.0786,36.1105
3.8974,0.0144,0.0173,3.613,0.7772,0.0712,0.0387,0.2656,0.1699,0.5104,0.1548,10.9348,0.218,0.0506,0.3767,134.7064,0.0569,0.1476,0.0627,0.0633,0.0796,36.2346
3.9973,0.0159,0.0233,3.0976,1.971,0.1149,0.0356,0.1289,0.1379,0.4453,0.3209,9.9765,0.1832,0.046,0.337,129.0172,0.0628,0.157,0.0524,0.0745,0.0907,35.5221
4.0972,0.0211,0.0324,2.6401,1.2061,0.1463,0.0295,0.168,0.099,0.2918,0.4817,7.9914,0.126,0.0363,0.2614,124.8284,0.0697,0.1729,0.0428,0.0736,0.0961,33.612
4.1972,0.0264,0.0405,2.2501,1.8396,0.1621,0.0211,0.3058,0.0819,0.1335,0.5425,5.8419,0.0714,0.0255,0.2121,122.9972,0.0757,0.1895,0.0384,0.0613,0.0906,30.6028
4.2971,0.0305,0.0461,1.9334,1.9364,0.1614,0.0116,0.4017,0.1085,0.2024,0.4911,4.141,0.0756,0.0211,0.2435,122.2856,0.0793,0.2024,0.0465,0.0495,0.0811,26.9655
4.397,0.0324,0.0484,1.69,1.2521,0.1451,0.0048,0.4253,0.1479,0.3367,0.3713,2.2607,0.1187,0.0264,0.3022,122.0747,0.0799,0.2089,0.0638,0.0527,0.0785,23.3396
4.497,0.0322,0.0477,1.5132,2.0447,0.1155,0.0107,0.3717,0.1751,0.3943,0.3129,0.757,0.149,0.0332,0.3265,123.0497,0.0775,0.2081,0.0821,0.0633,0.0833,20.257
4.5969,0.0298,0.0443,1.3895,0.7009,0.0769,0.0184,0.2546,0.1804,0.355,0.415,3.2771,0.154,0.0363,0.2985,125.1876,0.073,0.2009,0.0968,0.0665,0.0849,17.906
4.6968,0.026,0.0395,1.3006,1.0966,0.0364,0.0242,0.1102,0.1616,0.2341,0.5497,5.8884,0.1335,0.0342,0.2342,126.1487,0.0677,0.19,0.107,0.0581,0.0767,16.1569
4.7968,0.0218,0.0353,1.2285,0.5678,0.0292,0.0274,0.1156,0.1219,0.0839,0.6134,7.6302,0.0943,0.0281,0.1858,122.5727,0.0637,0.1794,0.1142,0.0442,0.0614,14.8944
4.8967,0.0191,0.0342,1.1583,0.7131,0.0639,0.0279,0.2466,0.0683,0.1369,0.5785,7.9372,0.0529,0.0213,0.2098,113.0026,0.0624,0.1732,0.1206,0.0404,0.0519,14.3038
4.9966,0.0197,0.037,1.0806,0.099,0.0961,0.0256,0.3381,0.0128,0.2583,0.4708,7.538,0.0526,0.0195,0.2659,100.1982,0.0639,0.1736,0.1269,0.0504,0.057,14.7059
5.0966,0.0231,0.0426,0.9918,1.0761,0.1181,0.0212,0.3638,0.0487,0.311,0.3749,7.1514,0.0879,0.0245,0.2944,91.284,0.0671,0.1793,0.1321,0.0583,0.0656,16.0479
5.1965,0.0276,0.0486,0.8941,0.6554,0.1275,0.0151,0.3197,0.0933,0.2799,0.3969,6.7608,0.1165,0.0305,0.2758,92.3257,0.0699,0.1868,0.1337,0.056,0.0665,17.7786
5.2964,0.0315,0.0533,0.797,0.8162,0.1236,0.0083,0.2163,0.1234,0.1773,0.4949,6.0248,0.1275,0.0337,0.2204,100.0692,0.071,0.1919,0.1304,0.0453,0.0599,19.2462
5.3964,0.034,0.0558,0.718,0.766,0.1074,0.0042,0.0763,0.139,0.0502,0.5593,4.3602,0.1193,0.0329,0.1709,105.4337,0.0696,0.1918,0.1225,0.038,0.0557,20.0435
5.4963,0.0345,0.0554,0.6803,0.9047,0.0812,0.0084,0.0746,0.1446,0.1315,0.5421,1.8056,0.0947,0.0283,0.1841,102.2228,0.066,0.1856,0.112,0.0444,0.0619,20.1207
5.5962,0.0331,0.0523,0.701,1.3639,0.0489,0.0137,0.202,0.1462,0.239,0.4492,1.2494,0.0607,0.022,0.2353,90.2197,0.0611,0.1743,0.1014,0.0542,0.0715,19.7592
5.6962,0.0298,0.047,0.7765,1.0959,0.0204,0.0177,0.2848,0.1481,0.283,0.3342,3.1938,0.0336,0.0177,0.2668,75.8499,0.0565,0.1608,0.0915,0.0561,0.0739,19.4299
5.7961,0.0254,0.0403,0.8845,1.8038,0.035,0.0198,0.3078,0.1483,0.2523,0.2976,4.3529,0.046,0.0187,0.256,70.5411,0.0538,0.1494,0.0815,0.0481,0.0666,19.5366
5.896,0.0207,0.0338,0.9994,1.1743,0.0649,0.0198,0.269,0.1408,0.1594,0.3616,4.8896,0.0733,0.0229,0.2084,78.5412,0.054,0.1438,0.0694,0.037,0.0558,20.178
5.996,0.0173,0.0294,1.0995,1.4334,0.0893,0.0179,0.1791,0.1192,0.0645,0.4238,5.7628,0.0925,0.0261,0.1575,89.7309,0.0563,0.1453,0.0547,0.0366,0.054,21.1552
6.0959,0.0167,0.0286,1.1685,1.028,0.1044,0.0143,0.0679,0.0805,0.1441,0.4223,6.8496,0.0983,0.0262,0.1583,93.733,0.0593,0.1513,0.0397,0.0462,0.0629,22.2072
6.1958,0.0188,0.031,1.194,0.6166,0.1085,0.0095,0.0988,0.0257,0.2416,0.3501,7.1755,0.0898,0.0231,0.203,86.6402,0.0614,0.1576,0.0303,0.0524,0.0704,23.2096
6.2957,0.022,0.0344,1.1674,0.6292,0.1016,0.004,0.2061,0.0406,0.283,0.2414,6.4384,0.0691,0.0176,0.2365,70.6945,0.0616,0.1602,0.0321,0.0491,0.0688,24.1929
6.3957,0.0248,0.0369,1.0841,0.3953,0.0846,0.0017,0.2792,0.1106,0.2556,0.1827,4.683,0.0408,0.0122,0.2332,54.5379,0.0596,0.1569,0.04,0.0387,0.0595,25.2213
6.4956,0.0263,0.0375,0.9443,0.6804,0.0595,0.0067,0.3014,0.1753,0.1713,0.2326,2.4019,0.0215,0.0112,0.195,51.3938,0.0557,0.1471,0.0477,0.0317,0.0515,26.2503
6.5955,0.0261,0.0358,0.755,0.2307,0.0295,0.011,0.2709,0.226,0.0853,0.2911,0.8343,0.0418,0.015,0.1481,61.4383,0.0505,0.1315,0.0547,0.0375,0.0536,27.0815
6.6955,0.0242,0.0318,0.5403,0.5691,0.008,0.014,0.2001,0.2557,0.1407,0.2944,0.5605,0.068,0.0187,0.141,71.0769,0.0448,0.1119,0.0629,0.0459,0.0605,27.4425
6.7954,0.0208,0.0257,0.3866,0.2239,0.0358,0.0155,0.1236,0.2606,0.2321,0.2347,1.3263,0.0854,0.02,0.1778,72.4822,0.0394,0.0912,0.0734,0.047,0.0617,27.1249
6.8953,0.0164,0.0185,0.4778,0.454,0.0623,0.0156,0.1238,0.2404,0.2762,0.1398,2.9522,0.0898,0.0183,0.2096,65.2444,0.0349,0.0722,0.0851,0.0393,0.0541,26.0966
6.9953,0.0118,0.0112,0.7677,0.5422,0.082,0.0143,0.1929,0.2002,0.2567,0.1052,4.7732,0.0803,0.0139,0.21,54.8632,0.0313,0.0573,0.0957,0.0292,0.0432,24.5465
7.0952,0.0086,0.0073,1.1192,1.1847,0.093,0.0121,0.25,0.1513,0.1823,0.1769,6.2066,0.0589,0.0078,0.1778,51.1384,0.0282,0.0476,0.104,0.0296,0.0414,22.8415
7.1951,0.0088,0.0105,1.4785,0.8828,0.0944,0.0093,0.2684,0.1182,0.0962,0.2317,6.384,0.0317,0.0035,0.1344,58.1553,0.0253,0.0413,0.1103,0.0389,0.0503,21.3802
7.2951,0.0117,0.0155,1.8176,1.2132,0.0863,0.0068,0.2441,0.1306,0.1238,0.2294,5.4643,0.0243,0.0075,0.1237,68.2059,0.0226,0.0365,0.1164,0.0442,0.0578,20.376
7.395,0.0146,0.0193,2.1151,0.9992,0.0698,0.006,0.1877,0.1749,0.2087,0.1733,4.3036,0.0487,0.012,0.1558,73.8128,0.0206,0.0333,0.1237,0.0409,0.0569,19.7186
7.4949,0.0167,0.021,2.3527,0.7507,0.047,0.0073,0.1288,0.2208,0.2563,0.1092,3.4765,0.0709,0.0142,0.1865,72.823,0.0206,0.0356,0.1323,0.0314,0.049,19.0689
7.5949,0.0173,0.0203,2.5146,0.8302,0.0203,0.0094,0.1228,0.2537,0.2457,0.144,2.9728,0.0815,0.0138,0.1894,67.4242,0.0231,0.0458,0.1406,0.0255,0.0419,18.1083
7.6948,0.0164,0.0176,2.5883,0.5942,0.0076,0.0112,0.1685,0.2681,0.1815,0.2271,2.1565,0.0781,0.0112,0.162,62.3801,0.0275,0.0612,0.1467,0.0312,0.0433,16.7336
7.7947,0.0143,0.0134,2.5646,0.8778,0.0335,0.0123,0.2085,0.2631,0.0929,0.2772,0.7493,0.0623,0.0078,0.1227,61.5327,0.0328,0.0781,0.1496,0.0384,0.0483,15.1096
7.8947,0.0112,0.0093,2.4384,0.6299,0.0551,0.0128,0.2174,0.2411,0.0901,0.2725,1.9937,0.042,0.0077,0.1122,64.1308,0.0383,0.0939,0.1496,0.0386,0.0483,13.5847
7.9946,0.0078,0.0094,2.2092,0.7318,0.0704,0.0127,0.1904,0.2068,0.1687,0.2231,3.6911,0.0391,0.0115,0.1424,66.5736,0.0436,0.107,0.1481,0.031,0.0408,12.4671
8.0945,0.006,0.0143,1.8813,0.4396,0.0779,0.0121,0.1349,0.1675,0.2181,0.18,4.6152,0.0609,0.0157,0.1727,66.7201,0.0486,0.1169,0.1463,0.022,0.0315,11.7528
8.1945,0.0075,0.0204,1.4647,0.3449,0.0772,0.0112,0.072,0.1339,0.2151,0.2144,4.4949,0.0844,0.0182,0.1774,65.1847,0.0533,0.1243,0.1443,0.0241,0.0315,11.0851
8.2944,0.0107,0.0257,0.9779,0.0763,0.0687,0.0102,0.0648,0.1198,0.1611,0.2919,4.1786,0.0983,0.0185,0.1531,63.9961,0.058,0.1306,0.1409,0.033,0.04,10.0263
8.3943,0.0136,0.0295,0.4734,0.2107,0.0535,0.0091,0.1119,0.1304,0.0755,0.3461,4.4523,0.0991,0.0166,0.1155,64.2407,0.0627,0.1377,0.1349,0.0372,0.0456,8.3447
8.4943,0.0157,0.0314,0.3938,0.245,0.0336,0.008,0.1447,0.1537,0.0538,0.35,4.7205,0.0875,0.0133,0.1024,64.9877,0.0672,0.1468,0.1255,0.0332,0.0438,6.1683
8.5942,0.0166,0.0313,0.9325,0.5905,0.0115,0.0068,0.1465,0.1758,0.13,0.3075,4.3535,0.0694,0.0104,0.13,64.7743,0.0715,0.1578,0.1133,0.0244,0.0372,4.2219
8.6941,0.0163,0.0292,1.5416,0.4762,0.0127,0.0057,0.1167,0.1884,0.1765,0.2542,3.1546,0.0574,0.0102,0.1603,63.5712,0.0753,0.1694,0.0997,0.0214,0.0349,4.1345
8.7941,0.0149,0.0259,2.136,0.8681,0.0328,0.0048,0.0635,0.1875,0.1747,0.2489,1.1452,0.0639,0.0125,0.1672,63.0202,0.0782,0.1797,0.0864,0.029,0.0411,5.8869
8.894,0.0129,0.0221,2.6832,0.6438,0.0489,0.0049,0.0255,0.172,0.1259,0.2997,0.9039,0.0804,0.0147,0.1458,64.5601,0.0799,0.1868,0.0743,0.0358,0.0483,7.821
8.9939,0.0108,0.0195,3.1581,0.7269,0.0591,0.0059,0.079,0.1429,0.0456,0.3509,1.8264,0.0927,0.0155,0.1084,67.2989,0.0804,0.1894,0.0632,0.0355,0.0501,9.2757
9.0939,0.0097,0.0196,3.5393,0.6903,0.0627,0.0074,0.1281,0.1032,0.0505,0.3633,2.2145,0.0944,0.0143,0.0893,68.543,0.0796,0.187,0.0521,0.0285,0.0468,10.249
9.1938,0.0103,0.0222,3.8095,0.5001,0.0593,0.0089,0.1529,0.0574,0.1253,0.3291,2.6637,0.0842,0.0115,0.1124,66.2038,0.0776,0.1803,0.0406,0.0217,0.0445,11.0934
9.2937,0.0121,0.026,3.9552,0.8653,0.0497,0.0099,0.1491,0.0116,0.1653,0.268,3.6906,0.0658,0.0077,0.1427,60.5817,0.0746,0.1707,0.0301,0.0254,0.049,12.2413
9.3937,0.0141,0.0294,3.9681,0.4576,0.035,0.0103,0.1212,0.0324,0.159,0.2253,4.9067,0.0473,0.0042,0.152,54.8676,0.0709,0.1602,0.0249,0.0337,0.0565,13.8482
9.4936,0.0157,0.0316,3.8451,1.0257,0.0173,0.0099,0.0854,0.0651,0.1091,0.2382,5.2484,0.0423,0.0035,0.1343,53.4184,0.0667,0.1508,0.0285,0.0369,0.0602,15.6695
9.5935,0.0165,0.032,3.5889,0.5706,0.0062,0.0087,0.0783,0.0853,0.038,0.2761,4.3693,0.0514,0.0047,0.0999,57.0148,0.0623,0.1434,0.0369,0.0326,0.0567,17.2799
9.6935,0.0163,0.0306,3.2076,0.5133,0.0223,0.0068,0.1099,0.0918,0.0746,0.2917,2.909,0.0597,0.005,0.0801,61.6072,0.0579,0.1379,0.0453,0.0233,0.048,18.3417
9.7934,0.0152,0.0274,2.7154,0.5069,0.0378,0.0043,0.1428,0.0863,0.1466,0.2671,1.5098,0.0588,0.0036,0.1017,63.033,0.0535,0.1328,0.0525,0.0186,0.0397,18.753
9.8933,0.0135,0.023,2.1331,0.3825,0.0491,0.0016,0.1572,0.0745,0.1858,0.2098,0.9457,0.0475,0.0011,0.1324,60.1188,0.0488,0.1262,0.0586,0.0245,0.037,18.684
9.9933,0.0115,0.0179,1.492,0.2308,0.0549,0.0017,0.1484,0.0664,0.1803,0.151,0.6639,0.0295,0.0035,0.1443,55.1686,0.0436,0.1166,0.0648,0.0303,0.0373,18.5085
10.0932,0.0101,0.0134,0.8596,0.5666,0.0546,0.0044,0.1216,0.0707,0.133,0.1384,0.3131,0.0214,0.0076,0.1311,52.7996,0.0377,0.1032,0.0719,0.0296,0.0344,18.6079
10.1931,0.0097,0.011,0.5518,0.6731,0.0483,0.0067,0.0926,0.0836,0.0689,0.1654,1.9795,0.0383,0.011,0.1017,55.699,0.0312,0.0864,0.0799,0.0226,0.0275,19.1223
10.293,0.0105,0.0118,0.9914,0.2439,0.0369,0.0084,0.0872,0.094,0.0811,0.1803,3.5173,0.0574,0.0132,0.0835,61.1509,0.024,0.0671,0.0877,0.0164,0.0236,19.8577
10.393,0.0118,0.0141,1.6337,0.6848,0.0215,0.0094,0.1069,0.0944,0.1478,0.1606,4.4666,0.0687,0.0138,0.1006,64.4963,0.0164,0.047,0.0942,0.0213,0.03,20.449
10.4929,0.0129,0.0162,2.2598,0.1461,0.004,0.0095,0.1256,0.0817,0.1907,0.1092,4.3383,0.0695,0.0126,0.1282,63.2043,0.0087,0.028,0.0985,0.0295,0.0389,20.5929
10.5928,0.0134,0.017,2.8158,0.8671,0.0139,0.0088,0.1276,0.0565,0.1914,0.0491,3.3812,0.0606,0.0104,0.14,57.8747,0.0015,0.0125,0.1011,0.0324,0.0426,20.1809
10.6928,0.0131,0.0163,3.2727,0.5029,0.0303,0.0074,0.1103,0.0282,0.1503,0.0581,2.7644,0.0466,0.0082,0.1286,51.8748,0.0051,0.0082,0.1029,0.0282,0.0392,19.3079
10.7927,0.012,0.0141,3.6107,0.8864,0.0434,0.0057,0.0816,0.0409,0.0859,0.1001,2.8078,0.0375,0.0082,0.1015,49.3941,0.0109,0.0159,0.1051,0.0199,0.0317,18.1941
10.8926,0.0104,0.0106,3.8162,0.8644,0.052,0.0043,0.0657,0.0805,0.0687,0.1139,2.728,0.0428,0.0103,0.0828,51.2869,0.016,0.0249,0.1082,0.0169,0.0271,17.0562
10.9926,0.0087,0.0062,3.8817,0.519,0.0553,0.0038,0.0835,0.1168,0.1269,0.0931,2.0636,0.0549,0.0127,0.0966,54.0759,0.0209,0.0362,0.1116,0.0232,0.0291,15.9858
11.0925,0.0076,0.0021,3.8057,0.7855,0.053,0.0047,0.1109,0.1411,0.1729,0.0537,0.7594,0.0633,0.0142,0.1224,54.145,0.0261,0.0517,0.1143,0.0282,0.0313,14.9156
11.1924,0.0077,0.0042,3.5925,0.231,0.0456,0.0059,0.1251,0.1486,0.1807,0.0636,1.6608,0.0638,0.0143,0.1346,50.379,0.032,0.071,0.116,0.0269,0.0277,13.6991
11.2924,0.0088,0.0083,3.252,0.4873,0.0338,0.0068,0.1178,0.1369,0.1477,0.117,2.7381,0.0561,0.0129,0.1251,44.2298,0.0386,0.0927,0.1176,0.0196,0.0181,12.2335
11.3923,0.0103,0.0115,2.7996,0.1645,0.0194,0.0073,0.0895,0.1072,0.0866,0.1561,2.9541,0.0419,0.0103,0.1001,38.7021,0.0456,0.1149,0.1209,0.0133,0.0113,10.5362
11.4922,0.0114,0.0135,2.2556,0.3145,0.0069,0.0072,0.0494,0.0652,0.0485,0.1649,2.6993,0.0253,0.0075,0.0819,36.0499,0.0526,0.136,0.1271,0.0186,0.0205,8.7473
11.5922,0.0119,0.014,1.6461,0.1257,0.0159,0.0068,0.0376,0.0372,0.0987,0.1452,2.7122,0.0147,0.0063,0.0939,35.3886,0.059,0.1545,0.1356,0.0265,0.0302,7.0709
11.6921,0.0116,0.0131,1.0083,0.2642,0.0296,0.0065,0.0749,0.0736,0.1453,0.1203,3.4221,0.0221,0.0085,0.1186,34.0875,0.0646,0.1703,0.1447,0.0289,0.0329,5.6813
11.792,0.0106,0.0111,0.4541,0.1246,0.0405,0.0067,0.1074,0.1242,0.1578,0.1299,3.9971,0.0347,0.0124,0.1311,30.9231,0.0694,0.1837,0.1527,0.0244,0.0277,4.6282
11.892,0.009,0.0091,0.5772,0.3405,0.0472,0.0075,0.1195,0.1651,0.1319,0.1713,3.5518,0.0462,0.0162,0.1225,27.1057,0.0738,0.1959,0.1593,0.0164,0.0186,3.828
11.9919,0.0075,0.009,1.1434,0.2825,0.0492,0.0088,0.1074,0.1884,0.0764,0.2073,2.2911,0.056,0.0192,0.0976,25.2273,0.0781,0.2086,0.165,0.015,0.0172,3.1877
12.0918,0.0067,0.0116,1.7067,0.4578,0.0463,0.01,0.0731,0.1902,0.0275,0.2175,0.7011,0.0635,0.0209,0.077,26.1579,0.0828,0.2228,0.1704,0.0225,0.0254,2.7497
12.1918,0.0072,0.0157,2.2017,0.484,0.039,0.0108,0.0253,0.1704,0.0758,0.2013,0.6296,0.0675,0.0211,0.0868,27.7855,0.0882,0.239,0.1755,0.0279,0.0311,2.6682
12.2917,0.0088,0.0198,2.6027,0.5758,0.0284,0.0109,0.0363,0.1327,0.1207,0.1769,0.99,0.0669,0.0202,0.1123,28.2325,0.0942,0.2565,0.1792,0.0269,0.0298,2.9652
12.3916,0.0105,0.0231,2.8938,0.6837,0.0158,0.0103,0.0842,0.0879,0.1338,0.1747,1.0114,0.0623,0.0189,0.1271,27.9778,0.1003,0.2739,0.1801,0.0203,0.0234,3.4647
12.4916,0.0117,0.0253,3.0659,0.5837,0.0065,0.009,0.1169,0.0665,0.1115,0.2022,1.6769,0.0585,0.0185,0.1212,29.1329,0.1061,0.2898,0.1774,0.0147,0.0216,4.0261
12.5915,0.0123,0.0259,3.1152,0.7133,0.0144,0.0071,0.1267,0.0967,0.0615,0.2329,2.9525,0.0629,0.0201,0.098,32.4635,0.1109,0.303,0.1717,0.0192,0.0303,4.634
12.6914,0.012,0.0252,3.0439,0.4278,0.025,0.0047,0.1113,0.1412,0.0178,0.2438,3.9459,0.0778,0.0231,0.0757,35.8593,0.1147,0.3132,0.1643,0.0266,0.0401,5.3255
12.7914,0.0109,0.0231,2.8594,0.4685,0.033,0.0026,0.0741,0.1751,0.0695,0.2295,4.0478,0.0964,0.026,0.0813,36.5767,0.1174,0.3206,0.1565,0.0293,0.0441,6.0959
12.8913,0.0091,0.0204,2.5743,0.2311,0.0372,0.0026,0.0239,0.1895,0.1096,0.2023,3.1084,0.1111,0.0276,0.106,33.4817,0.1193,0.3261,0.1487,0.0258,0.0406,6.8647
