Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Yellow2_X,Yellow2_Y,Pink2_X
51.4652,0.0047,0.004,1.2025,0.0488,0.0219,0.0036,0.0797,0.131,0.0409,0.0262,1.048,0.3055,0.0509,0.0327,5.7279,0.0511,0.1439,0.0806,0.0085,0.0122,35.1342
51.5652,0.0039,0.0034,1.327,0.1427,0.0265,0.0035,0.0754,0.1164,0.0522,0.0363,1.6373,0.3106,0.0519,0.0261,9.7534,0.0521,0.1465,0.0916,0.0046,0.0083,34.0788
51.6651,0.0031,0.004,1.4546,0.0665,0.0317,0.0038,0.0596,0.0914,0.0524,0.0547,1.5159,0.3067,0.0514,0.029,12.4915,0.0533,0.1488,0.1015,0.0037,0.0057,32.8201
51.765,0.0024,0.0054,1.5686,0.204,0.0356,0.0043,0.0353,0.0605,0.0411,0.0698,0.9772,0.2923,0.0486,0.0371,13.1729,0.0538,0.1496,0.11,0.0071,0.0076,31.4027
51.865,0.0021,0.0069,1.6583,0.0566,0.0372,0.0046,0.0176,0.0359,0.0221,0.0752,0.235,0.2725,0.0445,0.042,11.5501,0.0529,0.1483,0.1165,0.0092,0.0102,29.8313
51.9649,0.0022,0.0081,1.7176,0.1197,0.036,0.0047,0.0394,0.046,0.0135,0.0701,0.4811,0.2561,0.0405,0.0404,8.2866,0.0506,0.1449,0.1208,0.0086,0.0111,28.1055
52.0648,0.0025,0.0088,1.744,0.0882,0.0323,0.0046,0.0672,0.0764,0.0301,0.0596,0.907,0.2499,0.0385,0.0336,6.8026,0.0472,0.1399,0.1232,0.0057,0.0099,26.2798
52.1648,0.0028,0.009,1.7374,0.1681,0.027,0.0045,0.0875,0.1058,0.0426,0.0561,1.0766,0.2527,0.0386,0.0273,10.9262,0.0434,0.1341,0.1241,0.0016,0.0073,24.5088
52.2647,0.0029,0.0085,1.6997,0.115,0.0219,0.0042,0.0963,0.128,0.0441,0.0667,0.7111,0.2565,0.0394,0.0289,16.5876,0.04,0.1281,0.124,0.0034,0.0048,23.0306
52.3646,0.0028,0.0073,1.6346,0.2556,0.0201,0.0039,0.0926,0.1405,0.034,0.0812,0.8992,0.2532,0.039,0.0358,20.6107,0.0377,0.1225,0.1231,0.0061,0.0049,22.0627
52.4646,0.0023,0.0058,1.5466,0.2651,0.0231,0.0035,0.0774,0.1422,0.0153,0.0883,1.266,0.2402,0.0366,0.0403,21.4361,0.0365,0.1174,0.121,0.0064,0.0077,21.6552
52.5645,0.0017,0.004,1.4413,0.1512,0.0289,0.003,0.0545,0.1331,0.0095,0.0835,1.3326,0.221,0.0325,0.0389,18.4783,0.036,0.1124,0.1174,0.0042,0.0111,21.6333
52.6644,0.0009,0.0031,1.3242,0.1778,0.0344,0.0023,0.0318,0.1142,0.0289,0.0692,0.8058,0.2044,0.0285,0.0328,12.5275,0.0354,0.1075,0.1126,0.0007,0.0141,21.7097
52.7644,0.0007,0.0039,1.2013,0.0258,0.0381,0.0016,0.0288,0.0888,0.0413,0.0556,0.2016,0.1983,0.0266,0.0272,8.5392,0.0341,0.1023,0.1071,0.0043,0.0157,21.6728
52.8643,0.0014,0.0058,1.0779,0.1274,0.0392,0.001,0.0455,0.0647,0.0425,0.057,0.6239,0.2032,0.0277,0.0289,14.5319,0.032,0.0971,0.1018,0.0075,0.0152,21.5115
52.9642,0.0022,0.0077,0.9596,0.1179,0.0375,0.0013,0.0605,0.0602,0.0325,0.07,1.2957,0.2113,0.03,0.0352,23.0854,0.0292,0.092,0.0971,0.0085,0.0129,21.4172
53.0642,0.0029,0.0091,0.8515,0.2058,0.0333,0.0023,0.0676,0.0835,0.0148,0.0795,1.4492,0.2138,0.0314,0.039,28.9549,0.0262,0.0878,0.0929,0.0067,0.0117,21.6603
53.1641,0.0033,0.0099,0.759,0.1513,0.0278,0.0033,0.0656,0.1168,0.0135,0.0777,1.1418,0.2074,0.031,0.0368,30.0943,0.0234,0.0846,0.0888,0.0034,0.015,22.4009
53.264,0.0034,0.01,0.6876,0.1246,0.023,0.0042,0.0561,0.1475,0.0322,0.0654,0.7116,0.1947,0.029,0.0298,25.9905,0.0213,0.083,0.0845,0.0048,0.0202,23.5815
53.364,0.0032,0.0094,0.643,0.0721,0.0218,0.0049,0.0416,0.1689,0.0445,0.0516,0.8474,0.1831,0.027,0.0239,18.1684,0.0203,0.0829,0.0807,0.0091,0.0236,25.0031
53.4639,0.0027,0.008,0.6295,0.0635,0.0251,0.0053,0.0256,0.1774,0.0459,0.052,0.8225,0.1801,0.0267,0.0266,13.4302,0.0205,0.0843,0.0783,0.0117,0.0232,26.4987
53.5638,0.0021,0.0061,0.6473,0.0647,0.0304,0.0054,0.0114,0.1712,0.0361,0.0658,0.6637,0.1866,0.0287,0.0342,20.6642,0.022,0.0867,0.0783,0.0114,0.0188,28.0467
53.6638,0.0018,0.0039,0.6923,0.1881,0.0353,0.0052,0.0045,0.151,0.0187,0.0772,0.1895,0.196,0.0315,0.0384,31.2755,0.0244,0.0897,0.0805,0.0081,0.0132,29.7506
53.7637,0.0023,0.0025,0.7573,0.1696,0.0382,0.0047,0.0077,0.1211,0.0129,0.0776,0.6455,0.2007,0.0336,0.0361,38.519,0.0274,0.0929,0.0842,0.0045,0.0141,31.7097
