Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y
21.9195,1.1199,741.1988,400.1806,1181.011,4.1021,1501.979,11.1706,1745.201,8.7103,501.6978,4.2283,380.4601
22.3579,1.1566,1345.272,380.0954,1147.03,5.2542,1346.273,12.8408,1551.665,11.4004,1494.777,5.3535,853.056
22.7963,1.9135,840.9147,367.1474,1160.948,2.9044,1659.361,13.6773,1102.286,6.4692,1007.413,5.7345,500.7648
23.2347,0.9118,371.1675,487.6045,1249.123,7.9005,1663.423,12.8309,987.2115,9.66,1675.718,3.8175,1151.778
23.6731,0.6396,85.1016,633.9634,1276.202,4.8091,2593.285,6.7005,3495.737,10.0721,1240.916,0.526,1026.637
24.1115,0.8238,687.3316,726.2554,1409.468,8.752,2078.671,17.5444,1497.847,5.9844,568.9297,1.5012,286.0777
24.5498,0.6674,277.1324,794.5403,1405.103,6.3191,2831.854,11.6149,2635.991,6.5989,1114.672,1.2317,345.1265
24.9882,0.4007,555.6403,905.541,1181.664,3.82,1859.703,5.7157,2570.678,6.4836,709.155,3.7937,491.0279
25.4266,0.851,269.0253,1113.777,1310.74,4.6087,1004.566,16.0741,1594.302,6.445,599.4559,5.5737,194.3459
25.865,0.9442,552.2206,1270.028,1639.509,1.9061,485.6756,11.0086,2841.14,6.9887,517.0345,6.658,342.6082
26.3034,1.1648,883.0059,1269.87,1661.845,4.7445,1437.359,9.6362,2535.769,5.6284,1126.543,6.6907,571.4979
26.7418,1.4689,894.564,1250.401,1475.634,5.3391,921.6969,13.8529,878.0428,6.5028,879.0544,4.066,250.4182
27.1802,1.3217,280.4942,1261.475,1381.003,2.6294,1042.911,10.2816,1458.037,6.2283,22.2708,4.0664,494.207
27.6186,1.9141,718.4291,1283.215,1283.74,3.0639,785.1944,8.6912,1318.877,6.2121,649.4734,3.9678,168.7897
28.057,0.8952,602.3166,1373.002,1142.235,3.2537,209.429,10.4017,1129.484,6.2638,756.5775,3.1074,386.1186
28.4954,1.4277,1183.687,1325.28,1116.741,2.8969,285.2141,12.1027,755.2632,6.2938,482.9386,2.6102,508.0168
