Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Orange_X,Yellow_X,Yellow_Y,Pink_X,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Pink2_X,Pink2_Y
50.6658,1.0023,0.7403,0.1071,1.9182,0.7713,0.3675,1.0831,0.2684,0.245,0.262,3.6528,0.2702,2.1222,0.3387,0.2471,0.1437,0.8677,0.7417,0.4968,0.3119,0.8297
50.7657,0.4552,0.5516,0.1375,2.0462,0.8725,0.2442,3.7794,0.2713,0.1684,0.7601,3.2092,0.4222,1.4546,0.6346,0.1367,0.1647,1.6943,0.3803,0.1315,0.062,0.4403
50.8657,0.06,0.1868,0.0893,0.6845,0.7136,0.3245,0.2691,0.2485,0.2903,0.1126,4.6204,0.3802,0.5342,0.7029,0.1232,0.1593,1.7189,1.3304,0.6655,0.2176,0.7296
50.9656,0.2484,0.2021,0.3046,2.1417,0.2931,0.1201,3.9163,0.2874,0.4853,0.327,4.5268,0.09,1.0219,0.6333,0.1873,0.0883,1.3895,1.1129,0.8254,0.2722,0.7394
51.0655,0.4289,0.4264,0.3625,2.3848,0.5547,0.2808,1.0105,0.2501,0.39,0.6817,3.1946,0.3932,1.8825,0.5042,0.2827,0.0346,1.1528,1.0012,0.7104,0.4369,0.8973
51.1655,0.5738,0.4422,0.1395,0.6644,1.1398,0.2175,3.6926,0.288,0.3384,0.8378,1.4941,0.4261,2.1181,0.7761,0.3284,0.11,0.8216,1.0597,0.3511,0.4699,1.0938
51.2654,0.5649,0.2929,0.294,1.9753,1.3329,0.5594,2.1575,0.2477,0.2648,0.6137,2.5253,0.385,2.3276,0.8681,0.2332,0.1374,1.2309,0.5791,0.3149,0.2403,0.7913
51.3653,0.33,0.1832,0.4705,2.4434,0.9797,0.5922,3.0907,0.2735,0.1856,0.451,2.2256,0.5316,2.27,0.7499,0.0707,0.1398,1.1358,0.9772,0.4042,0.006,0.3701
51.4653,0.3214,0.2356,0.2977,0.9279,0.3631,0.1408,2.9873,0.2624,0.5613,0.2123,1.3838,0.4308,1.5801,0.4737,0.0788,0.1351,1.476,1.303,0.3961,0.1511,0.5847
51.5652,0.6,0.4549,0.1669,2.1226,0.6215,0.3249,2.3874,0.2697,0.5004,0.461,1.2037,0.0899,0.6575,0.1655,0.2157,0.071,1.4241,1.4221,0.5214,0.2175,0.5898
51.6651,0.7382,0.6722,0.335,2.5368,0.6766,0.548,3.9239,0.2781,0.534,0.4661,0.5386,0.2153,0.2013,0.2326,0.3438,0.0326,0.5218,0.9915,0.4814,0.4074,0.8054
