Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Orange_X,Yellow_X,Yellow_Y,Pink_X,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Pink2_X,Pink2_Y
58.7603,0.2546,0.4541,0.1577,1.7702,1.0244,0.1757,3.2105,0.2621,0.6383,1.1809,3.0025,1.0623,4.9669,0.3993,0.1253,0.0754,1.0894,2.248,0.5597,0.3607,0.8773
58.8603,0.4628,0.4838,0.1087,0.9952,0.4388,0.5768,1.1644,0.3011,0.5454,0.5436,3.6765,0.7986,4.9802,0.2502,0.2134,0.0133,1.2664,1.4242,0.4964,0.3045,1.0136
58.9602,0.8876,0.5801,0.2577,0.9315,0.4155,0.3531,2.7773,0.2711,0.6479,0.3443,3.5086,0.5663,4.0725,0.3974,0.2574,0.0498,1.5351,1.0441,0.4548,0.2985,1.1164
59.0601,0.9714,0.6385,0.1792,1.9107,0.8428,0.7674,1.4476,0.2552,0.2677,0.1935,4.0053,0.4296,2.9031,0.5261,0.2385,0.0838,1.4844,1.3944,0.2772,0.277,0.8753
59.1601,1.0777,0.8729,0.2376,1.2146,0.7474,1.1067,2.2512,0.2349,0.3179,0.9664,3.3083,0.3623,1.3815,0.551,0.1281,0.121,0.6744,1.6182,0.3006,0.3444,0.8589
59.26,1.8593,1.2678,0.3041,0.4747,0.496,0.6278,2.1135,0.2852,0.4006,0.4063,2.9651,0.1119,0.7114,0.5361,0.0587,0.1271,0.4452,1.8884,0.5195,0.3834,0.8163
59.3599,2.6039,1.84,0.146,1.5837,0.9559,0.1622,2.0272,0.2915,0.1758,0.5335,2.9637,0.5577,2.5734,0.7393,0.2068,0.0696,0.9924,2.0071,0.3356,0.3176,0.6386
59.4599,2.8629,2.1813,0.2038,1.2754,1.0244,0.4479,2.3567,0.2731,1.2271,0.4882,0.8097,0.7631,3.9042,0.6053,0.2953,0.019,1.5889,1.5443,0.3403,0.3061,0.854
59.5598,2.7005,1.9124,0.2923,0.4627,0.3203,0.1033,1.2923,0.2398,0.8538,0.804,1.2371,0.7194,4.7947,0.1416,0.2999,0.0918,1.3964,1.3906,0.5717,0.2832,0.8301
59.6597,2.2385,1.374,0.2083,0.8647,0.5991,0.3415,2.2201,0.2481,0.3422,0.4202,0.5675,0.9723,5.1763,0.4479,0.2177,0.1431,0.8189,1.5563,0.7279,0.2665,0.5784
59.7597,1.7116,1.2263,0.1801,0.7839,0.8765,0.2197,1.6703,0.2925,0.3572,0.7306,2.0204,0.9104,4.5901,0.329,0.0965,0.1565,0.503,1.9641,0.5762,0.3032,0.6117
59.8596,1.4596,1.0741,0.1286,0.695,0.452,0.4395,2.5217,0.2868,0.5974,0.0612,2.8591,0.5267,3.0314,0.1978,0.1489,0.1366,0.9627,2.2171,0.2929,0.295,0.4861
59.9595,1.1812,0.6292,0.1296,0.7526,0.9161,0.5429,1.4497,0.2693,0.2228,0.773,2.3915,0.3097,1.3006,0.4637,0.2658,0.0779,1.4652,1.5898,0.1589,0.259,0.5135
