Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
2.6982,4.0826,20.8338,1.6011,0.1436,2.2795,2.365,0.7402,1.6419,1.4796,2.4082,0.068,2.0124,1.8002,1.5656,0.0953,3.6397,1.8264,3.2916,6.9628,7.4787,1.6958,0.3502,1.0712
2.7981,6.156,25.8971,1.5449,0.1547,2.4046,2.2733,1.4562,1.3616,1.2632,2.3438,0.0529,1.9346,1.7684,1.5112,0.0927,5.9268,0.9309,3.2356,6.4978,6.0185,0.7263,4.2524,0.9033
2.898,4.9067,23.7412,1.4712,0.159,5.6808,2.165,1.64,2.961,4.426,2.2868,0.038,1.8574,1.7549,1.4586,0.0909,7.5401,0.9235,3.1557,6.1608,12.4449,2.011,6.9981,0.5291
2.998,4.8398,21.1634,1.3834,0.1569,3.6973,2.0401,0.552,1.9473,3.3742,2.2363,0.0315,1.7761,1.7573,1.4139,0.0871,3.9105,1.4742,3.0546,5.9562,6.1538,1.4988,7.3521,0.2982
3.0979,5.7675,26.4445,1.2841,0.149,2.0325,1.9034,2.4127,4.0299,1.7689,2.1852,0.0431,1.6886,1.7684,1.3808,0.0803,4.1084,0.883,2.9452,5.8395,5.8042,0.6032,5.3692,0.62
3.1978,4.3591,19.8049,1.1763,0.1364,1.3338,1.7652,1.6116,1.0737,1.101,2.1241,0.0639,1.5971,1.779,1.3601,0.0704,2.6511,0.512,2.8455,5.7414,10.9135,1.6519,1.8181,0.845
3.2978,5.1913,24.0277,1.0639,0.1206,2.4056,1.6413,0.9309,2.8813,1.6027,2.0469,0.0849,1.5059,1.7798,1.3488,0.0584,2.171,1.1162,2.771,5.6003,4.7425,1.1773,2.1387,0.8285
3.3977,5.3182,23.1952,0.9526,0.1029,3.2053,1.549,1.9183,0.4007,1.602,1.953,0.1027,1.4201,1.7651,1.3419,0.0453,6.2447,0.745,2.7272,5.385,5.4764,0.6025,5.1524,0.5665
3.4976,4.0515,19.933,0.8506,0.0848,5.8609,1.5011,0.4104,1.1701,4.7679,1.8471,0.1165,1.3428,1.7339,1.3335,0.0324,5.9954,0.2424,2.7086,5.0972,9.1204,1.3157,6.3724,0.2363
3.5976,5.612,24.0403,0.7683,0.0675,3.0735,1.4979,0.7664,2.3381,2.9633,1.7357,0.1275,1.2739,1.69,1.3186,0.0211,2.4023,0.8632,2.7042,4.7609,3.5344,0.8531,5.5151,0.3804
