Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
11.4922,0.7034,3.4632,0.3258,0.016,1.2973,0.5886,0.5391,2.0553,1.283,0.5003,0.0604,0.3198,0.3716,0.3831,0.03,1.1762,0.6033,1.0868,0.8044,4.472,0.9098,1.3613,0.1582
11.5922,0.9202,4.3121,0.3443,0.0171,1.4509,0.6225,0.6497,1.5907,1.4028,0.4836,0.0595,0.3383,0.376,0.3792,0.0322,0.9413,0.4915,1.0588,0.9371,2.7983,0.6057,1.9149,0.0597
11.6921,1.024,4.6501,0.3543,0.0178,2.9852,0.6391,0.8361,2.6825,3.6568,0.4747,0.0553,0.358,0.3735,0.3744,0.0333,1.4657,0.2677,1.0112,1.1326,2.7329,0.5068,1.8409,0.0814
11.792,0.6563,3.3535,0.3544,0.0181,2.2456,0.6339,0.7958,1.1831,2.1384,0.4734,0.0494,0.374,0.3624,0.368,0.0332,0.3764,0.4735,0.9508,1.3346,4.0354,0.7432,1.1692,0.1774
11.892,1.1174,4.9146,0.3448,0.0177,1.2574,0.6065,0.2054,1.0581,1.07,0.4769,0.0437,0.3837,0.3426,0.3605,0.0318,1.6667,0.4854,0.8858,1.5128,2.1454,0.4327,0.1395,0.2284
11.9919,0.83,3.9661,0.3273,0.0167,1.1969,0.5612,0.1269,1.2295,0.8631,0.4812,0.0408,0.3872,0.315,0.3531,0.0296,2.1963,0.2238,0.8252,1.6523,2.6269,0.5072,0.9319,0.2092
12.0918,0.8857,4.0044,0.3052,0.0152,1.2713,0.5065,0.2934,1.8759,1.1699,0.4842,0.041,0.3872,0.2827,0.3471,0.0275,2.3511,0.279,0.7753,1.7497,3.4838,0.6633,1.6708,0.1393
12.1918,1.1082,5.0185,0.2829,0.0133,1.4074,0.4556,0.5464,2.7539,1.7796,0.4864,0.0425,0.3871,0.2497,0.3436,0.0264,0.6019,0.3708,0.7365,1.8151,1.3835,0.3489,1.8546,0.0559
12.2917,0.7099,3.4485,0.2649,0.011,2.6427,0.4237,0.7934,2.2611,3.5822,0.4901,0.0427,0.39,0.2208,0.3421,0.0267,0.4744,0.1895,0.7026,1.87,2.497,0.5069,1.4311,0.0992
12.3916,1.0712,4.9222,0.2549,0.0086,1.7931,0.4207,0.6182,1.8692,1.8289,0.4976,0.0397,0.3965,0.1998,0.3409,0.0283,0.752,0.1168,0.6669,1.9376,2.9022,0.5461,0.5475,0.1551
12.4916,0.9746,4.4158,0.2536,0.0063,1.0242,0.4435,0.3244,1.2996,0.9381,0.5084,0.033,0.4049,0.1874,0.3381,0.0305,1.3096,0.2286,0.6305,2.0258,0.6864,0.1703,0.5035,0.1613
12.5915,0.7869,3.9229,0.2587,0.0045,1.0404,0.4787,0.2647,0.7716,0.9182,0.5197,0.0232,0.4113,0.1808,0.3317,0.0324,0.8891,0.134,0.6103,2.1156,2.3388,0.4627,1.3756,0.1153
12.6914,1.176,5.1184,0.2664,0.0039,0.9138,0.5117,0.3108,2.426,1.1405,0.5269,0.0125,0.4125,0.1754,0.3216,0.0336,1.5977,0.1081,0.6346,2.1661,2.2203,0.4479,1.7878,0.0753
12.7914,0.7887,3.828,0.2729,0.0047,1.2998,0.5327,0.4181,1.4465,2.1827,0.5265,0.0097,0.4067,0.1677,0.3093,0.0339,1.2212,0.135,0.7194,2.1301,0.4287,0.1482,1.6167,0.1325
12.8913,1.0294,4.582,0.2762,0.0061,2.379,0.5376,0.6123,2.7035,3.3374,0.5171,0.0191,0.3949,0.1571,0.2982,0.0334,0.9842,0.0848,0.8486,1.9698,2.2637,0.4378,0.9216,0.1928
12.9912,1.1023,4.8319,0.276,0.0074,1.6639,0.527,0.3902,0.5844,1.5812,0.5,0.0286,0.3811,0.1462,0.293,0.0321,0.3624,0.2324,0.9876,1.6671,1.4901,0.3127,0.0723,0.2124
13.0912,0.741,3.7321,0.2734,0.0085,0.8707,0.5055,0.5359,1.0913,0.8798,0.4791,0.0354,0.3712,0.1398,0.2972,0.0301,0.3186,0.2298,1.102,1.2275,0.9983,0.1782,1.0109,0.1692
13.1911,1.1849,5.0922,0.2708,0.0094,1.0094,0.4801,0.288,1.1556,1.004,0.4598,0.0386,0.3707,0.1431,0.3109,0.0275,0.2096,0.0632,1.1659,0.6796,2.294,0.4451,1.616,0.0913
13.291,0.8542,4.2647,0.2705,0.0099,0.6343,0.4579,0.4451,0.9352,0.8029,0.4477,0.0383,0.3812,0.1568,0.3304,0.024,0.527,0.2857,1.1638,0.0753,0.8599,0.2117,1.6906,0.063
13.391,0.9445,4.2087,0.2737,0.0102,1.4809,0.4438,0.3382,1.8278,2.3944,0.4466,0.035,0.3991,0.1768,0.35,0.0196,0.583,0.3575,1.0929,0.5432,1.6161,0.2558,1.2143,0.1383
13.4909,1.1113,5.1561,0.2799,0.0103,2.2237,0.4382,0.4532,1.2693,3.0893,0.4573,0.0296,0.4176,0.1975,0.3641,0.0142,0.9078,0.2059,0.9634,1.0967,2.3228,0.4225,0.3537,0.1836
13.5908,0.7786,3.5986,0.287,0.0102,1.4676,0.4376,0.2749,1.0309,1.4863,0.4772,0.0232,0.4298,0.214,0.3691,0.0084,1.5482,0.3097,0.8006,1.5383,0.5299,0.1466,0.6114,0.1718
13.6908,1.0639,4.9461,0.2919,0.0099,0.7725,0.4372,0.6836,1.1477,0.8026,0.5011,0.0164,0.4311,0.2231,0.3634,0.0048,0.886,0.4425,0.6471,1.8294,2.119,0.4121,1.3599,0.1091
13.7907,1.0213,4.3698,0.2918,0.0094,0.9979,0.4338,0.3214,0.9212,1.087,0.5232,0.0095,0.4202,0.2227,0.3481,0.0091,0.4211,0.3148,0.5605,1.9532,2.2702,0.4647,1.6541,0.0452
13.8906,0.7682,3.9652,0.2852,0.0087,0.4016,0.4275,0.537,1.0405,0.7412,0.5384,0.0025,0.3995,0.2121,0.3267,0.0156,0.8662,0.3045,0.5742,1.9173,0.5327,0.0966,1.4057,0.1099
13.9906,1.1835,4.8888,0.2716,0.0078,1.5828,0.4213,0.4944,0.6796,2.6395,0.5428,0.0057,0.3747,0.1916,0.3048,0.0214,0.7752,0.489,0.6519,1.7534,2.4881,0.4481,0.7004,0.1687
14.0905,0.7344,3.9138,0.2526,0.0067,2.0893,0.4197,0.4749,1.302,2.5943,0.5349,0.0144,0.3532,0.1622,0.2888,0.0258,1.9924,0.416,0.7356,1.513,2.2144,0.4495,0.2234,0.1821
14.1904,1.0133,4.2482,0.2318,0.0054,1.2665,0.4263,0.1661,1.1231,1.091,0.5154,0.0239,0.3417,0.1261,0.2832,0.0283,2.0124,0.2649,0.7938,1.2612,0.8558,0.1457,1.0652,0.1349
14.2904,0.9963,4.7357,0.2144,0.004,0.9218,0.4415,0.6419,1.7397,0.7292,0.487,0.0336,0.3419,0.0872,0.288,0.0286,0.7606,0.4473,0.8191,1.0628,2.7405,0.4667,1.5483,0.0597
14.3903,0.7414,3.4045,0.206,0.0032,1.1427,0.4618,0.3959,1.7077,1.1353,0.4542,0.0426,0.3494,0.0541,0.2991,0.0266,1.9447,0.4689,0.8183,0.9567,2.1556,0.3997,1.5246,0.073
14.4902,1.0368,4.7645,0.2097,0.0036,0.3102,0.4813,0.7386,0.8107,0.7319,0.4218,0.0501,0.3571,0.0491,0.3107,0.0225,1.8982,0.2762,0.8033,0.9306,1.1168,0.2034,1.0032,0.146
14.5902,0.842,3.8784,0.2234,0.0052,1.3694,0.4941,0.5499,1.5833,2.8047,0.3936,0.0555,0.3586,0.0739,0.3185,0.0169,0.8049,0.3459,0.785,0.9421,2.815,0.5341,0.1673,0.1828
14.6901,0.788,3.7899,0.2416,0.0071,1.5318,0.4956,0.4949,0.763,2.4806,0.3718,0.0583,0.3512,0.1023,0.3199,0.0107,1.3187,0.4321,0.7689,0.9608,1.9584,0.4293,0.7238,0.1611
14.79,1.0348,4.5348,0.2582,0.009,0.8656,0.4833,0.0968,1.1347,1.0925,0.3568,0.0586,0.3363,0.1239,0.3149,0.0071,2.5591,0.2773,0.7558,0.9783,1.2593,0.2422,1.363,0.0966
14.8899,0.6398,3.2646,0.269,0.0107,0.6921,0.4567,0.5183,1.0762,0.64,0.3486,0.0567,0.3186,0.1352,0.3049,0.0106,1.4732,0.2462,0.7456,0.994,2.7874,0.511,1.5551,0.037
14.9899,0.9425,4.1102,0.2716,0.012,0.9437,0.4183,0.5612,0.4875,1.0805,0.3477,0.0533,0.3047,0.1353,0.2926,0.0166,0.4484,0.3609,0.74,1.0017,1.7056,0.3551,1.2417,0.1039
15.0898,0.8464,3.9575,0.2659,0.0127,0.5837,0.373,0.8417,1.1775,0.8148,0.3554,0.0493,0.2995,0.1253,0.2812,0.022,0.9024,0.247,0.7412,0.9895,1.3069,0.2765,0.5318,0.1551
15.1897,0.6548,3.0759,0.2533,0.0128,1.2284,0.3302,0.4899,1.0414,2.9485,0.3723,0.0454,0.3032,0.1089,0.2739,0.0257,1.2789,0.1181,0.7496,0.9484,2.628,0.5478,0.3418,0.16
15.2897,0.9366,4.2308,0.2372,0.0123,1.41,0.3033,0.6121,1.5524,2.0494,0.3976,0.0418,0.3106,0.0941,0.2731,0.0273,0.9127,0.2697,0.7615,0.8819,1.4072,0.3461,1.0886,0.1163
15.3896,0.6372,3.108,0.222,0.0111,0.7946,0.3051,0.0137,0.8339,0.836,0.4284,0.0383,0.315,0.0923,0.2797,0.0266,0.7521,0.2248,0.7705,0.8104,1.3234,0.19,1.4695,0.07
15.4895,0.7359,3.4145,0.2124,0.0095,0.7572,0.3376,0.4211,0.7362,0.7128,0.4602,0.0344,0.3115,0.1086,0.2925,0.0236,0.2424,0.0211,0.7702,0.7671,2.4133,0.474,1.3679,0.11
15.5895,0.8344,3.8094,0.2108,0.0074,0.974,0.3894,0.7479,0.9441,1.0683,0.4886,0.0297,0.2985,0.1355,0.3087,0.0189,0.6633,0.1584,0.7573,0.7805,1.1506,0.3119,0.8188,0.166
15.6894,0.499,2.5249,0.2164,0.0052,0.2599,0.446,0.6892,1.0585,1.0743,0.5096,0.0252,0.2781,0.1633,0.3245,0.0135,0.7656,0.1547,0.7322,0.8513,1.2409,0.206,0.0416,0.1887
15.7893,0.8095,3.6365,0.2252,0.0033,1.1836,0.4953,0.5613,2.0958,2.7274,0.5202,0.0233,0.2561,0.1859,0.336,0.0102,0.8918,0.0847,0.6986,0.9545,2.1202,0.4045,0.7985,0.1564
15.8893,0.6219,2.9792,0.2326,0.0026,1.22,0.5289,0.7166,1.1617,1.7648,0.5188,0.0264,0.2401,0.1998,0.3397,0.013,0.6874,0.149,0.6624,1.0622,0.8981,0.2273,1.3355,0.0903
15.9892,0.5476,2.5646,0.2353,0.0035,0.5281,0.5413,0.1808,1.1749,0.8462,0.5047,0.0337,0.2355,0.2037,0.3335,0.0191,0.5843,0.0851,0.6303,1.155,1.1223,0.1844,1.4366,0.0433
16.0891,0.7387,3.4772,0.2316,0.0046,0.5615,0.5295,0.2979,0.2216,0.7621,0.479,0.0421,0.2423,0.1974,0.317,0.0253,0.9305,0.0952,0.6091,1.2215,1.8475,0.3638,1.0702,0.1042
16.1891,0.4358,2.0356,0.2221,0.0054,0.5238,0.4936,0.6607,1.1981,0.9904,0.4446,0.0494,0.2547,0.182,0.2923,0.0302,1.2558,0.2145,0.6038,1.255,0.7383,0.1955,0.3654,0.1469
16.289,0.5873,2.9698,0.2092,0.0056,0.3363,0.4368,0.5812,1.5731,1.2776,0.4056,0.0542,0.2661,0.1594,0.2636,0.033,0.4556,0.1497,0.6165,1.2513,0.9475,0.1482,0.4563,0.1435
16.3889,0.6262,2.6456,0.197,0.0051,0.966,0.3659,0.6701,1.7176,2.5936,0.3682,0.0559,0.2721,0.132,0.2383,0.0335,1.3403,0.138,0.6456,1.2075,1.575,0.3108,1.1115,0.098
16.4889,0.2928,1.917,0.19,0.004,0.7885,0.2941,0.5809,1.5295,1.4392,0.3382,0.0544,0.2718,0.1025,0.2243,0.0316,1.6541,0.2889,0.6864,1.1218,0.7532,0.1778,1.3978,0.0514
16.5888,0.6645,2.74,0.1911,0.0025,0.4441,0.2435,0.2498,0.7831,0.6811,0.3195,0.0507,0.2671,0.074,0.2261,0.0275,1.8365,0.2459,0.7328,0.9933,0.8172,0.0958,1.2263,0.0927
16.6887,0.3562,1.8351,0.1997,0.001,0.4081,0.2401,0.1986,0.2477,0.812,0.3111,0.0465,0.2618,0.0505,0.2406,0.0219,0.8077,0.1573,0.7783,0.8223,1.337,0.2209,0.6562,0.1364
16.7887,0.4539,1.9205,0.212,0.0021,0.135,0.2831,0.5178,1.2413,0.8577,0.3077,0.0443,0.2592,0.0385,0.2595,0.0157,1.2054,0.333,0.8162,0.6123,0.8854,0.1145,0.1257,0.1452
16.8886,0.5209,2.3353,0.2236,0.0041,0.6101,0.3456,0.6035,1.3253,1.6761,0.3031,0.046,0.2608,0.0411,0.275,0.0105,1.1746,0.3473,0.8397,0.3794,0.7026,0.1029,0.8529,0.1044
16.9885,0.1754,1.12,0.2313,0.0061,1.0747,0.4057,0.4985,2.0789,2.4976,0.2936,0.0511,0.2654,0.0501,0.2821,0.0096,0.805,0.1877,0.8421,0.2245,1.2251,0.2322,1.2975,0.0505
17.0885,0.4574,2.1153,0.2333,0.0078,0.8406,0.452,0.5219,1.2682,1.2381,0.2806,0.0576,0.2698,0.058,0.279,0.0131,0.6299,0.3039,0.8177,0.39,1.1261,0.1855,1.3187,0.0824
17.1884,0.2803,1.5706,0.2301,0.0092,0.4396,0.4799,0.3551,1.1325,0.5505,0.2717,0.0634,0.271,0.0626,0.2666,0.0174,1.3455,0.3969,0.7634,0.6885,0.5295,0.044,0.9105,0.1435
17.2883,0.2122,1.1912,0.2235,0.0102,0.3829,0.4884,0.3653,0.7648,0.7794,0.2785,0.0671,0.2675,0.0642,0.2486,0.0209,0.7953,0.2609,0.6808,0.9935,1.1946,0.1596,0.2174,0.1715
17.3883,0.3783,1.8397,0.2166,0.0107,0.2504,0.4796,0.4863,0.5315,0.5312,0.3093,0.0683,0.2597,0.0645,0.2302,0.0232,0.1562,0.2425,0.5794,1.2641,1.3368,0.1679,0.5469,0.1493
17.4882,0.0979,0.5241,0.2122,0.011,0.4738,0.4574,0.4582,1.0281,1.872,0.3612,0.067,0.2506,0.0658,0.217,0.0244,0.8445,0.3749,0.4824,1.4707,0.384,0.0167,1.1152,0.0888
17.5881,0.307,1.3751,0.2118,0.011,0.8701,0.427,0.3193,1.5096,2.2563,0.4239,0.064,0.2444,0.0694,0.2125,0.0248,0.6987,0.2975,0.4309,1.5892,1.2917,0.1942,1.3148,0.0359
17.6881,0.2525,1.015,0.2144,0.0108,0.6114,0.3937,0.5569,1.2278,1.1192,0.4859,0.0604,0.2449,0.0751,0.2161,0.0248,0.9682,0.195,0.4614,1.6025,1.531,0.2299,1.0824,0.096
17.788,0.1639,0.5221,0.2172,0.0106,0.3453,0.3622,0.443,1.6793,0.6599,0.5375,0.0577,0.2533,0.0809,0.2237,0.0246,1.473,0.3205,0.557,1.5033,0.3084,0.064,0.4994,0.1416
17.8879,0.2775,1.1834,0.2168,0.0102,0.3964,0.3354,0.4391,0.7701,0.9119,0.5717,0.0573,0.267,0.0852,0.2307,0.0243,1.1542,0.293,0.6708,1.296,1.4113,0.1965,0.2434,0.1458
17.9879,0.0686,0.2726,0.2105,0.0098,0.1441,0.3149,0.4535,0.409,0.36,0.5837,0.0601,0.2814,0.087,0.2341,0.024,1.0595,0.1434,0.7671,0.9976,1.6738,0.2416,0.8979,0.1019
18.0878,0.2466,1.016,0.1974,0.0093,0.2821,0.3008,0.2706,0.7034,1.8318,0.5715,0.0659,0.2916,0.0867,0.2333,0.0233,0.6258,0.2437,0.8256,0.6375,0.2432,0.0664,1.254,0.0456
18.1877,0.1045,0.7153,0.1787,0.0088,0.6097,0.2935,0.3552,1.4379,1.92,0.5354,0.0734,0.2942,0.0861,0.23,0.0223,0.704,0.2652,0.838,0.2607,1.5431,0.2311,1.2006,0.0808
18.2877,0.2059,0.7263,0.1583,0.0087,0.4679,0.2939,0.3737,1.3597,0.9027,0.4782,0.0813,0.2878,0.0872,0.2273,0.0207,1.3145,0.1091,0.8064,0.177,1.7886,0.2676,0.7559,0.1364
18.3876,0.2544,1.0651,0.1435,0.0092,0.2714,0.3034,0.5324,1.4571,0.5744,0.4056,0.0883,0.274,0.0909,0.2283,0.0186,0.8954,0.15,0.7424,0.4808,0.2073,0.0997,0.0828,0.1594
18.4875,0.0797,0.2437,0.1429,0.0104,0.2072,0.3224,0.4274,0.3588,0.9737,0.3256,0.0932,0.2566,0.0958,0.2341,0.0163,0.7666,0.2079,0.6662,0.7248,1.7045,0.285,0.6329,0.1323
18.5875,0.3647,1.2946,0.1589,0.0122,0.3339,0.3494,0.574,0.5815,0.407,0.2497,0.0953,0.2415,0.0991,0.2435,0.0138,1.2588,0.0878,0.6019,0.8763,1.8821,0.3185,1.1194,0.0779
18.6874,0.1686,0.7205,0.1856,0.0144,0.5139,0.3808,0.2378,1.1782,1.8815,0.1931,0.0943,0.2343,0.0977,0.2531,0.0117,1.3751,0.0869,0.5672,0.9358,0.3369,0.1689,1.2387,0.0604
18.7873,0.3207,1.101,0.2147,0.0166,0.5179,0.4118,0.2899,1.5041,1.6649,0.171,0.0903,0.2371,0.0893,0.2596,0.01,0.7179,0.1489,0.5617,0.9254,1.8635,0.2922,0.9516,0.1194
18.8872,0.4056,1.5205,0.2398,0.0187,0.3237,0.4377,0.159,1.6387,0.6599,0.1805,0.0843,0.2466,0.0731,0.2606,0.0091,1.2992,0.0595,0.5687,0.886,1.8922,0.2811,0.3588,0.1588
18.9872,0.1703,0.7558,0.2567,0.0204,0.3776,0.4543,0.5199,1.3035,0.5196,0.2029,0.0776,0.2567,0.0496,0.2555,0.009,0.8072,0.1071,0.5704,0.8657,0.4789,0.1915,0.3519,0.1569
19.0871,0.4993,1.8144,0.2632,0.0215,0.3095,0.4584,0.6128,0.7998,0.8198,0.2264,0.0717,0.2617,0.0208,0.246,0.0096,0.6401,0.1408,0.5589,0.892,2.0347,0.3674,0.9386,0.1147
19.187,0.3542,1.4627,0.259,0.0221,0.2443,0.4482,0.6814,0.9696,0.5302,0.2515,0.0679,0.2587,0.0156,0.2352,0.0103,1.1964,0.0221,0.5388,0.9515,1.8786,0.3007,1.2181,0.0671
19.287,0.3893,1.4748,0.2447,0.022,0.4794,0.4234,0.2822,1.9196,1.9566,0.2844,0.0664,0.2481,0.0471,0.2275,0.0109,1.3759,0.1456,0.5233,1.0061,0.5735,0.1238,1.1027,0.0885
19.3869,0.5905,2.2253,0.2228,0.0212,0.3807,0.3853,0.129,2.018,1.5529,0.3293,0.0663,0.2333,0.0764,0.2261,0.0112,0.8267,0.1919,0.5263,1.0211,2.1417,0.3463,0.6331,0.1289
19.4868,0.3071,1.4539,0.1966,0.0199,0.1358,0.3376,0.179,1.7569,0.6701,0.3838,0.0663,0.2204,0.0993,0.2315,0.0109,1.3158,0.075,0.5522,0.9773,1.8541,0.3072,0.0595,0.1408
19.5868,0.6196,2.2663,0.171,0.0181,0.5101,0.2868,0.4294,1.2312,0.5543,0.4404,0.0655,0.215,0.1133,0.2413,0.0098,0.6203,0.1618,0.5927,0.8724,0.7321,0.2245,0.6828,0.1043
19.6867,0.5494,2.3488,0.1511,0.016,0.4052,0.2437,0.7939,0.8842,0.7071,0.4894,0.0638,0.2189,0.1167,0.2514,0.008,0.9383,0.246,0.6336,0.7183,2.1636,0.3686,1.0953,0.0395
19.7866,0.4746,1.8382,0.1409,0.0138,0.2644,0.2225,0.6224,1.1649,0.7189,0.5224,0.062,0.2286,0.1091,0.2584,0.0055,0.7037,0.1509,0.6627,0.5426,1.7223,0.2556,1.1472,0.0526
19.8866,0.726,2.904,0.1405,0.0117,0.4426,0.2322,0.4315,1.8245,1.8608,0.5338,0.0611,0.2383,0.0912,0.2605,0.0022,0.419,0.1685,0.6725,0.4026,0.8692,0.2121,0.822,0.1202
19.9865,0.5152,2.233,0.1458,0.01,0.1802,0.2655,0.1231,1.529,1.2294,0.5211,0.0617,0.2426,0.0647,0.2574,0.002,0.3155,0.2859,0.6602,0.3971,2.1902,0.378,0.2352,0.1565
20.0864,0.6697,2.6409,0.152,0.0087,0.1187,0.3074,0.1814,1.5759,0.5474,0.4855,0.0634,0.2395,0.0324,0.2502,0.0063,0.7064,0.2195,0.6267,0.5368,1.5651,0.2384,0.4279,0.1461
20.1864,0.7634,3.1499,0.156,0.0081,0.3696,0.3459,0.3945,0.8311,0.6192,0.4319,0.0649,0.2295,0.0106,0.2404,0.0108,0.374,0.16,0.5756,0.73,0.9561,0.2738,0.9382,0.0971
20.2863,0.5516,2.337,0.1573,0.0079,0.3571,0.3739,0.74,0.1334,0.6262,0.3689,0.0647,0.2165,0.0433,0.2297,0.0153,0.6269,0.2962,0.5138,0.9224,2.1724,0.4295,1.1371,0.0384
20.3862,0.8548,3.3861,0.1577,0.0083,0.3127,0.3882,0.6705,0.7471,0.8028,0.3094,0.0618,0.206,0.0775,0.219,0.0193,0.3214,0.275,0.4535,1.0884,1.3954,0.2524,0.9597,0.0749
20.4862,0.7081,3.0786,0.1605,0.0091,0.3753,0.3882,0.5611,1.0133,1.6006,0.2687,0.0554,0.2033,0.1071,0.2085,0.0226,0.4516,0.157,0.4154,1.2104,0.9616,0.2537,0.4683,0.1206
20.5861,0.7391,2.8983,0.1686,0.0104,0.1619,0.3757,0.1751,0.6116,1.0282,0.2581,0.0458,0.2101,0.1301,0.1987,0.0249,0.2026,0.2702,0.4236,1.2729,2.0125,0.393,0.1825,0.1331
20.686,0.9101,3.8527,0.1829,0.0122,0.1681,0.3544,0.0694,0.8265,0.4453,0.2728,0.0339,0.2233,0.1452,0.1907,0.0258,0.1239,0.2993,0.4839,1.2625,1.1413,0.2179,0.7633,0.1025
20.786,0.71,2.9089,0.2012,0.0143,0.268,0.3296,0.3656,1.0305,0.524,0.2963,0.0226,0.2379,0.1518,0.1866,0.0252,0.7163,0.1687,0.5768,1.1703,0.9864,0.2561,1.0966,0.0602
20.8859,0.8935,3.7601,0.22,0.0164,0.2294,0.3068,0.6058,1.1425,0.4097,0.3137,0.0193,0.2494,0.1499,0.1889,0.023,0.7806,0.2209,0.675,0.9955,1.8259,0.3601,1.0741,0.0777
20.9858,0.923,3.8093,0.2352,0.0186,0.2822,0.2907,0.8209,1.2363,1.0655,0.3166,0.0279,0.2553,0.1399,0.1983,0.0193,0.9649,0.2932,0.7558,0.7487,0.8991,0.1522,0.7025,0.126
21.0858,0.7636,3.2548,0.2437,0.0204,0.3561,0.2823,0.5043,0.8215,1.6053,0.3022,0.0401,0.2552,0.1229,0.2127,0.0143,0.6037,0.1826,0.8028,0.4598,0.9345,0.2125,0.1103,0.1508
21.1857,1.0471,4.2835,0.2432,0.0219,0.206,0.2796,0.2723,0.5436,0.9052,0.2719,0.0514,0.2504,0.1001,0.2278,0.0084,1.0843,0.1524,0.8064,0.2449,1.5855,0.3074,0.5181,0.1323
21.2856,0.8658,3.604,0.2328,0.0228,0.1285,0.2783,0.0911,0.4374,0.499,0.2307,0.0601,0.2436,0.0732,0.239,0.0019,0.9758,0.256,0.7642,0.3976,0.6793,0.0946,0.9675,0.0827
21.3856,0.9413,3.9177,0.2126,0.0231,0.4189,0.2752,0.338,1.4425,0.6281,0.1883,0.0659,0.2377,0.044,0.2428,0.0046,0.7659,0.1887,0.6818,0.6849,0.7893,0.2028,1.1001,0.0363
21.4855,1.0916,4.3976,0.1845,0.0229,0.4542,0.2692,0.5568,1.2982,0.2284,0.1604,0.0689,0.2352,0.0159,0.2374,0.0105,0.8016,0.0831,0.5737,0.938,1.2742,0.2704,0.8726,0.0804
21.5854,0.834,3.6958,0.1516,0.0222,0.7124,0.263,0.7423,1.8036,1.1245,0.1634,0.0696,0.2366,0.0207,0.2235,0.0154,1.1928,0.1919,0.466,1.1159,0.4784,0.049,0.3658,0.1184
21.6854,1.1267,4.4559,0.1199,0.0213,0.5336,0.2619,0.4881,0.7857,1.3949,0.1964,0.0687,0.2408,0.0463,0.2043,0.0188,0.7395,0.1673,0.3982,1.2014,0.6506,0.2189,0.2617,0.1214
21.7853,0.9871,4.4269,0.0991,0.0203,0.1085,0.2718,0.3383,0.5189,0.7693,0.2441,0.0669,0.2453,0.0687,0.186,0.0205,1.434,0.0332,0.4037,1.1904,1.0098,0.2857,0.791,0.0829
21.8852,0.9941,3.8834,0.0994,0.0194,0.3488,0.2952,0.1738,0.4655,0.465,0.2948,0.0644,0.2478,0.0852,0.1767,0.0202,1.3302,0.1285,0.4685,1.0898,0.5206,0.1156,1.0594,0.0248
21.9852,1.1391,5.0347,0.1185,0.0188,0.6009,0.3289,0.3019,0.7449,0.597,0.3422,0.0614,0.247,0.0942,0.1812,0.0181,0.6149,0.124,0.5501,0.9152,0.5007,0.1237,0.9802,0.0569
22.0851,1.0087,3.9434,0.1444,0.0185,0.5364,0.3662,0.4882,1.0093,0.1538,0.3832,0.0578,0.2433,0.0947,0.1972,0.0143,0.5228,0.0115,0.6191,0.6888,0.7971,0.1812,0.5811,0.1053
22.185,1.0708,4.7596,0.1688,0.0186,0.7721,0.3997,0.5402,0.8766,1.0022,0.4152,0.0536,0.2385,0.0862,0.2168,0.0092,1.4414,0.1059,0.6621,0.4379,0.6983,0.1038,0.039,0.1241
22.285,1.2021,4.7425,0.1879,0.0188,0.578,0.4229,0.5674,0.9226,1.2031,0.4367,0.0494,0.2352,0.0699,0.2324,0.0033,1.621,0.0886,0.6763,0.2031,0.3451,0.1341,0.5874,0.0994
22.3849,0.9502,4.2557,0.2006,0.019,0.1728,0.4309,0.3794,0.5059,0.5779,0.4466,0.0456,0.2357,0.0506,0.239,0.0035,0.5748,0.0426,0.6656,0.1544,0.7362,0.1798,0.9713,0.0536
22.4848,1.2558,5.0198,0.2073,0.0191,0.3369,0.421,0.2811,0.7813,0.276,0.445,0.0431,0.2402,0.0442,0.2344,0.0097,1.0574,0.1428,0.6384,0.3188,0.8916,0.133,1.0386,0.0542
22.5848,1.0767,4.6167,0.2095,0.019,0.5766,0.392,0.26,0.2695,0.4513,0.433,0.0421,0.2465,0.0654,0.2191,0.0154,0.3604,0.1093,0.6045,0.4733,0.1798,0.1325,0.7659,0.1078
22.6847,1.1022,4.5512,0.2089,0.0189,0.3274,0.3452,0.4551,0.7697,0.2559,0.413,0.0424,0.2513,0.0994,0.1965,0.02,0.6338,0.0509,0.5709,0.5968,0.8539,0.2271,0.2493,0.14
22.7846,1.2624,5.2129,0.2073,0.0186,0.5753,0.284,0.5303,1.1829,1.1368,0.3874,0.0433,0.2515,0.1338,0.173,0.0232,1.3,0.1888,0.5389,0.7032,1.0601,0.1774,0.3509,0.1337
22.8846,1.0247,4.4098,0.2054,0.0183,0.302,0.215,0.5067,1.5109,1.0917,0.3586,0.0446,0.2455,0.1623,0.1576,0.0249,1.1357,0.1804,0.5038,0.8127,0.162,0.0608,0.8266,0.0926
22.9845,1.2352,5.0353,0.2032,0.0179,0.365,0.1524,0.4505,1.3012,0.4492,0.3277,0.0464,0.2338,0.1808,0.1577,0.0248,0.4027,0.0701,0.4597,0.9345,0.9715,0.2151,1.0319,0.0436
23.0844,1.1883,5.0739,0.1994,0.0175,0.7113,0.1276,0.2725,1.0611,0.3648,0.2949,0.0488,0.2193,0.1864,0.1724,0.0229,0.5329,0.1978,0.4072,1.0577,1.0696,0.1897,0.8998,0.0689
