Frequency (Hz),Red_X,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
17.2883,0.3714,1.3539,0.1936,0.6158,0.5209,1.6662,1.6662,0.3311,0.9625,0.086,0.0982,0.0482,0.2402,0.4688
17.3883,0.5453,1.1712,0.029,0.8528,0.847,1.1018,1.1018,0.6221,1.1524,0.1181,0.1013,0.039,0.1301,0.4823
17.4882,0.4432,1.1389,0.0677,1.4476,1.3147,0.5933,0.5933,0.8868,1.0328,0.1403,0.1511,0.0927,0.114,0.5168
17.5881,0.1439,1.2739,0.0988,1.2803,1.1266,0.2489,0.2489,0.776,0.4498,0.0868,0.1323,0.1346,0.1822,0.4969
17.6881,0.3622,1.2275,0.1669,0.6663,0.8673,0.3159,0.3159,0.709,0.4629,0.0687,0.0432,0.0723,0.1375,0.5016
17.788,0.6046,1.124,0.2632,0.4451,0.6022,0.7265,0.7265,0.5007,0.7473,0.0954,0.0336,0.0404,0.127,0.5463
17.8879,0.7062,0.9411,0.3291,0.2294,0.4322,1.2817,1.2817,0.431,0.9386,0.0924,0.1061,0.0691,0.0697,0.5631
17.9879,0.6038,0.6269,0.3586,0.7196,0.9388,1.7306,1.7306,0.6586,1.2259,0.1031,0.0941,0.1112,0.1806,0.5133
18.0878,0.3776,0.5384,0.3931,1.5046,1.3607,1.9838,1.9838,0.7827,1.2922,0.0445,0.0242,0.0698,0.1477,0.477
18.1877,0.341,0.6476,0.4346,1.3613,1.0613,1.7223,1.7223,0.6896,1.0628,0.0472,0.0704,0.0269,0.0342,0.5375
18.2877,0.4701,0.6589,0.4419,1.017,1.0242,1.0415,1.0415,0.6117,0.9164,0.0581,0.0762,0.044,0.1094,0.5203
18.3876,0.4953,0.8366,0.4663,0.9016,0.8642,0.7129,0.7129,0.3305,0.8651,0.0715,0.1468,0.166,0.1211,0.4359
18.4875,0.5383,0.8361,0.5737,0.7181,0.715,0.8634,0.8634,0.3401,0.8912,0.0076,0.0961,0.2594,0.2484,0.4951
18.5875,0.6044,0.6864,0.6721,0.7739,1.0449,0.9918,0.9918,0.7754,0.7488,0.0411,0.1046,0.1602,0.1554,0.4827
18.6874,0.6528,0.5028,0.7073,1.0373,1.2345,1.5138,1.5138,0.9269,0.8082,0.1009,0.0248,0.169,0.0711,0.3389
18.7873,0.6511,0.4993,0.7471,0.647,1.0233,2.104,2.104,0.7251,1.2332,0.1266,0.1474,0.1814,0.14,0.4086
18.8872,0.4849,0.7026,0.8002,0.6491,0.9154,2.0746,2.0746,0.5312,1.3626,0.0653,0.1171,0.08,0.1617,0.4559
18.9872,0.4266,1.0127,0.7942,0.7105,0.6202,1.5623,1.5623,0.2758,1.2724,0.0501,0.1029,0.115,0.1701,0.3683
19.0871,0.5469,1.0945,0.7566,0.7655,0.6657,1.1721,1.1721,0.3393,1.2118,0.0928,0.0438,0.0821,0.1284,0.4513
19.187,0.689,0.9743,0.7613,0.9526,1.0952,1.0304,1.0304,0.7001,0.9872,0.1202,0.082,0.1333,0.107,0.4857
19.287,0.7628,0.8064,0.7538,1.1018,1.0509,1.02,1.02,0.7676,0.5379,0.1342,0.091,0.1622,0.1346,0.3712
19.3869,0.6046,0.7622,0.6759,0.5666,0.7399,1.1173,1.1173,0.6396,0.3127,0.0854,0.1197,0.0965,0.1789,0.4409
19.4868,0.2386,0.8754,0.5774,0.482,0.7223,1.2824,1.2824,0.56,0.2469,0.0388,0.0483,0.1099,0.1514,0.4969
19.5868,0.3435,1.0148,0.4847,0.3317,0.5035,1.3735,1.3735,0.4179,0.3872,0.0936,0.0444,0.0485,0.1413,0.4257
19.6867,0.5505,1.1706,0.3462,0.4123,0.628,0.7262,0.7262,0.5098,0.598,0.0959,0.1049,0.0919,0.1549,0.5169
19.7866,0.6122,1.154,0.1681,1.0978,0.9873,0.4703,0.4703,0.7329,0.804,0.0815,0.1451,0.0293,0.1904,0.5675
19.8866,0.5611,0.8669,0.0391,1.3764,0.8377,0.8276,0.8276,0.6828,1.1568,0.0633,0.0757,0.1233,0.1384,0.4504
19.9865,0.4008,0.6616,0.0957,0.8161,0.7299,0.7704,0.7704,0.5295,1.4136,0.0212,0.0483,0.0875,0.0803,0.4804
20.0864,0.2677,0.5991,0.1872,0.4948,0.7373,0.8574,0.8574,0.4702,1.2413,0.0608,0.0524,0.1083,0.1226,0.5438
20.1864,0.1706,0.666,0.2603,0.2807,0.4963,1.5342,1.5342,0.4058,0.7714,0.0819,0.1154,0.11,0.158,0.4448
20.2863,0.1711,0.8306,0.2907,0.3268,0.6725,1.8763,1.8763,0.4831,0.4968,0.0198,0.1549,0.093,0.1725,0.4368
20.3862,0.2524,0.7087,0.3556,0.9979,1.0403,1.8939,1.8939,0.6207,0.499,0.0149,0.1243,0.0808,0.1422,0.49
20.4862,0.403,0.3636,0.4865,1.2077,0.8523,1.6768,1.6768,0.6959,0.5973,0.0729,0.0687,0.1177,0.113,0.4037
20.5861,0.4558,0.225,0.5885,0.9572,0.6993,1.4571,1.4571,0.7039,0.7914,0.1055,0.0307,0.1486,0.1831,0.3428
20.686,0.2579,0.103,0.6103,0.866,0.6651,1.7212,1.7212,0.5133,1.0243,0.0786,0.0444,0.0954,0.1001,0.3686
20.786,0.2333,0.223,0.5856,0.6742,0.4171,2.116,2.116,0.3503,1.1521,0.0462,0.0602,0.1158,0.1198,0.3502
20.8859,0.2252,0.3668,0.5496,0.5175,0.5265,2.3738,2.3738,0.4435,1.1105,0.1147,0.0936,0.1402,0.0147,0.3249
20.9858,0.0891,0.2467,0.485,0.7406,0.8108,2.1331,2.1331,0.5323,0.9328,0.1043,0.0834,0.1272,0.1446,0.2685
21.0858,0.4188,0.4862,0.4396,0.6313,0.7735,1.4698,1.4698,0.571,0.7727,0.0889,0.0449,0.1545,0.0758,0.1989
21.1857,0.5361,0.4191,0.5422,0.546,0.8697,1.0964,1.0964,0.6077,0.6179,0.0875,0.064,0.1097,0.0824,0.1886
21.2856,0.4148,0.3035,0.6905,0.6143,0.7692,1.0204,1.0204,0.4846,0.3511,0.128,0.046,0.0941,0.0668,0.1225
21.3856,0.3377,0.3276,0.734,0.4685,0.591,1.0016,1.0016,0.4536,0.214,0.139,0.0283,0.0777,0.0538,0.0228
21.4855,0.2843,0.2567,0.6976,0.5586,0.8363,1.6378,1.6378,0.5774,0.5781,0.1175,0.0735,0.0881,0.036,0.0612
21.5854,0.2032,0.4341,0.6826,0.8103,1.0875,2.0258,2.0258,0.6234,0.9021,0.0359,0.1092,0.0996,0.0923,0.102
21.6854,0.2499,0.612,0.6539,0.432,0.7348,1.6092,1.6092,0.5796,1.0811,0.083,0.0824,0.0418,0.0918,0.1712
21.7853,0.2974,0.4062,0.5589,0.4946,0.5297,1.2896,1.2896,0.4962,1.2897,0.1068,0.0505,0.0129,0.0391,0.1233
21.8852,0.2862,0.3784,0.5223,0.6391,0.5311,1.5726,1.5726,0.3773,1.3323,0.1046,0.0452,0.0995,0.0704,0.1382
21.9852,0.3113,0.3158,0.5769,0.3687,0.4838,1.5078,1.5078,0.4415,1.015,0.0931,0.0745,0.1334,0.0227,0.2708
22.0851,0.415,0.3342,0.5431,0.6008,0.7092,0.993,0.993,0.5324,0.577,0.0435,0.0431,0.0687,0.0805,0.2347
22.185,0.3801,0.2708,0.385,0.9015,0.837,0.5554,0.5554,0.5399,0.4736,0.0843,0.0287,0.0225,0.0272,0.1897
