Frequency (Hz),Red_X,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
31.2789,0.8755,0.1421,0.6586,0.0849,0.8259,0.5342,0.5342,0.2093,0.3559,0.0973,0.083,0.0724,0.29,0.0412
31.3788,0.9028,0.2289,0.5808,0.4088,0.7449,0.3958,0.3958,0.2,0.3723,0.0592,0.0994,0.0578,0.0436,0.1955
31.4787,0.8866,0.2267,0.4399,0.474,0.479,0.5637,0.5637,0.391,0.524,0.0581,0.069,0.1073,0.2192,0.2147
31.5787,0.8498,0.3275,0.3189,0.5332,0.48,0.7943,0.7943,0.3582,0.4502,0.1205,0.0197,0.1127,0.3097,0.0074
31.6786,0.7516,0.3119,0.2787,0.6498,0.5368,0.5713,0.5713,0.2222,0.4588,0.1123,0.0189,0.0851,0.3209,0.2236
31.7785,0.6737,0.2918,0.2339,0.5657,0.7081,0.3724,0.3724,0.3048,0.6729,0.0674,0.0386,0.1444,0.0684,0.2128
31.8785,0.6735,0.1272,0.1713,0.2932,0.7548,0.3691,0.3691,0.147,0.8562,0.0175,0.0566,0.2141,0.185,0.0982
31.9784,0.7137,0.3716,0.1505,0.1036,0.4137,0.5438,0.5438,0.1158,0.6644,0.0269,0.0737,0.1802,0.1505,0.2689
32.0783,0.7752,0.2969,0.1673,0.2664,0.595,0.9624,0.9624,0.3205,0.4444,0.0658,0.0561,0.1392,0.1363,0.2279
32.1783,0.8384,0.5213,0.2229,0.2519,0.7735,1.0818,1.0818,0.2948,0.4532,0.0885,0.0492,0.0632,0.1271,0.1804
32.2782,0.7859,0.4607,0.3094,0.2407,0.5811,0.9181,0.9181,0.2249,0.4326,0.0803,0.0358,0.0414,0.1404,0.3132
32.3781,0.6223,0.2401,0.3748,0.2389,0.7473,0.6743,0.6743,0.281,0.2715,0.0585,0.0474,0.0132,0.3159,0.2703
32.4781,0.5367,0.2892,0.3773,0.1791,0.6005,0.2944,0.2944,0.168,0.72,0.019,0.0669,0.0822,0.2819,0.3299
32.578,0.5767,0.4043,0.3317,0.2178,0.3144,0.0711,0.0711,0.2396,0.9604,0.0319,0.0788,0.1771,0.1523,0.4207
32.6779,0.6479,0.3571,0.3153,0.139,0.6055,0.1387,0.1387,0.3977,0.7414,0.0673,0.072,0.176,0.1333,0.318
32.7779,0.662,0.3853,0.333,0.1159,0.515,0.3119,0.3119,0.2753,0.7023,0.1167,0.0343,0.1393,0.0507,0.3998
32.8778,0.6185,0.4833,0.3485,0.1033,0.6739,0.2639,0.2639,0.2453,0.8315,0.1416,0.0508,0.1042,0.2788,0.4952
32.9777,0.6744,0.4533,0.4264,0.2758,0.9035,0.2164,0.2164,0.2136,0.6497,0.0888,0.0195,0.0663,0.3283,0.3819
33.0777,0.7785,0.2238,0.5304,0.4485,0.458,0.1879,0.1879,0.0825,0.2884,0.0458,0.0345,0.0631,0.2659,0.4888
33.1776,0.8048,0.1262,0.5626,0.4141,0.6482,0.489,0.489,0.1546,0.3488,0.0894,0.0489,0.0121,0.0668,0.5963
33.2775,0.7887,0.1531,0.5738,0.3121,0.7105,0.424,0.424,0.3139,0.6522,0.1336,0.0409,0.0668,0.2776,0.4437
33.3775,0.7646,0.4351,0.6384,0.3496,0.201,0.1764,0.1764,0.286,0.5244,0.1463,0.0616,0.1267,0.3722,0.4768
33.4774,0.7606,0.4586,0.665,0.3574,0.552,0.8358,0.8358,0.3835,0.5966,0.1185,0.1236,0.1665,0.1745,0.6117
33.5773,0.7674,0.2262,0.6278,0.1444,0.7121,1.3142,1.3142,0.2425,1.0248,0.0328,0.0708,0.118,0.1363,0.4951
33.6773,0.7611,0.1642,0.6451,0.2926,0.5742,1.3681,1.3681,0.029,1.0637,0.0765,0.0305,0.0678,0.0849,0.4545
33.7772,0.8008,0.3414,0.6825,0.3162,0.9274,0.9579,0.9579,0.0773,0.6618,0.1075,0.0706,0.0378,0.3353,0.5687
33.8771,0.925,0.2196,0.6208,0.2354,0.7243,0.6903,0.6903,0.2505,0.6244,0.1054,0.0713,0.0691,0.2825,0.4781
33.9771,1.0009,0.5669,0.5209,0.361,0.3607,0.3639,0.3639,0.2313,0.6482,0.074,0.0349,0.0205,0.043,0.3488
34.077,0.9547,0.5052,0.47,0.5703,0.462,0.2208,0.2208,0.3533,0.272,0.0363,0.0652,0.0681,0.0594,0.4377
34.1769,0.9223,0.1388,0.3649,0.4904,0.2913,0.3869,0.3869,0.1593,0.1589,0.0488,0.1332,0.0853,0.0724,0.432
34.2769,0.9534,0.1816,0.1623,0.2386,0.6075,0.9063,0.9063,0.1763,0.5192,0.0621,0.1217,0.1133,0.0432,0.3061
34.3768,0.9523,0.2947,0.0671,0.1098,0.7728,1.1843,1.1843,0.1974,0.7774,0.0382,0.0579,0.1453,0.0662,0.3249
34.4767,0.9333,0.2439,0.1156,0.1599,0.4062,1.3326,1.3326,0.3667,0.6338,0.0386,0.0355,0.0777,0.1066,0.3566
34.5767,0.8751,0.3607,0.1691,0.3262,0.667,0.9971,0.9971,0.2794,0.7126,0.0535,0.0653,0.1219,0.0633,0.2321
34.6766,0.8204,0.2755,0.3063,0.3276,0.6619,0.2861,0.2861,0.2926,0.9558,0.0624,0.0693,0.1591,0.082,0.2095
34.7765,0.9114,0.265,0.3524,0.2578,0.4314,0.3428,0.3428,0.0979,0.7627,0.0631,0.1018,0.0797,0.2425,0.2885
34.8765,1.0533,0.3704,0.3246,0.2926,0.5607,0.4977,0.4977,0.1833,0.2864,0.0193,0.0802,0.0836,0.277,0.1864
34.9764,1.0813,0.2919,0.4108,0.1915,0.5558,0.0453,0.0453,0.1165,0.4529,0.0557,0.1099,0.0642,0.0872,0.1707
35.0763,1.0447,0.2069,0.5031,0.239,0.69,0.6189,0.6189,0.2458,0.6392,0.0902,0.0568,0.0477,0.1731,0.278
35.1763,1.0315,0.296,0.4699,0.4236,0.9329,0.786,0.786,0.2818,0.4281,0.0957,0.0459,0.1102,0.1158,0.2221
35.2762,1.0109,0.3211,0.4323,0.2801,0.8563,0.7184,0.7184,0.39,0.5529,0.0759,0.0561,0.1309,0.1372,0.2503
35.3761,0.9573,0.2386,0.4819,0.2208,0.8132,0.3964,0.3964,0.1385,1.0678,0.0413,0.0556,0.1478,0.0978,0.338
35.476,0.9197,0.2972,0.4635,0.3456,0.7805,1.0767,1.0767,0.1093,0.9313,0.0492,0.0821,0.0495,0.0579,0.2984
35.576,0.9349,0.5247,0.3862,0.3583,0.7349,1.423,1.423,0.1964,0.4582,0.0612,0.098,0.0346,0.0737,0.3105
35.6759,0.9534,0.5914,0.443,0.4936,0.9698,1.2524,1.2524,0.3365,0.552,0.0502,0.0583,0.0703,0.0138,0.3855
35.7758,0.9057,0.5688,0.5292,0.6228,1.0356,1.284,1.284,0.1722,1.0748,0.048,0.0602,0.1154,0.0678,0.4135
35.8758,0.8299,0.5049,0.5206,0.4936,0.8771,1.2141,1.2141,0.2345,0.9142,0.0399,0.049,0.107,0.1165,0.4271
35.9757,0.8122,0.5844,0.5383,0.3709,0.7622,0.9734,0.9734,0.3319,0.6534,0.0124,0.0561,0.144,0.1038,0.4115
36.0756,0.8723,0.8173,0.6351,0.4402,0.7298,0.6049,0.6049,0.233,1.1303,0.0159,0.12,0.1363,0.0553,0.4218
36.1756,0.9583,0.8554,0.6623,0.5521,0.8955,0.8336,0.8336,0.2956,1.0614,0.0175,0.1547,0.0582,0.0181,0.4368
36.2755,0.9273,0.719,0.5942,0.7148,1.0515,1.3203,1.3203,0.3589,0.6827,0.0257,0.1145,0.0413,0.0304,0.3838
36.3754,0.7072,0.5671,0.551,0.7697,0.9892,1.7051,1.7051,0.2263,0.8341,0.043,0.0446,0.0483,0.0834,0.4225
36.4754,0.5161,0.5622,0.536,0.5611,0.8718,1.814,1.814,0.2194,0.7456,0.0308,0.0319,0.0765,0.2001,0.4735
36.5753,0.5327,0.7843,0.44,0.2218,0.7169,1.7894,1.7894,0.2067,0.563,0.0624,0.0424,0.1704,0.1807,0.3917
36.6752,0.645,0.9911,0.3012,0.1915,0.5821,1.5327,1.5327,0.0759,0.3238,0.0691,0.0371,0.2904,0.0668,0.3774
36.7752,0.732,0.8299,0.2523,0.3576,0.7477,1.1336,1.1336,0.1703,0.5769,0.0898,0.0372,0.312,0.1181,0.4098
36.8751,0.7398,0.5477,0.2076,0.531,0.9325,0.8027,0.8027,0.1586,0.8048,0.0749,0.0412,0.2579,0.0521,0.3248
36.975,0.6528,0.5276,0.0735,0.6054,0.8349,0.3677,0.3677,0.3473,0.4259,0.0626,0.0284,0.1306,0.1663,0.2988
37.075,0.5343,0.6051,0.0869,0.4873,0.6413,0.628,0.628,0.2673,0.63,0.07,0.0313,0.1406,0.1822,0.3037
37.1749,0.4658,0.7141,0.1986,0.3348,0.5882,0.8094,0.8094,0.1854,1.0473,0.0928,0.0401,0.125,0.0652,0.2293
37.2748,0.5069,0.8275,0.3221,0.2566,0.609,0.4278,0.4278,0.0217,0.8742,0.0609,0.0107,0.051,0.1605,0.2287
37.3748,0.587,0.7785,0.4738,0.2907,0.716,0.2894,0.2894,0.2395,0.3679,0.0743,0.0284,0.0753,0.1173,0.2022
37.4747,0.5538,0.7148,0.5619,0.395,0.7002,0.7036,0.7036,0.2467,0.4924,0.0535,0.0401,0.0801,0.0516,0.1581
37.5746,0.414,0.7022,0.5693,0.4312,0.5804,0.6372,0.6372,0.2116,0.8772,0.0175,0.0447,0.0277,0.0858,0.1925
37.6746,0.3215,0.6076,0.5649,0.3597,0.7794,0.4934,0.4934,0.1934,0.6577,0.0425,0.037,0.0621,0.0751,0.1147
37.7745,0.3662,0.5742,0.5467,0.4804,0.8151,0.6989,0.6989,0.3525,0.5752,0.0634,0.036,0.0371,0.1281,0.1229
37.8744,0.4041,0.7007,0.4937,0.5467,0.7606,1.0763,1.0763,0.1039,0.9705,0.0493,0.0477,0.1055,0.1405,0.1827
37.9744,0.5192,0.8948,0.4936,0.4549,0.8406,0.9397,0.9397,0.2773,0.7124,0.0311,0.0192,0.1566,0.1747,0.1021
38.0743,0.529,1.1528,0.5333,0.4155,0.6869,0.3631,0.3631,0.2538,0.3587,0.0386,0.0257,0.1304,0.2368,0.1658
38.1742,0.3271,1.186,0.5119,0.3626,0.5422,0.1919,0.1919,0.2347,0.5557,0.0486,0.0436,0.0962,0.0915,0.1894
38.2742,0.1569,0.9565,0.4889,0.147,0.7827,0.6555,0.6555,0.1765,0.6647,0.0128,0.0495,0.092,0.1536,0.0856
38.3741,0.2306,0.9441,0.5103,0.2661,0.7013,1.0519,1.0519,0.2087,0.6317,0.0312,0.0124,0.1084,0.1614,0.155
38.474,0.323,1.1472,0.4682,0.4773,0.5468,1.2082,1.2082,0.0741,0.337,0.0989,0.0404,0.1536,0.1787,0.1599
38.574,0.3994,1.2195,0.4033,0.5334,0.6422,1.339,1.339,0.2213,0.5275,0.1218,0.0329,0.1781,0.1975,0.1295
38.6739,0.4843,1.2632,0.4607,0.4754,0.6165,1.0421,1.0421,0.1514,0.6758,0.0821,0.0156,0.1545,0.1209,0.1792
38.7738,0.4009,1.1256,0.5056,0.34,0.7447,0.5318,0.5318,0.2641,0.3198,0.0639,0.0556,0.1682,0.2867,0.1309
38.8738,0.2777,0.8985,0.4652,0.0985,0.909,0.6624,0.6624,0.1922,0.525,0.0556,0.092,0.12,0.1842,0.1503
38.9737,0.3257,0.9074,0.4709,0.1746,0.7876,0.5356,0.5356,0.1992,0.8765,0.097,0.0693,0.0678,0.1564,0.1633
39.0736,0.4595,0.8773,0.5007,0.3388,0.6461,0.6377,0.6377,0.0614,0.8273,0.1077,0.0465,0.0583,0.1433,0.0817
39.1736,0.5029,0.6474,0.4181,0.4179,0.5663,0.7011,0.7011,0.249,0.4678,0.125,0.0562,0.0837,0.1765,0.1996
39.2735,0.4479,0.5451,0.2624,0.4171,0.4828,0.572,0.572,0.224,0.5414,0.0677,0.0741,0.1484,0.2691,0.1751
39.3734,0.3337,0.4615,0.169,0.3147,0.6051,0.5296,0.5296,0.1498,0.662,0.0418,0.03,0.1797,0.1471,0.1139
39.4733,0.2814,0.5108,0.0842,0.1793,0.671,0.474,0.474,0.191,0.3416,0.0628,0.0501,0.2063,0.0739,0.284
39.5733,0.3416,0.7391,0.0928,0.2099,0.5661,0.6045,0.6045,0.2259,0.2834,0.0859,0.0646,0.1459,0.1219,0.2406
39.6732,0.4932,0.8515,0.2508,0.3908,0.5883,0.8448,0.8448,0.0609,0.5314,0.0535,0.037,0.0548,0.2105,0.1865
39.7731,0.6475,0.6045,0.3301,0.5044,0.643,1.1551,1.1551,0.2169,0.4232,0.0459,0.0202,0.0482,0.2615,0.3545
39.8731,0.664,0.4477,0.3711,0.5037,0.6228,1.416,1.416,0.1542,0.3212,0.0115,0.0441,0.0449,0.1794,0.3177
39.973,0.59,0.531,0.4567,0.4717,0.5756,1.4717,1.4717,0.2122,0.5553,0.0165,0.0608,0.0914,0.0919,0.2544
40.0729,0.4443,0.5498,0.5459,0.4381,0.4897,1.5246,1.5246,0.1916,1.0277,0.0291,0.0465,0.0611,0.1708,0.3758
40.1729,0.3164,0.6733,0.5966,0.3388,0.5279,1.6654,1.6654,0.038,1.0221,0.0206,0.0795,0.0358,0.2155,0.3689
40.2728,0.3508,0.8802,0.6315,0.3364,0.7319,1.6325,1.6325,0.2151,0.6396,0.0146,0.1133,0.1091,0.1804,0.3625
40.3727,0.5069,0.7206,0.6616,0.3955,0.8707,1.4081,1.4081,0.2443,0.7307,0.0178,0.0957,0.1361,0.097,0.4223
40.4727,0.6028,0.5958,0.6646,0.2529,0.8514,1.1919,1.1919,0.0475,0.8861,0.028,0.0479,0.0419,0.0839,0.4187
40.5726,0.5751,0.604,0.6209,0.0874,0.6918,1.0289,1.0289,0.227,0.8272,0.0476,0.0313,0.0483,0.2418,0.4521
40.6725,0.4894,0.6079,0.5396,0.133,0.5293,0.9999,0.9999,0.2687,1.121,0.0494,0.0101,0.1138,0.2607,0.4255
40.7725,0.5388,0.8728,0.4693,0.0986,0.5983,1.0759,1.0759,0.0333,1.0927,0.0682,0.0761,0.0921,0.189,0.3358
40.8724,0.7547,1.1066,0.4324,0.2113,0.8403,1.0118,1.0118,0.2161,0.4077,0.0422,0.0706,0.0916,0.2682,0.4197
40.9723,0.8889,0.9994,0.3878,0.3723,0.9716,0.8422,0.8422,0.1374,0.1858,0.0444,0.0895,0.0601,0.2633,0.4098
41.0723,0.8068,1.0355,0.356,0.3256,0.8771,0.6867,0.6867,0.2064,0.4777,0.0644,0.1176,0.0846,0.2796,0.2959
41.1722,0.6266,1.0141,0.3888,0.1142,0.7655,0.5009,0.5009,0.0949,0.6524,0.068,0.0236,0.1241,0.2376,0.4122
41.2721,0.527,0.9853,0.4156,0.0598,0.7884,0.2804,0.2804,0.14,0.3278,0.0306,0.0466,0.1662,0.2057,0.4192
41.3721,0.5511,1.2451,0.3955,0.1767,0.8211,0.2552,0.2552,0.1363,0.1665,0.0529,0.0263,0.0928,0.3196,0.2373
41.472,0.6353,1.4189,0.3849,0.3455,0.8928,0.6202,0.6202,0.1057,0.5558,0.0075,0.0454,0.0543,0.1981,0.2835
41.5719,0.6878,1.2608,0.3845,0.4803,0.9268,1.0066,1.0066,0.1042,0.8568,0.0415,0.0678,0.014,0.163,0.3226
41.6719,0.6945,1.2064,0.3373,0.482,0.7711,1.1813,1.1813,0.2548,0.8471,0.0705,0.0897,0.0859,0.2247,0.1792
41.7718,0.7611,1.2207,0.2697,0.4307,0.8117,1.1319,1.1319,0.1331,0.7657,0.0595,0.0432,0.0941,0.1331,0.2026
41.8717,0.8168,1.2785,0.243,0.368,1.0031,1.0051,1.0051,0.1472,0.3906,0.0333,0.0348,0.0905,0.2138,0.2682
41.9717,0.7357,1.4891,0.2131,0.2055,0.9828,0.9084,0.9084,0.1572,0.2922,0.0197,0.0544,0.1083,0.1366,0.1752
42.0716,0.693,1.5834,0.1482,0.337,0.9543,0.8575,0.8575,0.0809,0.3202,0.0457,0.0492,0.0362,0.1022,0.0914
42.1715,0.806,1.4826,0.1455,0.5903,0.971,0.7226,0.7226,0.228,0.2752,0.0409,0.012,0.0095,0.2243,0.1692
42.2715,0.8414,1.4119,0.2227,0.6119,0.8675,0.6362,0.6362,0.161,0.3327,0.0115,0.0266,0.0892,0.0816,0.1619
42.3714,0.7257,1.2799,0.3121,0.5285,0.9514,0.8061,0.8061,0.0093,0.3218,0.0388,0.0171,0.1111,0.0981,0.1141
42.4713,0.6144,1.174,0.432,0.5191,1.0433,1.1203,1.1203,0.1322,0.495,0.0916,0.0287,0.0975,0.0525,0.1897
42.5713,0.6363,1.2183,0.5628,0.5313,0.9133,1.2365,1.2365,0.0616,0.6213,0.0532,0.0244,0.0444,0.169,0.245
42.6712,0.8022,1.1894,0.6453,0.4366,0.8637,0.951,0.951,0.1382,0.5316,0.0412,0.0277,0.0481,0.2035,0.2412
42.7711,0.9283,1.1325,0.6683,0.4138,0.9047,0.4851,0.4851,0.1692,0.4064,0.0187,0.033,0.0369,0.044,0.218
42.8711,0.8795,1.2124,0.6798,0.5227,0.8489,0.1928,0.1928,0.0707,0.4199,0.0495,0.0393,0.0281,0.2206,0.1988
42.971,0.6926,1.1142,0.6867,0.5368,0.8828,0.0344,0.0344,0.1496,0.6352,0.0639,0.0269,0.0666,0.21,0.2557
43.0709,0.6667,0.9285,0.6405,0.577,0.8482,0.3761,0.3761,0.0837,0.8043,0.0954,0.0692,0.1388,0.0679,0.2703
43.1709,0.8373,0.9056,0.5674,0.6448,0.6368,0.8097,0.8097,0.1828,0.8246,0.0551,0.0429,0.1991,0.0942,0.2177
43.2708,0.8983,0.9725,0.5484,0.5353,0.5745,0.9213,0.9213,0.2166,0.9143,0.0274,0.0344,0.1232,0.0783,0.3186
43.3707,0.8068,1.072,0.5345,0.3965,0.6032,0.7275,0.7275,0.0522,0.9644,0.0142,0.0232,0.1621,0.2278,0.3496
43.4707,0.7301,1.1856,0.4551,0.3545,0.5109,0.4608,0.4608,0.1313,0.8425,0.0665,0.0678,0.1807,0.2211,0.1831
43.5706,0.6877,1.1022,0.3767,0.2307,0.6088,0.6331,0.6331,0.0857,0.6887,0.0573,0.1321,0.102,0.0524,0.218
43.6705,0.6556,0.8665,0.3351,0.293,0.6818,0.9285,0.9285,0.0475,0.6264,0.0497,0.0911,0.1133,0.1685,0.2936
43.7704,0.6285,0.6525,0.2411,0.6091,0.4535,1.016,1.016,0.0277,0.4887,0.0112,0.055,0.1132,0.117,0.1696
43.8704,0.6418,0.61,0.1887,0.7855,0.3981,0.8115,0.8115,0.1067,0.4147,0.0344,0.0281,0.0444,0.1301,0.2365
43.9703,0.7288,0.7026,0.308,0.7416,0.4519,0.7343,0.7343,0.2282,0.5915,0.0473,0.1038,0.1416,0.1547,0.2874
44.0702,0.7687,0.7087,0.3709,0.5262,0.2796,0.7254,0.7254,0.2815,0.6718,0.0581,0.1617,0.0625,0.0102,0.1419
44.1702,0.6501,0.5653,0.359,0.3112,0.3202,0.5995,0.5995,0.1969,0.831,0.0173,0.1224,0.0576,0.1156,0.1834
44.2701,0.4731,0.5306,0.3618,0.3843,0.4473,0.7144,0.7144,0.216,0.9586,0.0234,0.0608,0.0403,0.0986,0.2048
44.37,0.6342,0.631,0.3283,0.5323,0.4296,0.7168,0.7168,0.141,0.9236,0.0393,0.0189,0.0896,0.0703,0.1192
44.47,0.9972,0.6795,0.1941,0.4995,0.594,0.4416,0.4416,0.0875,1.0159,0.0363,0.0509,0.0405,0.0452,0.2313
44.5699,1.0482,0.7296,0.1578,0.5661,0.5368,0.7026,0.7026,0.1924,1.1488,0.0228,0.0267,0.0523,0.0671,0.1869
44.6698,0.8488,0.8933,0.2791,0.6451,0.4908,0.7466,0.7466,0.2721,0.9434,0.0459,0.0817,0.0776,0.1024,0.0571
44.7698,0.6094,1.035,0.3091,0.5988,0.694,0.6846,0.6846,0.1859,0.5301,0.0438,0.0888,0.075,0.1672,0.2283
44.8697,0.5709,1.0054,0.319,0.4711,0.6928,1.0743,1.0743,0.0901,0.2837,0.037,0.1067,0.135,0.0661,0.1723
44.9696,0.7342,0.8321,0.3905,0.2765,0.7634,1.4106,1.4106,0.0436,0.1784,0.0466,0.1183,0.0858,0.1217,0.1155
45.0696,0.8659,0.7461,0.4258,0.18,0.9174,1.2216,1.2216,0.2191,0.2254,0.0667,0.0894,0.1016,0.1762,0.2827
45.1695,0.8478,0.8166,0.4497,0.3193,0.6716,1.0143,1.0143,0.2137,0.4944,0.0322,0.0406,0.1325,0.0995,0.2253
45.2694,0.8804,0.8044,0.5868,0.367,0.6848,1.5484,1.5484,0.0751,0.8494,0.0656,0.1135,0.0675,0.0559,0.0227
45.3694,0.971,0.7447,0.7319,0.3807,0.9664,1.9885,1.9885,0.0404,0.971,0.0582,0.1829,0.1046,0.1803,0.2009
45.4693,0.8965,0.7246,0.7525,0.4101,0.9116,1.6488,1.6488,0.1405,0.9066,0.0271,0.1498,0.1817,0.2166,0.1907
45.5692,0.8198,0.6762,0.6922,0.5374,0.8855,1.0055,1.0055,0.1831,0.9028,0.0451,0.0688,0.157,0.1922,0.0823
45.6692,1.0037,0.6659,0.6705,0.6167,0.959,0.786,0.786,0.2899,0.7269,0.0929,0.0376,0.0643,0.0912,0.1795
45.7691,1.1612,0.7994,0.6426,0.552,0.7213,0.7903,0.7903,0.229,0.2749,0.048,0.0277,0.0837,0.1013,0.1919
45.869,1.043,0.759,0.5227,0.4006,0.6565,0.9075,0.9075,0.1628,0.1631,0.0357,0.0535,0.0279,0.1995,0.0944
45.969,0.863,0.5201,0.4177,0.331,0.7496,1.4233,1.4233,0.1374,0.3257,0.0139,0.1047,0.0906,0.105,0.0522
46.0689,0.7724,0.5074,0.4246,0.5712,0.7709,1.4564,1.4564,0.0557,0.6105,0.027,0.1074,0.1321,0.1525,0.0817
46.1688,0.9806,0.6081,0.3675,0.8629,0.8795,1.0988,1.0988,0.0466,0.7535,0.0408,0.0688,0.1115,0.2634,0.0609
46.2688,1.2059,0.605,0.1957,0.8986,0.8851,0.8602,0.8602,0.1119,0.9434,0.0516,0.0097,0.0988,0.1983,0.0665
46.3687,1.2231,0.68,0.1552,0.7966,0.8504,0.7158,0.7158,0.2001,0.8029,0.0397,0.0424,0.0997,0.149,0.1043
46.4686,1.041,0.6771,0.2112,0.7521,0.8529,0.6059,0.6059,0.252,0.5014,0.0478,0.0512,0.1261,0.0466,0.1147
46.5686,1.004,0.674,0.2039,0.677,0.6797,0.3973,0.3973,0.1295,0.3161,0.045,0.0597,0.1355,0.1452,0.0955
46.6685,1.1738,0.7392,0.3045,0.5384,0.5592,0.1124,0.1124,0.0609,0.3046,0.0315,0.0461,0.0935,0.2143,0.0881
46.7684,1.2498,0.6848,0.3842,0.6063,0.7086,0.4932,0.4932,0.1164,0.2185,0.0104,0.0502,0.0275,0.1384,0.1201
46.8684,1.172,0.7138,0.3318,0.7862,0.8517,0.7567,0.7567,0.2346,0.2296,0.0383,0.048,0.0937,0.0044,0.1252
46.9683,1.1259,0.7742,0.3027,0.7951,0.8804,0.8001,0.8001,0.2797,0.4215,0.068,0.0371,0.1571,0.1152,0.0978
47.0682,1.1454,0.7867,0.3786,0.6501,0.8131,0.6399,0.6399,0.1953,1.0965,0.0882,0.0432,0.1108,0.2315,0.1551
47.1682,1.1447,0.9714,0.3677,0.4941,0.7572,0.2047,0.2047,0.0513,1.2017,0.0556,0.0319,0.0755,0.2288,0.1964
47.2681,1.0854,1.0752,0.2994,0.496,0.6789,0.6936,0.6936,0.2399,0.9197,0.0263,0.0633,0.0598,0.0615,0.132
47.368,1.0792,0.8211,0.3293,0.5222,0.5908,0.8694,0.8694,0.2385,0.8745,0.0311,0.0704,0.0592,0.1607,0.1165
47.468,1.2508,0.7044,0.3489,0.6576,0.709,0.5267,0.5267,0.2918,0.7381,0.0796,0.0553,0.0721,0.1659,0.2014
47.5679,1.3303,0.7461,0.3501,0.7285,0.7632,0.2166,0.2166,0.2762,0.2336,0.0641,0.0544,0.0242,0.2184,0.1792
47.6678,1.1146,0.754,0.4709,0.5607,0.6412,0.8096,0.8096,0.1848,0.4335,0.0473,0.0315,0.0575,0.168,0.1033
47.7677,0.8316,0.7413,0.5887,0.4878,0.6693,1.0574,1.0574,0.1033,0.209,0.0124,0.0603,0.0252,0.1223,0.1508
47.8677,0.8102,0.6998,0.62,0.6734,0.6997,1.2159,1.2159,0.1887,0.3536,0.0425,0.1157,0.0846,0.2337,0.1705
47.9676,1.0296,0.5185,0.6427,0.7181,0.7087,1.4819,1.4819,0.1794,0.5681,0.0419,0.1175,0.0918,0.1179,0.1155
48.0675,1.1301,0.5141,0.671,0.6809,0.7211,1.4709,1.4709,0.1574,0.9835,0.0527,0.0979,0.0364,0.2359,0.0928
48.1675,1.0458,0.6973,0.6351,0.6934,0.6326,1.1554,1.1554,0.1455,1.1739,0.0266,0.035,0.054,0.2622,0.1366
48.2674,0.9072,0.7469,0.5749,0.6072,0.5576,0.5174,0.5174,0.3168,0.8195,0.0166,0.0384,0.1187,0.1411,0.1729
48.3673,0.9364,0.5766,0.5607,0.5811,0.4836,0.3775,0.3775,0.1726,0.3996,0.0307,0.0425,0.0914,0.1077,0.1974
48.4673,1.0747,0.3767,0.5273,0.5741,0.4506,1.1727,1.1727,0.1107,0.2913,0.0205,0.0856,0.0253,0.0564,0.1885
48.5672,1.0758,0.4355,0.4408,0.4893,0.5368,1.9182,1.9182,0.0984,0.1357,0.0172,0.1196,0.009,0.1077,0.1849
48.6671,0.8854,0.6713,0.3668,0.5502,0.5572,1.9725,1.9725,0.1632,0.2782,0.0352,0.0435,0.0801,0.121,0.2443
48.7671,0.8347,0.7266,0.2918,0.5038,0.5284,1.5254,1.5254,0.3235,0.3201,0.0675,0.0771,0.0713,0.0132,0.2454
48.867,0.9284,0.6193,0.1537,0.3224,0.4735,0.9207,0.9207,0.2718,0.9,0.0696,0.0587,0.0232,0.0894,0.2044
48.9669,0.8409,0.4422,0.0717,0.2407,0.4295,0.7314,0.7314,0.0666,0.8301,0.0706,0.0208,0.0444,0.1318,0.3116
49.0669,0.6717,0.3277,0.1758,0.4024,0.4343,0.9393,0.9393,0.2257,0.5363,0.051,0.0234,0.1331,0.2182,0.3693
49.1668,0.7788,0.3827,0.2536,0.4616,0.2536,1.1702,1.1702,0.1575,0.5751,0.0838,0.123,0.0913,0.2061,0.2976
49.2667,0.9622,0.5424,0.3552,0.4994,0.2679,1.4184,1.4184,0.123,0.7107,0.0963,0.1141,0.0854,0.0417,0.3152
49.3667,0.909,0.4492,0.4378,0.3319,0.3412,1.4563,1.4563,0.2642,0.5277,0.0935,0.0336,0.114,0.1296,0.3568
49.4666,0.7464,0.4102,0.4322,0.1945,0.2471,1.1166,1.1166,0.2766,0.2061,0.0492,0.0469,0.1365,0.205,0.2947
49.5665,0.5986,0.6003,0.3936,0.2397,0.4418,0.6448,0.6448,0.1919,0.3953,0.0884,0.0125,0.181,0.351,0.35
49.6665,0.7955,0.6722,0.4186,0.3161,0.4415,0.2885,0.2885,0.2499,0.6617,0.0933,0.0627,0.0857,0.2942,0.4192
49.7664,0.9937,0.539,0.4402,0.5131,0.2299,0.4084,0.4084,0.2222,0.8009,0.0652,0.0944,0.1572,0.1502,0.3789
49.8663,0.8777,0.3144,0.414,0.7108,0.4258,0.422,0.422,0.1162,1.2011,0.0384,0.062,0.1429,0.2121,0.3984
49.9663,0.5652,0.2984,0.4299,0.592,0.3897,0.0516,0.0516,0.1769,1.3102,0.0647,0.0132,0.1744,0.1399,0.3983
