Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
10.1931,0.0777,0.0206,0.8367,0.7418,1.9056,1.9569,3.2457,2.8297,1.033,2.306,0.2451,12.0539,1.7966,3.9486,4.5956,1.563
10.2931,0.0749,0.0143,0.7795,0.7267,0.7809,0.6673,2.419,2.6901,1.9923,2.6416,0.2512,4.5959,1.617,3.712,4.2014,3.3156
10.393,0.0736,0.0092,1.0935,0.7599,0.7563,1.0584,1.9666,2.432,1.7138,1.0238,0.2554,6.1186,1.3531,2.6805,1.9226,1.5313
10.4929,0.0741,0.0087,1.3737,0.8091,1.9182,1.9869,2.8772,3.5721,2.3788,1.9152,0.2575,4.3591,1.1714,2.3443,0.8565,6.2582
10.5929,0.076,0.0134,1.4244,0.8173,2.3227,0.7473,3.3361,4.6956,3.8486,4.0135,0.2575,13.0511,1.4505,2.9458,4.17,7.8512
10.6928,0.0788,0.0193,1.2124,0.7642,2.298,1.4482,1.3061,3.4251,2.4011,1.1705,0.2554,22.1428,1.8894,2.9992,4.8049,4.7249
10.7927,0.082,0.025,0.8425,0.6977,1.2394,1.2555,0.3383,3.9884,1.1058,2.277,0.2513,13.7093,1.9871,2.886,0.3854,6.2657
10.8926,0.0849,0.03,0.6425,0.6707,0.096,0.5506,1.7834,3.156,2.075,2.1446,0.2451,4.5827,1.5986,2.6679,4.8881,8.678
10.9926,0.0872,0.0341,0.8901,0.6921,0.9974,1.0059,2.2305,2.574,1.3042,0.7009,0.2371,4.4657,1.0748,1.9799,5.6462,6.0311
11.0925,0.0884,0.0369,1.2038,0.7372,2.5501,1.343,0.5472,3.6293,2.3124,2.2189,0.2274,5.043,1.2139,2.057,4.336,2.2377
11.1924,0.0884,0.0386,1.3162,0.7528,1.748,0.4643,0.2203,2.6568,4.2624,3.8505,0.2161,11.4653,1.6496,2.8984,0.9924,3.2348
11.2924,0.087,0.0389,1.1574,0.7079,2.4725,1.8929,2.0227,2.3623,2.0658,1.1087,0.2036,21.0879,1.7877,3.2106,1.8577,1.295
11.3923,0.0845,0.0379,0.7868,0.6357,1.6256,0.9206,2.5959,4.6372,1.2737,1.9565,0.1899,14.6433,1.6613,3.2873,4.8472,2.0482
11.4922,0.0809,0.0356,0.4822,0.5959,0.6412,0.7705,1.0929,3.8737,1.8367,1.9075,0.1754,5.5935,1.4795,3.1367,6.6442,1.6802
11.5922,0.0767,0.0321,0.7344,0.6243,0.5614,1.8594,0.95,3.4172,1.0558,0.5398,0.1605,3.4335,1.3042,2.6419,4.6307,0.9974
11.6921,0.0722,0.0277,1.1302,0.7021,2.5512,2.4919,2.0575,5.0156,2.4861,2.2596,0.1455,5.5865,1.1831,3.0794,0.8299,3.7538
11.792,0.068,0.0224,1.3342,0.7541,2.161,1.1333,2.1098,4.8615,4.4622,3.8927,0.1309,9.2861,1.3543,3.6373,3.3376,3.5561
11.892,0.0647,0.0166,1.2624,0.7301,1.8815,2.4908,1.0304,1.8128,1.7984,0.8965,0.1173,20.1807,1.7078,3.4649,3.6546,1.9926
11.9919,0.0629,0.0106,0.9545,0.6584,1.3461,2.135,1.0507,1.3724,1.3952,1.8209,0.1052,14.9125,1.8163,3.139,0.7948,2.0203
12.0918,0.0627,0.0059,0.5947,0.6034,0.6045,1.1648,1.3541,0.8549,1.5081,1.4557,0.0956,7.1581,1.5,2.6378,3.1563,2.1141
12.1918,0.0642,0.007,0.6249,0.6032,1.058,1.3384,1.5098,0.8526,0.8739,0.418,0.0891,2.9102,1.0682,2.4359,5.0815,3.4141
12.2917,0.0667,0.0122,0.9765,0.6502,2.0678,2.4645,0.7562,0.9485,2.8546,2.4282,0.0863,6.2367,1.1835,2.8525,5.8729,6.2844
12.3916,0.0699,0.0178,1.2266,0.6907,2.0527,1.4358,1.1116,1.3414,4.4747,3.6609,0.0871,7.2065,1.5253,2.6447,3.8764,5.2995
12.4916,0.0731,0.0229,1.2348,0.6799,2.207,1.7857,1.9629,3.8057,1.4157,0.8798,0.091,18.7264,1.603,2.0065,1.9109,3.1997
12.5915,0.0758,0.0273,0.9983,0.6292,0.7059,1.8876,1.9496,4.599,1.2511,1.537,0.0971,15.2637,1.4889,1.5822,4.7644,3.335
12.6914,0.0776,0.0307,0.6264,0.5758,0.0488,0.9979,1.8813,3.6092,1.1489,1.1504,0.1046,8.1219,1.4046,1.2999,6.7708,4.1326
12.7914,0.0784,0.033,0.4899,0.5548,1.5009,0.2155,2.3056,3.2939,1.0055,0.3666,0.1125,3.0296,1.3235,1.4865,5.6074,3.5239
12.8913,0.0779,0.0341,0.8223,0.5946,2.553,1.2359,1.6665,4.3948,3.0977,2.4902,0.1205,7.3632,1.167,1.4692,2.5744,1.684
