Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
21.6854,0.0394,0.0143,0.3931,0.3397,1.024,0.7748,1.2982,1.3268,1.1202,0.5674,0.0862,3.2044,0.7806,0.495,2.747,4.0324
21.7853,0.0372,0.0115,0.671,0.3934,0.6525,0.912,1.1833,1.0306,0.8846,0.7266,0.0919,0.4179,0.208,0.3182,2.4784,3.8795
21.8852,0.0358,0.0084,0.8101,0.4282,1.3332,0.9418,0.1189,0.8188,0.5667,0.7191,0.0971,8.052,0.5284,0.4392,0.9558,5.0532
21.9852,0.0355,0.0052,0.76,0.4126,0.6092,1.2323,0.3476,0.6108,0.8962,1.345,0.1017,10.1129,1.028,0.8652,0.5933,3.9898
22.0851,0.0364,0.0031,0.543,0.3656,0.0207,0.8154,0.8903,0.6857,1.3476,1.2856,0.1055,6.9551,1.1809,0.68,1.3961,1.5225
22.185,0.0381,0.0043,0.2516,0.3171,0.8004,0.8697,0.4613,1.4099,1.0972,0.6774,0.1084,3.3691,0.9527,0.5599,2.6369,1.5468
22.285,0.0403,0.0071,0.289,0.3101,1.1052,0.3693,1.0246,1.3502,1.1896,0.3638,0.1105,3.8186,0.4703,1.0663,2.1233,3.2738
22.3849,0.0427,0.0101,0.5747,0.3586,0.683,0.6674,0.8518,2.2775,0.9191,0.8827,0.1116,1.1872,0.0691,0.9337,0.5156,2.4062
22.4848,0.0448,0.0128,0.7529,0.4017,0.9886,0.3776,0.2975,3.0044,0.3528,0.5102,0.1117,7.0065,0.5071,1.055,1.4715,1.7339
22.5848,0.0464,0.0151,0.7562,0.4004,0.4105,1.0678,0.516,2.3646,1.1256,1.5745,0.1109,9.4432,0.7873,1.4189,2.3201,1.5881
22.6847,0.0473,0.0168,0.5894,0.3648,0.3624,1.0818,1.0163,1.3702,1.4996,1.1805,0.1092,7.3467,0.8941,1.0233,0.5189,3.2399
22.7846,0.0474,0.018,0.314,0.3166,0.7125,1.0543,0.7528,1.1421,1.1436,0.5004,0.1066,3.5683,0.7972,1.3069,1.5541,2.921
22.8846,0.0467,0.0185,0.2152,0.2958,0.6373,0.6594,1.2235,0.7867,1.2351,0.5484,0.1031,4.2286,0.4794,1.7115,2.3256,0.8311
22.9845,0.0453,0.0184,0.48,0.3331,0.9973,0.2847,0.9884,0.5671,0.9823,0.8899,0.099,2.4307,0.0287,1.2916,2.7042,1.6688
23.0844,0.0432,0.0176,0.6859,0.379,0.831,0.7716,0.3235,1.8118,0.1926,0.6848,0.0943,5.9904,0.4982,1.4477,1.9048,1.7016
23.1844,0.0408,0.0163,0.7396,0.3915,0.0523,0.4764,0.5081,1.6623,1.3751,1.6046,0.0891,8.7451,0.8289,1.5609,0.6384,2.0769
23.2843,0.0382,0.0144,0.634,0.3755,0.4475,0.4514,1.3403,1.1028,1.569,0.8553,0.0837,7.4507,0.8684,1.1921,1.6986,2.8985
23.3842,0.0358,0.0121,0.4069,0.34,0.9462,0.774,0.7999,1.1268,1.1385,0.2551,0.0782,3.9325,0.6163,1.6735,3.1897,3.4374
23.4842,0.0339,0.0094,0.221,0.3092,0.7399,1.536,0.406,1.5794,1.3057,0.8064,0.0729,4.5673,0.2123,1.6468,2.4112,1.3956
23.5841,0.0331,0.0066,0.4096,0.3282,0.6845,1.1797,0.3631,2.1266,1.0139,0.7101,0.0681,3.5084,0.2032,0.9976,0.9642,1.3054
23.684,0.0332,0.0039,0.6472,0.3742,1.0315,1.5518,0.8656,1.9539,0.2982,0.6761,0.0642,4.6924,0.4409,1.2627,1.8099,1.1588
23.7839,0.0344,0.0028,0.7555,0.3958,0.4404,1.1727,0.376,1.0361,1.5715,1.4319,0.0615,8.2224,0.5559,1.2472,2.3942,0.8094
23.8839,0.0363,0.0046,0.6984,0.3841,0.0493,0.5784,0.7291,0.974,1.6465,0.9025,0.0603,7.1831,0.5881,0.9992,1.2775,0.5783
23.9838,0.0386,0.0072,0.4934,0.3451,0.8824,0.2716,0.1337,1.2134,1.1033,0.3544,0.0607,4.3841,0.5104,1.3157,1.1016,0.9458
24.0837,0.0408,0.0097,0.2402,0.303,1.0037,0.8936,0.7895,0.835,1.2964,0.7828,0.0626,5.0344,0.2949,1.1243,1.5726,4.027
24.1837,0.0427,0.012,0.3222,0.311,0.4421,0.6838,0.3834,1.9466,1.1266,0.8599,0.0659,4.2624,0.0967,0.5006,3.1754,4.1691
24.2836,0.044,0.0138,0.5782,0.357,0.6911,0.7924,0.2572,2.7115,0.5789,0.6195,0.0702,3.4761,0.352,0.8696,3.3707,3.3538
24.3835,0.0447,0.0151,0.7286,0.3852,0.4234,1.1343,0.5414,1.9941,1.7795,1.5048,0.0752,7.521,0.5354,1.0927,1.8667,2.6992
24.4835,0.0447,0.0158,0.7227,0.3813,0.5354,0.7157,1.3947,1.0437,1.5568,0.769,0.0804,6.9239,0.5401,0.9673,1.1693,2.4477
24.5834,0.0439,0.016,0.5675,0.3497,0.3665,0.359,0.9087,0.8097,1.0113,0.2414,0.0858,4.5514,0.3755,1.2196,2.8188,1.0198
24.6833,0.0425,0.0156,0.3268,0.3083,0.7773,0.6067,0.7405,1.1141,1.4124,0.9361,0.091,5.3901,0.1764,1.2684,2.2818,1.2474
24.7833,0.0405,0.0147,0.2576,0.3046,1.0129,0.5001,0.9698,1.0658,1.1433,0.8556,0.0959,4.9893,0.2132,0.7846,1.7761,1.6883
24.8832,0.0383,0.0133,0.4763,0.3434,0.0446,0.9628,1.3005,0.8242,0.8167,0.6037,0.1003,2.7767,0.2816,1.1875,1.9243,1.5204
24.9831,0.036,0.0115,0.6588,0.3777,0.4125,0.9728,1.2023,0.3637,1.9017,1.4782,0.1041,6.5626,0.3,1.6729,2.3425,1.3172
25.0831,0.0341,0.0093,0.7103,0.385,0.896,0.5628,1.5472,1.4519,1.4767,0.7012,0.1073,6.7594,0.3551,1.5187,2.6512,1.6555
25.183,0.0327,0.007,0.6113,0.3561,0.7443,0.6733,0.9178,1.5761,0.8724,0.1727,0.1097,4.5132,0.3919,1.487,2.0679,0.5467
25.2829,0.0322,0.0047,0.3875,0.297,0.359,1.6516,0.3545,1.8922,1.5316,1.0838,0.1113,5.3884,0.3235,1.4271,0.7122,2.1702
25.3829,0.0327,0.0031,0.182,0.2608,1.0739,1.3324,0.8068,2.7418,1.2462,0.9062,0.1121,5.7753,0.1474,1.0502,3.0164,0.9304
25.4828,0.0339,0.0035,0.3441,0.2824,0.4288,1.729,1.1636,2.551,1.1813,0.6852,0.1121,2.3508,0.1271,1.5775,3.727,2.8548
25.5827,0.0356,0.0054,0.5554,0.3183,0.2458,1.7109,0.451,1.4398,1.9188,1.4349,0.1111,5.7492,0.3223,1.8681,2.5735,3.6574
25.6827,0.0375,0.0076,0.6508,0.3416,0.5753,1.2677,0.803,0.7341,1.1558,0.5,0.1093,6.377,0.4032,1.3229,1.2401,3.2781
25.7826,0.0393,0.0096,0.6011,0.3404,0.9076,0.8376,0.2532,0.6407,0.9015,0.1903,0.1067,4.5874,0.3485,1.0457,1.9282,3.8041
25.8825,0.0408,0.0114,0.4257,0.3095,0.4262,1.4367,0.5202,0.027,1.8098,1.2136,0.1032,5.2192,0.2406,1.0184,2.1304,3.044
25.9825,0.0417,0.0127,0.2375,0.2856,0.7012,1.6231,0.7691,1.1807,1.0735,0.8178,0.0989,6.3007,0.1506,0.7841,2.2597,2.5663
26.0824,0.042,0.0135,0.3242,0.303,0.3255,1.5679,1.0801,1.3882,1.2969,0.6625,0.0938,2.3363,0.0514,1.2471,1.7184,1.1403
26.1823,0.0416,0.0139,0.5299,0.3336,0.1323,2.1255,1.4668,1.0322,1.6941,1.2883,0.0881,5.1523,0.2163,1.2455,1.8354,1.7535
26.2823,0.0406,0.0138,0.6539,0.3504,0.5629,1.9053,1.9658,1.3352,1.0664,0.461,0.0817,5.7555,0.4073,0.5289,3.1964,2.0895
26.3822,0.039,0.0131,0.6419,0.3391,0.4157,1.4225,1.3431,1.3948,1.0651,0.2821,0.0748,4.7209,0.4772,0.2752,2.9872,1.178
26.4821,0.037,0.012,0.4896,0.2921,0.7848,0.8236,1.0531,1.999,1.8062,1.2334,0.0675,5.1216,0.3843,0.4369,0.7588,1.8784
26.5821,0.0349,0.0105,0.26,0.2477,0.8115,1.2452,1.7756,2.1697,0.8214,0.8267,0.0599,6.504,0.1922,0.2217,1.7049,2.3624
26.682,0.0329,0.0087,0.2226,0.2605,0.2985,0.6507,1.9834,1.4188,1.2714,0.5861,0.0524,2.9778,0.2225,0.6192,2.6641,2.9595
26.7819,0.0313,0.0066,0.4312,0.3085,0.4334,1.0557,1.4995,0.8824,1.5846,1.2169,0.0453,4.4792,0.4102,0.9394,2.3457,0.8057
26.8819,0.0304,0.0044,0.5878,0.3566,1.0401,0.9483,1.4084,1.2808,1.0465,0.4293,0.0393,5.2022,0.4877,0.7028,2.3349,1.7806
26.9818,0.0304,0.0028,0.6196,0.3781,0.6387,0.9236,0.8916,0.9224,1.0752,0.2868,0.0352,4.6613,0.43,0.0157,1.6024,2.0518
27.0817,0.0312,0.0031,0.512,0.3445,0.6566,0.6533,0.4801,1.2107,1.7132,1.2925,0.0341,4.9332,0.2849,0.5339,1.8141,3.2811
27.1817,0.0326,0.0049,0.3042,0.2706,1.1124,0.1135,0.8133,2.249,0.6518,0.8917,0.0365,6.6808,0.1471,0.432,2.6548,4.6469
27.2816,0.0344,0.0071,0.1773,0.2259,0.4032,0.5979,0.8068,1.9671,1.2917,0.5931,0.0417,3.633,0.2563,0.6523,2.0582,4.3249
27.3815,0.0362,0.0091,0.3525,0.249,0.4116,0.543,0.899,0.8928,1.5075,1.1712,0.049,3.9214,0.4486,0.8998,0.4399,1.8044
27.4815,0.0377,0.0109,0.5288,0.2979,0.8318,0.3498,1.3613,0.646,0.9459,0.2765,0.0574,4.73,0.5525,0.3701,2.9338,1.4103
27.5814,0.0389,0.0124,0.5974,0.3305,0.9892,0.2015,0.9007,1.0336,1.0638,0.4,0.0664,4.4718,0.5142,0.5024,3.1893,2.4609
27.6813,0.0394,0.0134,0.5331,0.3239,0.1937,0.8509,1.0865,1.4114,1.6164,1.3801,0.0755,4.4734,0.3666,0.7415,2.1547,2.4192
27.7813,0.0394,0.014,0.3626,0.2916,0.8342,0.8306,1.8494,1.0604,0.4499,0.7993,0.0847,6.8623,0.3042,0.3714,1.1743,1.9326
27.8812,0.0388,0.0142,0.2031,0.2687,0.3105,0.8953,2.0487,0.2661,1.2685,0.5706,0.0936,4.0983,0.4749,0.5383,0.9836,2.5831
27.9811,0.0377,0.0139,0.2966,0.267,0.335,1.3682,2.1422,1.3843,1.4193,0.9973,0.1021,3.8536,0.6278,0.2786,1.5636,2.1641
28.0811,0.0362,0.0132,0.4755,0.2903,0.3075,1.3529,2.2154,1.8358,0.861,0.3039,0.1101,4.0639,0.6261,0.5848,2.1991,1.2248
28.181,0.0344,0.012,0.5778,0.3257,0.6654,0.9756,1.6761,1.602,0.9898,0.4284,0.1176,4.4099,0.4724,1.0726,1.2073,1.3583
28.2809,0.0326,0.0105,0.5571,0.3309,0.8696,0.3623,1.5025,2.2142,1.4728,1.3637,0.1243,3.9313,0.2891,0.6876,1.9816,1.074
28.3808,0.0311,0.0087,0.4203,0.2945,0.2261,0.8642,2.0012,2.4786,0.2962,0.8705,0.1303,6.7708,0.3303,0.4984,2.9973,0.8425
28.4808,0.03,0.0066,0.2414,0.2533,0.5087,0.453,1.7326,1.6168,1.2852,0.5404,0.1355,4.6586,0.5111,0.8201,2.7343,2.9357
28.5807,0.0296,0.0045,0.2421,0.2461,0.5012,0.7544,0.9753,0.6456,1.3262,0.9472,0.1399,3.976,0.6264,0.6868,0.7785,3.1724
28.6806,0.03,0.0025,0.4172,0.2759,0.8807,0.953,0.795,0.5058,0.7205,0.191,0.1434,3.2306,0.6107,1.0373,1.7747,1.4269
28.7806,0.0309,0.0019,0.5492,0.3095,0.1309,1.197,0.3569,0.2549,0.9308,0.5279,0.1461,4.4402,0.4661,1.0649,2.5642,1.602
28.8805,0.0322,0.0035,0.5668,0.3114,1.0717,0.8842,0.2514,0.5647,1.3078,1.4233,0.1478,3.5399,0.3271,0.4364,3.0804,1.5627
28.9804,0.0336,0.0054,0.4644,0.2894,0.687,0.4185,0.9917,1.1195,0.0959,0.7853,0.1486,6.4163,0.471,0.7778,2.8757,1.7396
29.0804,0.035,0.0073,0.2979,0.2767,0.464,0.7267,1.1839,0.8916,1.2449,0.5613,0.1486,5.2395,0.7002,0.976,1.7395,2.6705
29.1803,0.0362,0.0089,0.2318,0.2735,0.3028,0.5565,1.7989,1.2625,1.2635,0.7567,0.1476,4.0774,0.7806,0.6322,0.709,1.3462
29.2802,0.0369,0.0101,0.3678,0.2777,0.9308,0.2484,1.9977,1.4658,0.6014,0.242,0.1457,2.5241,0.6536,0.6851,1.2611,1.3431
29.3802,0.0371,0.0109,0.507,0.2997,0.6369,0.5414,1.6278,1.718,0.779,0.5867,0.143,4.3183,0.4017,0.6308,0.798,2.7156
29.4801,0.0369,0.0113,0.5521,0.3145,0.5928,1.329,1.9356,2.2165,1.1552,1.3456,0.1394,3.1797,0.3224,0.1387,1.9469,3.2489
29.58,0.0362,0.0112,0.4879,0.3047,0.7493,1.1011,2.5694,1.8485,0.0269,0.8364,0.135,6.092,0.5299,0.6338,3.0917,3.3232
29.68,0.0351,0.0107,0.3537,0.2889,0.0705,1.2435,2.3774,1.0074,1.2747,0.4702,0.1297,5.5406,0.6981,0.8452,3.2038,4.8396
29.7799,0.0337,0.0098,0.2533,0.2757,0.2452,1.5283,2.0783,1.3089,1.2376,0.7263,0.1236,4.4325,0.719,0.5141,1.7401,4.746
29.8798,0.0322,0.0085,0.322,0.2692,0.4003,1.4561,1.9403,1.3477,0.4402,0.1226,0.1168,1.9291,0.5749,0.3395,1.8276,2.7755
29.9798,0.0308,0.0069,0.4579,0.2855,0.8141,0.856,1.5178,1.0059,0.5857,0.5744,0.1092,4.0489,0.3302,0.6098,2.9158,0.6812
30.0797,0.0297,0.0051,0.5314,0.3047,0.7788,0.8909,1.2201,1.8192,1.1293,1.4552,0.101,2.6786,0.3351,0.3357,3.4661,1.1162
30.1796,0.0291,0.0031,0.4999,0.3021,0.2923,1.2817,1.3458,2.0199,0.1357,0.7825,0.0921,5.8084,0.6241,0.7846,3.6273,1.1328
30.2796,0.0291,0.0014,0.3806,0.2886,0.4738,1.1375,0.7095,1.0612,1.4378,0.6059,0.0827,5.6466,0.8167,1.1678,2.4538,0.6649
30.3795,0.0296,0.0018,0.2549,0.2773,0.5697,1.3912,0.6201,0.5653,1.16,0.5298,0.0728,4.9653,0.7944,0.6552,0.9109,2.5084
30.4794,0.0305,0.0036,0.2946,0.2784,0.6862,1.6255,0.7554,0.7053,0.2199,0.2724,0.0626,1.1896,0.559,0.6474,0.8033,2.9554
30.5794,0.0317,0.0054,0.4451,0.3025,0.432,1.4932,0.6589,1.2314,0.6092,0.7595,0.0523,3.8596,0.2728,1.0571,1.8446,1.1261
30.6793,0.033,0.0071,0.5417,0.3201,1.1387,0.5382,1.3201,1.1326,1.0587,1.3583,0.0422,2.1487,0.4308,0.8564,2.0489,1.1758
30.7792,0.0341,0.0085,0.529,0.3036,0.3752,0.6464,1.8915,0.386,0.4489,0.692,0.0329,5.3253,0.7092,1.3325,2.7252,1.3361
30.8792,0.0349,0.0096,0.4211,0.2731,0.471,0.498,1.9769,0.9384,1.4968,0.6143,0.0258,5.8133,0.8116,1.3114,2.6982,1.0022
30.9791,0.0354,0.0104,0.2852,0.2559,0.356,0.3223,2.3313,1.7633,0.9625,0.3417,0.0231,5.3296,0.6979,0.6432,1.9467,1.8388
31.079,0.0355,0.0108,0.2662,0.2568,0.942,0.6352,2.3309,1.6173,0.1604,0.2748,0.0263,0.4723,0.4137,1.4591,3.1511,2.8997
31.179,0.0351,0.0109,0.39,0.2788,0.5723,1.0022,1.997,1.7443,0.6284,0.7729,0.0336,3.7787,0.1324,1.6257,4.0319,3.6887
31.2789,0.0343,0.0106,0.4994,0.3014,0.7279,0.8641,2.1562,2.2555,0.8286,1.2752,0.0427,1.7953,0.4148,1.3252,3.5772,2.5567
31.3788,0.0331,0.0099,0.526,0.3013,0.7754,0.4097,2.3864,1.7418,0.7181,0.6963,0.0523,4.6861,0.7128,1.6415,3.3782,1.2233
31.4788,0.0318,0.0089,0.468,0.2896,0.2229,0.3869,1.7713,0.6263,1.4958,0.6333,0.062,5.9344,0.8404,1.2849,2.1222,1.1413
31.5787,0.0305,0.0076,0.3515,0.275,0.304,0.548,1.2286,0.3429,0.828,0.1956,0.0712,5.5864,0.7292,1.2391,1.0056,0.8025
31.6786,0.0293,0.006,0.2454,0.2541,0.5704,0.6405,1.1036,0.1885,0.1961,0.2807,0.0799,0.6645,0.3943,2.0512,2.0387,1.0446
31.7786,0.0284,0.0043,0.2875,0.2504,1.1661,0.5755,0.7096,0.1903,0.5942,0.7947,0.0879,3.6083,0.1881,1.8537,2.4434,0.5374
31.8785,0.028,0.0024,0.4115,0.2698,0.4242,0.1523,0.2192,0.7726,0.5736,1.1961,0.095,1.5963,0.5652,1.4075,2.1419,2.0681
31.9784,0.0281,0.0007,0.483,0.2821,0.7623,0.5105,0.4482,0.95,0.9682,0.6963,0.1012,4.1522,0.8007,1.6442,2.9745,2.0624
32.0784,0.0287,0.0016,0.4656,0.2829,0.5051,0.6533,0.7274,1.11,1.4789,0.6793,0.1063,5.8019,0.7964,1.3743,3.2016,1.7994
32.1783,0.0295,0.0034,0.3719,0.275,0.7044,0.836,1.4627,1.4506,0.7349,0.0438,0.1104,5.9545,0.5806,1.5465,2.5078,1.7969
32.2782,0.0305,0.0051,0.2606,0.255,0.1941,1.2882,1.5057,1.3134,0.2414,0.338,0.1132,1.1242,0.2253,2.2314,3.4948,1.4119
32.3782,0.0315,0.0066,0.2638,0.2461,1.0429,1.4624,1.5361,1.6807,0.5324,0.8812,0.1149,3.3196,0.182,2.0107,4.1068,0.5901
32.4781,0.0324,0.0078,0.3684,0.2595,0.9142,0.8624,2.1262,1.6665,0.3459,1.0415,0.1154,1.4195,0.5395,1.5213,3.9378,1.5013
32.578,0.0329,0.0087,0.4413,0.2673,0.2854,0.63,2.3626,0.8442,1.2125,0.7471,0.1148,3.689,0.7589,1.8674,4.0126,2.401
32.6779,0.0332,0.0093,0.4388,0.2651,0.386,0.74,2.0763,0.7613,1.4103,0.7276,0.1129,5.5561,0.7815,1.8951,2.9515,2.8747
32.7779,0.033,0.0096,0.3654,0.2596,0.5856,0.6186,2.1361,1.1613,0.6434,0.1372,0.1099,6.2842,0.5842,2.0733,1.5214,3.0161
32.8778,0.0326,0.0095,0.2647,0.2458,0.5954,0.7997,2.0878,0.7576,0.3309,0.3147,0.1057,1.702,0.1989,2.7303,1.9055,2.5634
32.9777,0.0318,0.0091,0.2662,0.2459,0.7599,1.5413,1.6534,0.9156,0.3535,0.8752,0.1005,3.1132,0.2701,2.5497,2.0408,0.1388
33.0777,0.0309,0.0084,0.3872,0.2731,0.7682,1.7253,1.4916,1.538,0.4518,0.8861,0.0944,1.2679,0.6488,2.0451,2.495,1.0302
33.1776,0.0298,0.0074,0.489,0.2949,0.4815,1.424,1.3897,1.2068,1.3091,0.8473,0.0874,3.077,0.8107,2.4978,4.0146,1.1468
33.2775,0.0288,0.0062,0.5115,0.2983,0.1828,1.2281,0.6901,0.9409,1.398,0.8057,0.0796,5.4021,0.7252,2.6435,4.6439,1.069
33.3775,0.0281,0.0048,0.4487,0.2885,0.3726,1.1684,0.1266,0.9495,0.6958,0.3483,0.0711,6.3744,0.4573,2.6705,3.6109,1.1507
33.4774,0.0276,0.0033,0.3299,0.2633,0.5508,0.6343,0.175,1.0815,0.4269,0.3608,0.062,2.3881,0.1752,3.0595,2.8553,1.7763
33.5773,0.0274,0.0018,0.2527,0.2438,1.1599,0.7932,0.6127,1.247,0.2666,0.8553,0.0526,3.0845,0.3681,2.6856,2.8864,2.6947
33.6773,0.0277,0.0009,0.3157,0.2534,0.4404,1.2068,1.0872,0.5054,0.6014,0.6331,0.0431,1.2511,0.6265,2.1852,3.9951,3.248
33.7772,0.0283,0.0019,0.4106,0.2672,0.6806,1.1364,1.1973,0.6049,1.5036,1.1096,0.0337,2.4248,0.7379,2.688,5.1315,3.1408
33.8771,0.029,0.0034,0.4506,0.269,0.495,0.896,1.4984,1.5245,1.3244,0.7441,0.0252,5.19,0.6813,2.6856,4.6139,2.151
33.9771,0.0299,0.0047,0.4212,0.2644,0.6995,1.0404,1.9481,1.7174,0.6344,0.4255,0.0193,6.3834,0.4783,2.4242,2.9082,0.7255
34.077,0.0306,0.0059,0.3412,0.2508,0.2812,0.8961,1.8875,1.3292,0.5519,0.3357,0.0186,2.9058,0.2409,2.5696,1.4103,0.9742
34.1769,0.0312,0.0069,0.2745,0.2405,1.1152,0.2568,1.7796,1.6578,0.1118,0.7179,0.0237,3.085,0.4017,2.1082,0.7286,0.5248
34.2769,0.0316,0.0076,0.2951,0.2475,0.8562,0.4675,2.0755,1.6609,0.9146,0.5945,0.0316,1.4635,0.675,1.7132,2.1232,1.4172
34.3768,0.0316,0.008,0.3611,0.2539,0.2568,0.7524,1.9842,0.7377,1.5024,1.3046,0.0404,2.0184,0.7709,2.2276,4.358,1.2609
34.4767,0.0313,0.0082,0.409,0.2572,0.3688,0.555,1.4556,0.1542,1.2538,0.6197,0.0494,4.7502,0.6529,2.0882,5.1446,1.7968
34.5767,0.0308,0.008,0.4176,0.2683,0.7372,0.6192,1.3834,0.1244,0.7464,0.4108,0.0581,6.4869,0.4191,1.6753,4.3706,1.716
34.6766,0.0301,0.0076,0.3844,0.2713,0.6669,0.3196,1.3574,0.3545,0.7217,0.3613,0.0663,3.2326,0.3356,1.8474,3.2744,1.5475
34.7765,0.0293,0.0069,0.3393,0.2649,0.7342,0.4455,0.8737,0.1844,0.145,0.4502,0.0739,3.0071,0.5067,1.5444,2.3219,2.6234
34.8765,0.0285,0.0061,0.3376,0.2684,0.873,0.8458,0.4908,0.6621,1.0548,0.7974,0.0807,1.8318,0.6522,1.2935,3.2722,2.6329
34.9764,0.0278,0.005,0.3801,0.2733,0.315,0.9174,0.6472,1.1708,1.522,1.246,0.0866,1.7411,0.6866,1.8514,5.0458,3.415
35.0763,0.0273,0.0039,0.4179,0.269,0.1235,0.5848,0.9742,1.6957,1.2759,0.4719,0.0915,4.271,0.6286,1.7132,5.0389,4.1931
35.1763,0.027,0.0028,0.4165,0.262,0.2898,0.6822,1.0397,1.5698,0.8391,0.2717,0.0953,6.5044,0.508,1.3076,3.6936,4.128
35.2762,0.0271,0.002,0.3662,0.2486,0.8976,0.4009,1.0382,1.5394,0.7868,0.3322,0.098,3.6045,0.4047,1.6337,2.3888,3.0919
35.3761,0.0275,0.002,0.3021,0.2375,0.8864,0.0764,1.5006,1.6677,0.261,0.4219,0.0994,2.9599,0.4916,1.4428,1.5781,3.0725
35.4761,0.028,0.0028,0.301,0.2499,0.5272,0.3995,1.7931,0.9291,1.1552,0.7883,0.0997,2.1699,0.6654,1.3551,1.4715,2.1817
35.576,0.0285,0.0038,0.3628,0.2677,0.6039,0.8491,1.565,0.5269,1.5578,1.312,0.0987,1.469,0.7274,1.8483,3.0887,1.0798
35.6759,0.0291,0.0047,0.4183,0.2728,0.4236,0.911,1.5509,1.0752,1.2906,0.4054,0.0964,3.9429,0.6413,1.5265,3.9207,1.7102
35.7759,0.0296,0.0056,0.4297,0.2719,0.2955,1.1115,1.876,0.8476,0.9177,0.2203,0.0928,6.2713,0.5042,1.3379,4.1749,1.9165
35.8758,0.0299,0.0063,0.3867,0.2603,0.7784,1.1756,1.7224,0.4526,0.7975,0.4503,0.088,4.019,0.47,1.7576,4.479,0.2557
35.9757,0.03,0.0067,0.3124,0.2408,0.9528,0.7069,1.2972,0.9102,0.3432,0.2642,0.0821,3.087,0.5589,1.4748,3.5707,0.6815
36.0757,0.0299,0.007,0.2734,0.2385,0.5192,0.2686,1.3463,1.221,1.198,0.8813,0.0749,2.4215,0.6521,1.5677,2.9236,0.7178
36.1756,0.0296,0.007,0.3066,0.2476,0.3509,0.5128,1.4165,1.1364,1.6337,1.2399,0.0668,1.6098,0.6846,1.8348,3.5992,0.5723
36.2755,0.0292,0.0068,0.3635,0.2513,0.3039,0.5077,1.1289,1.1761,1.3204,0.3327,0.0576,3.5797,0.6593,1.3917,3.5279,0.9109
36.3755,0.0288,0.0064,0.3995,0.2568,0.4819,0.4202,0.8733,0.9713,0.9358,0.1283,0.0476,5.9603,0.5939,1.6093,3.1374,2.6226
36.4754,0.0283,0.0058,0.3948,0.2589,0.7365,0.6546,1.0445,1.194,0.6838,0.5007,0.0368,4.2412,0.5181,1.8437,3.2578,1.8139
36.5753,0.0278,0.0051,0.3575,0.2528,0.8693,0.8863,1.311,0.8378,0.3306,0.2158,0.0255,3.2839,0.5281,1.4329,2.5649,0.6513
36.6753,0.0275,0.0043,0.3249,0.2536,0.5084,0.9573,1.2183,0.3643,1.3205,0.9219,0.0138,2.737,0.6473,1.6035,1.8432,1.0036
36.7752,0.0273,0.0035,0.3259,0.2568,0.424,0.6976,1.1959,1.3925,1.7205,1.235,0.0046,2.0952,0.7433,1.671,2.0427,1.8855
36.8751,0.0273,0.0029,0.3553,0.2536,0.4447,0.5066,1.4927,1.8542,1.2244,0.2374,0.0127,3.0761,0.7253,1.3189,2.1099,2.5788
36.975,0.0274,0.0026,0.3905,0.2585,0.2839,0.3597,1.5777,1.3567,0.863,0.0548,0.025,5.72,0.6036,1.6137,3.2753,1.3509
37.075,0.0276,0.0028,0.4,0.2637,0.9113,0.7251,1.4409,1.2454,0.6075,0.6018,0.0374,4.2791,0.5017,1.6311,4.5904,0.9475
37.1749,0.0278,0.0034,0.3705,0.2541,0.9273,0.9607,1.5677,1.4486,0.3745,0.1011,0.0497,3.3468,0.5724,1.2027,3.9462,1.1175
37.2748,0.0281,0.0041,0.3264,0.2447,0.3647,0.881,1.6043,0.8743,1.4578,0.9993,0.0617,3.1712,0.7011,1.3875,3.2884,0.8279
37.3748,0.0284,0.0048,0.3051,0.2421,0.4904,0.5931,1.3334,0.3857,1.7494,1.1245,0.0732,2.5272,0.7429,1.4673,2.858,1.823
37.4747,0.0285,0.0054,0.3263,0.2393,0.5168,0.1579,1.2136,0.4158,1.0825,0.1225,0.084,2.7216,0.7139,1.2455,2.335,2.6164
37.5746,0.0286,0.0059,0.3726,0.2491,0.3934,0.252,1.488,0.2706,0.7306,0.1729,0.0941,5.372,0.6579,1.4971,2.9248,2.9693
37.6746,0.0285,0.0062,0.3981,0.263,0.7656,0.1864,1.3673,0.4154,0.5802,0.603,0.1033,4.3521,0.5563,1.5337,3.0826,1.5284
37.7745,0.0283,0.0064,0.3771,0.2605,0.8727,0.4882,1.074,0.2291,0.5036,0.0897,0.1116,3.3035,0.522,1.2008,1.9754,1.9892
37.8744,0.028,0.0064,0.3326,0.2535,0.4442,0.8056,1.206,1.0241,1.6082,0.9263,0.1189,3.5211,0.6987,1.4058,1.8952,1.2209
37.9744,0.0276,0.0063,0.3063,0.2503,0.1834,1.1237,1.6378,1.8124,1.6271,0.9764,0.1251,3.0235,0.8555,1.5849,2.354,0.8481
38.0743,0.0273,0.0061,0.3136,0.2409,0.392,0.7985,1.5456,1.9112,0.9022,0.2474,0.1301,2.6225,0.809,1.4513,2.7645,0.8425
38.1742,0.0269,0.0058,0.3419,0.2365,0.6189,0.7947,1.2166,1.4354,0.6969,0.2261,0.134,4.7995,0.6022,1.6127,4.0897,1.2066
