Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X,Pink2_Y
12.8913,1.5864,2.2054,2.6979,1.5889,0.7997,0.6312,1.8832,1.8832,0.2358,0.9223,0.8635,0.2887,1.0468,0.6243,1.3903
12.9912,1.238,3.3799,2.2949,1.9145,1.2922,1.4894,1.9727,1.9727,0.321,0.5962,0.3631,0.2899,0.2701,0.8253,2.0827
13.0912,1.2321,3.4453,1.8078,1.7549,1.4272,2.0488,1.0035,1.0035,1.6776,0.3503,0.3478,1.6118,1.0648,0.8745,2.786
13.1911,1.436,2.1807,1.8363,0.986,1.5608,1.7459,0.6943,0.6943,1.8712,0.3861,0.3244,1.9591,1.3612,0.4528,3.1365
13.291,1.0944,0.7249,1.9698,0.1201,1.1277,1.3975,1.2402,1.2402,2.4875,0.665,0.1072,1.7083,1.2665,0.2364,2.8574
13.391,1.1344,1.342,1.872,0.7749,0.7582,0.9097,1.5577,1.5577,3.4082,1.1834,0.5564,1.8263,1.7218,0.472,2.5161
13.4909,1.3646,2.6931,1.834,1.1883,0.3133,0.5469,1.9211,1.9211,2.2017,1.0441,0.8052,0.8517,1.1119,0.5504,3.0588
13.5908,1.3477,3.4887,2.0571,1.1473,0.6184,0.9842,1.8724,1.8724,2.6196,0.7304,0.6556,0.4775,0.4582,0.4593,3.8767
13.6908,0.8385,2.5351,2.265,1.0612,1.104,1.4626,0.9156,0.9156,1.8255,0.3901,0.4226,1.1345,0.9528,0.2558,4.1333
13.7907,0.8334,0.942,2.4026,0.9308,1.3863,1.3347,0.6255,0.6255,2.9913,0.3263,0.6665,1.8286,1.1795,0.4985,4.1868
13.8906,1.0218,1.6008,2.5842,0.3984,1.3089,1.4339,0.9041,0.9041,2.5347,0.5483,0.734,2.2544,0.983,0.6898,4.1669
13.9906,1.9506,1.812,2.6844,0.3977,1.176,0.8712,1.319,1.319,3.0128,1.1622,0.4061,2.2506,1.3227,0.5759,3.4371
14.0905,0.7254,2.1464,2.5802,0.6349,0.3643,0.5408,1.6557,1.6557,2.8388,1.3031,0.0807,0.615,1.0903,0.331,2.3965
14.1904,1.7387,2.0478,2.4856,1.1186,0.6472,0.9908,1.7926,1.7926,2.0124,1.065,0.3298,0.0412,0.7158,0.3811,2.2218
14.2904,1.0659,0.5955,2.6082,1.3388,1.3723,1.3831,0.9891,0.9891,1.4926,0.7604,0.2835,1.4503,0.7846,0.4703,2.4696
14.3903,1.5446,1.7185,2.5992,1.1854,1.3974,1.3766,0.5114,0.5114,1.2156,0.0881,0.3995,2.1724,0.9662,0.4214,2.374
14.4902,1.0525,2.3333,2.1815,0.8356,1.2363,1.3378,1.0011,1.0011,1.7926,0.7812,0.7389,1.9682,0.5379,0.2894,1.8653
14.5902,0.4557,1.5851,1.7022,0.9217,0.9998,0.8725,1.3904,1.3904,2.8356,1.4735,0.8426,1.6126,0.8541,0.4504,1.2027
14.6901,1.5268,0.9075,1.8171,0.8156,0.1299,0.5332,1.4568,1.4568,2.5969,1.7639,0.5955,0.6042,0.9166,0.7392,0.4553
14.79,0.7202,0.1879,1.9782,1.0086,0.3911,0.5734,1.8179,1.8179,1.9724,1.3898,0.3477,0.5209,0.8481,0.6572,0.9179
14.8899,1.01,1.442,1.5997,1.4942,0.9812,0.8572,1.0022,1.0022,2.8499,0.6558,0.5043,1.3549,0.5804,0.5806,1.8945
14.9899,0.4169,2.4336,1.2123,1.6102,1.0703,1.0151,0.8977,0.8977,2.7133,0.3262,0.4191,1.3363,0.6586,0.847,2.3087
15.0898,1.3327,2.0207,1.8209,1.0329,1.1066,1.1642,0.8554,0.8554,2.5713,1.0785,0.1272,1.5545,0.1245,0.7514,2.1099
15.1897,1.4537,0.9768,2.3652,0.9414,1.0625,0.8506,0.9522,0.9522,2.1807,1.6833,0.4862,1.9959,0.4421,0.4301,1.5975
15.2897,0.6672,0.7254,2.1927,0.9351,0.5001,0.4654,1.4828,1.4828,0.841,1.708,0.6359,1.1123,0.7165,0.4655,1.5817
15.3896,0.4403,1.4025,1.8288,1.1302,0.279,0.7861,1.6217,1.6217,1.316,1.1789,0.4832,0.7157,0.8584,0.4005,1.9249
15.4895,0.8799,2.0777,2.3136,1.3759,0.9124,0.9637,1.1916,1.1916,1.8259,0.5037,0.4319,0.7292,0.4264,0.0995,2.1502
15.5895,0.6398,1.7641,2.9659,1.4974,1.173,0.8742,0.8362,0.8362,3.7854,0.3296,0.6279,1.5727,0.3512,0.2793,2.5548
15.6894,0.7995,1.0882,2.8685,0.9262,1.0698,1.2906,0.5642,0.5642,4.2798,0.997,0.6443,2.1105,0.4844,0.3941,2.6014
15.7893,1.0092,1.3906,2.1397,0.6566,0.9933,1.2461,0.9092,0.9092,4.9291,1.3833,0.4022,2.0683,0.4718,0.3834,1.902
15.8893,1.1644,1.4653,1.8804,0.56,0.4344,0.6336,1.1985,1.1985,4.6919,1.6199,0.2312,0.6231,0.4246,0.7552,0.9463
15.9892,1.2512,1.7081,2.4142,0.8494,0.1644,0.438,1.6751,1.6751,4.1907,1.4397,0.3131,0.2226,0.8241,0.9122,0.5431
16.0891,0.6697,1.5156,2.4743,1.1645,0.6946,0.7442,1.0762,1.0762,4.0473,0.8407,0.1514,1.1653,0.2894,0.712,0.7014
16.1891,0.2695,0.2715,1.7121,1.0582,0.9537,0.6424,1.0891,1.0891,3.241,0.224,0.2304,1.5204,0.2699,0.8253,0.6602
16.289,0.1498,1.3283,0.9722,0.6042,0.908,0.8471,0.6017,0.6017,2.2432,0.9554,0.5046,1.5066,0.9198,0.8957,0.5037
16.3889,0.5303,1.9093,1.5817,0.5064,1.0592,0.8989,0.6623,0.6623,1.3134,1.5603,0.5215,1.3958,0.809,0.6348,0.5235
16.4889,0.4852,1.612,1.9258,0.1569,0.5772,0.8662,1.2027,1.2027,1.2268,1.8404,0.4165,0.8142,0.3133,0.5588,1.1907
16.5888,0.4497,1.3921,1.4474,0.4464,0.3391,0.7409,1.4554,1.4554,1.3113,1.4631,0.4333,0.7851,0.6583,0.4521,1.917
16.6887,0.7721,1.3951,1.0821,0.8702,0.5249,0.3105,0.9906,0.9906,1.0769,0.6935,0.4198,0.7619,0.3732,0.1457,2.2364
16.7887,0.5156,1.8509,1.8892,0.7635,0.799,0.6916,0.9917,0.9917,1.0586,0.2806,0.2309,0.7989,0.4957,0.0841,2.2037
16.8886,0.3844,2.0368,2.4426,0.6201,0.9544,1.07,0.3275,0.3275,1.3671,1.2664,0.0818,1.4723,1.1373,0.1554,1.9778
16.9885,0.2005,1.7238,2.1985,0.5405,1.1731,0.9986,0.5518,0.5518,1.3731,1.5742,0.3077,1.8823,1.1113,0.3786,1.9792
17.0885,0.5719,1.5147,1.666,0.2292,0.618,0.6225,1.2114,1.2114,1.3319,1.6628,0.3136,1.0203,0.3639,0.558,2.2931
17.1884,0.2787,1.202,1.8895,0.0925,0.4054,0.519,1.4992,1.4992,1.7834,1.1105,0.329,0.7331,0.5565,0.6494,2.6733
17.2883,0.8203,1.9981,2.3925,0.2583,0.4039,0.3026,1.0935,1.0935,2.0432,0.4552,0.5904,0.4444,0.5409,0.5849,3.238
17.3883,0.1589,2.8014,2.2939,0.511,0.48,0.3595,0.8971,0.8971,1.7413,0.706,0.6511,1.2367,0.6457,0.6509,3.4067
17.4882,0.0933,2.074,1.6418,0.6083,0.841,0.7106,0.3116,0.3116,1.5037,1.1255,0.4431,1.6151,1.3234,0.7723,2.7946
17.5881,0.96,1.2022,1.2156,0.6089,1.1137,1.0496,0.5368,0.5368,1.5759,1.0641,0.4474,1.3647,1.2484,0.5611,1.879
17.6881,0.1459,1.5909,1.4693,0.4158,0.7793,0.8292,0.8616,0.8616,1.9447,1.2118,0.5932,0.3717,0.6385,0.3472,1.3834
17.788,1.1412,0.9624,1.4942,0.3109,0.5293,0.7439,1.5131,1.5131,2.2407,1.1924,0.4698,0.2696,0.5064,0.4562,1.5189
17.8879,0.159,1.8603,1.0279,0.4078,0.2537,0.1939,0.9122,0.9122,2.1741,0.8981,0.1951,0.6863,0.6498,0.4122,1.7042
17.9879,1.3578,2.6192,0.6932,0.7718,0.391,0.2712,1.1498,1.1498,1.9021,0.8289,0.3519,0.5969,0.8192,0.2861,1.8845
18.0878,0.5399,1.5864,1.0644,0.5908,0.8229,0.6415,0.3294,0.3294,1.4532,0.8117,0.5429,0.8164,1.2609,0.2749,1.759
18.1877,0.968,0.9233,1.287,0.6863,1.1017,0.8611,0.3466,0.3466,0.8827,0.9283,0.5055,1.2075,1.3044,0.3689,0.9781
18.2877,0.6772,1.4972,1.193,0.95,0.8366,0.7511,0.9765,0.9765,0.4723,1.3449,0.4367,0.7775,0.7599,0.4081,1.1708
18.3876,1.0957,0.5357,1.1935,0.7034,0.3453,0.7501,1.3075,1.3075,0.5751,1.2774,0.58,0.852,0.5722,0.4645,2.112
18.4875,0.9632,1.1291,1.4174,0.6273,0.0189,0.3498,1.0302,1.0302,1.0432,0.8486,0.562,0.2783,0.7598,0.427,2.6573
18.5875,1.0171,1.7562,1.5675,1.01,0.1917,0.1207,0.9274,0.9274,1.4825,0.7746,0.2718,0.6508,0.8278,0.2815,2.8474
18.6874,1.1052,1.0338,1.5446,0.9885,0.4166,0.4149,0.4752,0.4752,1.4948,0.9599,0.2965,1.315,1.1495,0.2709,2.685
18.7873,0.7822,0.5776,1.5021,0.8162,0.7418,0.6573,0.4088,0.4088,1.7435,0.9159,0.4231,1.451,1.1909,0.1695,2.3491
18.8872,0.9584,0.8882,1.4534,0.7703,0.6686,0.5992,0.882,0.882,1.9782,1.1915,0.2446,0.6703,0.8188,0.0644,1.9822
18.9872,0.3121,0.5297,1.3077,0.6696,0.5237,0.5054,1.4446,1.4446,2.2253,0.946,0.2169,0.5365,0.6553,0.1172,2.2217
19.0871,0.7765,0.6019,1.1364,0.8777,0.3208,0.3114,0.9321,0.9321,2.2437,0.805,0.4372,0.412,0.8195,0.3636,2.9319
19.187,0.4767,0.7367,1.1254,0.8651,0.1963,0.0812,0.977,0.977,1.9247,1.2552,0.4506,0.9083,0.7102,0.508,3.1423
19.287,0.9438,0.5554,1.1171,1.0718,0.4576,0.0746,0.3271,0.3271,1.69,1.1029,0.3184,0.8899,0.9059,0.4641,2.8075
19.3869,0.2019,0.4084,0.8592,0.976,0.7632,0.5042,0.2034,0.2034,1.2379,0.622,0.3665,0.5996,0.9587,0.6439,2.1867
19.4868,0.8654,0.4176,0.4997,0.5893,0.7603,0.662,0.5733,0.5733,0.8063,0.7416,0.5117,0.2209,0.7271,0.7371,1.5237
19.5868,0.432,0.5195,0.7042,0.4514,0.6663,0.6795,0.9477,0.9477,1.0466,1.0979,0.4194,0.192,0.7325,0.6024,1.0968
19.6867,1.0599,0.5866,0.9986,0.9072,0.1859,0.3676,0.9187,0.9187,1.4064,1.1963,0.1751,0.097,0.7438,0.5277,0.9944
19.7866,0.5308,0.5001,0.8797,0.9671,0.0945,0.271,0.9087,0.9087,1.9929,1.4643,0.3481,0.4586,0.5896,0.4563,1.3214
19.8866,1.0191,0.5627,0.5387,0.9131,0.2754,0.3315,0.3357,0.3357,2.3883,0.7028,0.3842,0.7995,0.5649,0.3753,1.2999
19.9865,0.3854,1.1583,0.8987,0.7872,0.5116,0.4152,0.0843,0.0843,2.1801,0.1423,0.1231,0.9984,0.6597,0.1871,0.7696
20.0864,0.7126,1.1096,1.4471,0.6723,0.4783,0.3665,0.5423,0.5423,2.0298,0.8493,0.2139,0.54,0.6404,0.1331,0.6437
20.1864,0.4833,0.1524,1.5304,0.2238,0.5255,0.4622,0.9553,0.9553,1.3329,1.2469,0.37,0.7179,0.6057,0.2507,1.11
20.2863,0.6837,1.3244,1.1092,0.4568,0.2134,0.5114,0.939,0.939,0.763,1.1218,0.2809,0.5672,0.646,0.2493,1.541
20.3862,0.9195,1.794,0.8798,0.6613,0.3195,0.4899,0.8241,0.8241,0.3498,1.2107,0.1472,0.9525,0.3943,0.5988,1.7298
20.4862,0.8296,1.3739,1.4835,0.7761,0.2092,0.466,0.4455,0.4455,0.9291,0.5368,0.2812,1.0592,0.2683,0.6786,1.6158
20.5861,1.0282,1.6,1.8756,0.7267,0.3633,0.4443,0.1035,0.1035,1.4189,0.3091,0.3154,0.7234,0.317,0.6333,1.1612
20.686,0.5098,1.3746,1.6033,0.737,0.5157,0.5255,0.4544,0.4544,1.7908,0.8505,0.1276,0.1051,0.3866,0.7786,1.1486
20.786,0.8144,0.2569,0.8617,0.5747,0.5718,0.3524,0.949,0.949,1.7773,1.0412,0.2411,0.3329,0.5202,0.7377,1.8645
20.8859,0.3292,2.0538,0.9432,0.221,0.3206,0.2896,0.8633,0.8633,1.2307,1.0469,0.4038,0.5153,0.4352,0.6407,2.1903
20.9858,0.675,2.6347,1.5693,0.2552,0.3178,0.1309,0.8567,0.8567,0.7071,1.3483,0.2464,0.6353,0.2126,0.5911,2.0978
21.0858,0.6289,1.8818,1.5571,0.7322,0.0722,0.526,0.3963,0.3963,0.329,0.7693,0.2283,0.6985,0.085,0.4115,1.7049
21.1857,1.0754,1.4949,0.8243,0.9576,0.2691,0.605,0.3458,0.3458,1.0526,0.2457,0.5311,0.9209,0.0805,0.2705,1.0035
21.2856,0.8009,1.0996,0.5131,1.1621,0.4974,0.648,0.3999,0.3999,1.5404,0.5792,0.5201,0.6009,0.1376,0.1282,0.3624
21.3856,0.7149,0.4294,1.3539,1.0977,0.4328,0.2875,0.5394,0.5394,2.9134,1.1857,0.1989,0.0836,0.2918,0.0494,0.8147
21.4855,0.8724,2.0314,1.5373,0.7594,0.3125,0.3804,0.7762,0.7762,3.5109,1.3257,0.2002,0.4473,0.2935,0.1371,1.5018
21.5854,0.8776,2.455,0.9436,0.8496,0.2945,0.4073,0.9034,0.9034,3.7528,1.6321,0.4217,1.0519,0.2232,0.3762,1.5601
21.6854,0.7837,1.6481,0.6808,0.6653,0.0084,0.5958,0.7573,0.7573,3.789,0.5681,0.3373,1.398,0.3111,0.4458,1.0195
21.7853,0.2392,1.0161,1.5968,1.0501,0.3065,0.468,0.3621,0.3621,3.0918,0.2242,0.0964,1.0551,0.3886,0.3345,0.9103
21.8852,0.9394,0.8678,1.9775,1.5431,0.4994,0.593,0.154,0.154,3.0826,0.9096,0.4378,0.2295,0.2077,0.5591,1.4608
21.9852,0.4439,0.83,1.5362,1.5583,0.3662,0.4603,0.4714,0.4714,1.7732,1.3797,0.5701,0.4568,0.1634,0.5983,2.1454
22.0851,0.9304,1.3672,0.928,1.074,0.1836,0.2753,0.6687,0.6687,1.2644,1.2836,0.3163,0.8081,0.271,0.3212,2.7058
22.185,0.3316,1.3677,1.5141,0.8444,0.1249,0.0945,0.8894,0.8894,0.7664,1.2889,0.2003,1.1751,0.4004,0.2907,2.9759
22.285,0.9274,0.7927,2.0509,0.7067,0.1599,0.5978,0.4805,0.4805,1.3158,0.346,0.4983,1.0752,0.5526,0.3318,2.7048
22.3849,0.5021,0.6677,1.7918,1.0042,0.2398,0.8095,0.4883,0.4883,1.307,0.1835,0.4208,0.7875,0.6165,0.2306,2.0427
22.4848,0.987,1.1631,1.0135,1.3775,0.2602,0.8473,0.181,0.181,1.7679,0.9027,0.0591,0.7132,0.4978,0.178,2.136
22.5848,0.101,1.5252,1.0604,1.3947,0.1988,0.572,0.5064,0.5064,2.2025,1.0199,0.3451,0.6144,0.248,0.2173,2.6687
22.6847,0.7619,1.3947,1.6248,1.1292,0.1542,0.0688,0.8716,0.8716,2.3572,0.8895,0.4679,0.5297,0.4473,0.2814,2.9951
22.7846,0.363,0.7004,1.534,0.4353,0.383,0.1293,0.7863,0.7863,1.9177,1.075,0.2817,0.8926,0.6113,0.3934,3.1606
22.8846,1.07,0.1585,0.8638,0.4804,0.2246,0.5414,0.4325,0.4325,1.0665,0.3823,0.1628,1.5103,0.6394,0.4391,2.9137
22.9845,0.5601,0.7178,0.8124,0.7116,0.1298,0.5787,0.3675,0.3675,0.1634,0.1543,0.4591,1.5363,0.8253,0.3432,2.2733
23.0844,0.8716,1.3466,1.4134,0.9583,0.1944,0.7472,0.2071,0.2071,1.1587,0.694,0.4678,0.9385,0.7145,0.3749,1.4405
23.1843,0.5676,1.9294,1.4817,1.052,0.3726,0.7767,0.2462,0.2462,2.001,1.0338,0.1133,0.1698,0.4823,0.326,1.0986
23.2843,0.7316,1.9592,1.077,1.0443,0.2357,0.4278,0.5183,0.5183,2.7956,1.0445,0.3739,0.7027,0.5739,0.0787,1.5625
23.3842,0.429,1.2899,1.0816,0.6034,0.3979,0.1645,0.707,0.707,3.0244,1.2844,0.616,1.4725,0.6984,0.0945,1.6187
23.4841,0.4302,0.505,1.5788,0.3537,0.1074,0.5947,0.4188,0.4188,2.3625,0.4107,0.4304,1.6783,0.6926,0.1335,1.2414
23.5841,0.6314,0.4807,1.7539,0.3246,0.172,0.7007,0.2981,0.2981,1.3083,0.0777,0.0899,1.1454,0.8333,0.391,0.6654
23.684,0.1549,1.0261,1.4987,0.4088,0.1967,0.8172,0.287,0.287,0.2149,0.8986,0.4406,0.5432,0.8839,0.3942,0.2874
23.7839,0.8677,1.7034,1.276,1.0581,0.4455,0.7147,0.3723,0.3723,1.2819,1.1585,0.5015,0.5869,0.6361,0.3741,1.0615
23.8839,0.5021,1.8846,1.4021,1.3618,0.1371,0.4084,0.4751,0.4751,1.8224,1.0248,0.2389,0.8553,0.6554,0.6427,1.7952
23.9838,0.7979,1.2837,1.5009,1.1214,0.1665,0.2309,0.5434,0.5434,2.0943,1.0066,0.2404,1.1639,0.7232,0.6803,2.1582
24.0837,0.2709,0.4802,1.317,0.9008,0.1248,0.3223,0.3963,0.3963,1.5854,0.1693,0.5192,1.3663,0.6513,0.5794,1.8324
24.1837,0.8437,0.2903,1.0241,0.6888,0.1473,0.6247,0.4787,0.4787,1.159,0.2365,0.4724,1.3831,0.8253,0.5705,1.2207
24.2836,0.2024,0.2669,0.8721,0.3963,0.2669,0.7762,0.2258,0.2258,0.5575,0.8766,0.0924,1.3012,0.8968,0.5943,1.1126
24.3835,0.2635,0.9524,0.8645,1.0301,0.3943,0.8401,0.3616,0.3616,0.2695,0.76,0.3706,0.8774,0.7279,0.5044,1.2596
24.4835,0.2634,1.2014,0.8724,1.3821,0.1576,0.4602,0.4075,0.4075,0.515,0.6933,0.5591,0.5007,0.6117,0.24,1.6065
24.5834,0.3504,0.8941,0.8655,1.5019,0.1853,0.2976,0.4609,0.4609,0.7301,0.7831,0.34,1.2066,0.708,0.236,1.826
24.6833,0.4019,1.0541,0.8439,1.3362,0.0648,0.379,0.2589,0.2589,0.5678,0.4187,0.1033,1.957,0.5914,0.159,1.6293
24.7833,0.3073,1.2646,0.9112,1.0309,0.1913,0.4858,0.2463,0.2463,0.8726,0.3869,0.4146,1.7507,0.7,0.2038,1.0452
24.8832,0.2376,0.7915,1.1523,0.6023,0.3789,0.7278,0.3738,0.3738,1.6282,0.6143,0.3828,1.1536,0.9043,0.3945,0.2774
24.9831,0.6151,0.3963,1.3228,0.9431,0.3359,1.0088,0.4325,0.4325,1.8855,0.5569,0.0636,0.4997,0.6726,0.3364,0.6027
25.0831,0.4154,0.4509,1.23,1.4454,0.2896,0.666,0.329,0.329,2.0906,0.5441,0.3274,0.7747,0.5459,0.5253,0.8902
25.183,0.1796,0.6926,0.9839,1.5637,0.1279,0.5047,0.5097,0.5097,1.839,0.8628,0.5017,1.4951,0.6172,0.5804,0.9132
25.2829,0.8858,1.5221,1.0233,1.5696,0.2013,0.3289,0.253,0.253,1.4553,0.4319,0.3405,1.7229,0.4997,0.4334,0.6724
25.3829,0.2836,1.8964,1.2169,1.1333,0.2621,0.3926,0.3062,0.3062,0.9998,0.2904,0.0909,1.3083,0.5413,0.5446,0.4387
25.4828,0.8161,1.5123,1.1027,0.5255,0.1929,0.598,0.3637,0.3637,0.611,0.5407,0.451,1.0532,0.7595,0.5172,1.1141
25.5827,0.0362,0.9906,0.6079,0.4416,0.3128,0.7528,0.4574,0.4574,0.3079,0.6211,0.5072,0.8143,0.6102,0.2884,1.927
25.6827,0.8822,0.5098,0.3923,1.0297,0.3308,0.5732,0.4244,0.4244,0.1472,0.5649,0.2168,0.7574,0.3402,0.1956,2.4786
25.7826,0.088,0.3708,0.7863,1.312,0.1298,0.5412,0.414,0.414,0.2952,0.7542,0.2616,1.0763,0.5076,0.1407,2.4023
25.8825,0.5199,1.3174,0.7755,1.211,0.1763,0.3391,0.2695,0.2695,0.7095,0.2916,0.4714,1.5818,0.4276,0.0394,1.9573
25.9825,0.1838,1.8693,0.3493,1.01,0.0823,0.258,0.3709,0.3709,0.7986,0.2871,0.3354,1.6853,0.3134,0.2336,1.7509
26.0824,0.8417,1.8752,0.6583,0.5624,0.2642,0.4986,0.1738,0.1738,0.9645,0.6106,0.0515,1.4765,0.5446,0.3505,1.752
26.1823,0.4462,1.6349,1.2161,0.1035,0.4384,0.8093,0.4074,0.4074,0.4953,0.5185,0.3967,0.8336,0.3955,0.2602,2.1387
26.2823,0.6722,1.1136,1.278,0.3043,0.3168,0.7745,0.2872,0.2872,0.4357,0.3926,0.492,0.4368,0.1713,0.3952,2.6447
26.3822,0.918,0.3708,0.8488,0.6487,0.2279,0.6008,0.5091,0.5091,0.2978,0.6844,0.2576,1.2926,0.299,0.5271,2.7609
26.4821,0.6487,0.5578,0.7142,0.8089,0.1009,0.3869,0.0762,0.0762,0.6575,0.6117,0.1681,1.9013,0.358,0.3633,2.3284
26.5821,1.0436,1.4129,1.2338,0.8361,0.1807,0.2947,0.2114,0.2114,0.6197,0.5492,0.4599,1.564,0.0637,0.3145,1.4451
26.682,0.8298,2.0821,1.3909,0.8672,0.2517,0.299,0.3641,0.3641,0.9199,0.4471,0.3937,1.1282,0.2962,0.37,0.8831
26.7819,0.97,2.1555,0.9441,0.6791,0.3544,0.5472,0.45,0.45,0.6549,0.3174,0.0375,0.6161,0.2632,0.2345,1.1102
26.8819,0.7959,1.5909,0.3579,0.3616,0.4037,0.5876,0.3994,0.3994,0.5993,0.3953,0.4258,0.7081,0.1854,0.1381,1.4623
26.9818,0.9968,0.9386,0.8685,0.116,0.3631,0.6587,0.5951,0.5951,0.9808,0.8677,0.5643,1.292,0.1387,0.2242,1.6974
27.0817,0.7388,0.2449,1.1333,0.7005,0.2226,0.5483,0.1322,0.1322,0.5902,0.6434,0.3373,1.4311,0.297,0.3133,1.4506
27.1816,0.6647,1.0185,0.7688,1.0493,0.1011,0.1041,0.2814,0.2814,0.4088,0.5396,0.0883,1.2724,0.1783,0.3062,0.8889
27.2816,0.2851,2.0486,0.4899,1.216,0.2108,0.3093,0.3158,0.3158,0.088,0.1745,0.4038,1.3104,0.1471,0.3533,0.9549
27.3815,1.1139,2.1946,1.2074,0.9673,0.4517,0.653,0.434,0.434,0.8944,0.512,0.4493,0.9883,0.1652,0.4332,1.8152
27.4814,0.1815,1.5466,1.6047,0.7675,0.5661,0.5728,0.4853,0.4853,1.0247,0.5315,0.2176,0.7442,0.3538,0.4405,2.4284
27.5814,1.0985,1.0597,1.3951,0.3744,0.4069,0.6673,0.5377,0.5377,1.6998,0.788,0.1572,0.9012,0.1148,0.373,2.4874
27.6813,0.5649,0.7239,1.0633,0.6219,0.207,0.706,0.1133,0.1133,1.7754,0.5202,0.3335,1.4914,0.2527,0.2503,2.2881
27.7812,1.1316,0.6071,1.4766,1.0813,0.0346,0.3379,0.3849,0.3849,1.6064,0.426,0.2229,1.5433,0.4229,0.2819,1.8807
27.8812,0.417,1.3425,1.9459,0.9997,0.2888,0.0933,0.2405,0.2405,1.387,0.3269,0.2264,1.3299,0.352,0.2034,1.3454
27.9811,1.1509,1.4245,1.8666,0.9053,0.318,0.4917,0.4469,0.4469,0.3174,0.5477,0.4733,0.6496,0.3146,0.0939,1.4437
28.081,0.3182,0.876,1.3847,0.5911,0.4918,0.6255,0.3816,0.3816,0.5765,0.5095,0.4368,0.3971,0.5585,0.2119,1.9487
28.181,0.9165,0.8527,1.3168,0.3826,0.3487,0.5,0.6435,0.6435,0.8715,0.6804,0.1155,1.0043,0.2986,0.1778,2.1954
28.2809,0.5639,1.0827,1.7098,0.5283,0.2109,0.3779,0.1254,0.1254,1.3152,0.4404,0.2572,1.3422,0.2727,0.4218,1.9132
28.3808,0.7823,0.835,1.7741,0.7454,0.2252,0.3478,0.3574,0.3574,1.2892,0.3965,0.4322,1.1046,0.5935,0.5189,1.2559
28.4808,0.274,0.4163,1.3763,0.9181,0.0734,0.2651,0.375,0.375,1.552,0.2566,0.3111,0.8856,0.586,0.4984,0.6123
28.5807,0.7125,0.1659,1.1339,0.716,0.3223,0.2509,0.4741,0.4741,1.1335,0.3905,0.079,0.5702,0.4098,0.5771,0.0778
28.6806,1.0531,0.3039,1.4842,0.5502,0.5926,0.5892,0.3746,0.3746,1.4164,0.5339,0.3685,0.7434,0.7006,0.5324,0.6317
28.7806,0.7955,0.8503,1.727,0.2191,0.4059,0.7041,0.5536,0.5536,1.1732,0.8238,0.4354,0.8441,0.478,0.4737,0.8492
28.8805,0.7045,1.5043,1.5718,0.1231,0.3552,0.6418,0.0971,0.0971,1.1099,0.6801,0.1665,0.9703,0.3223,0.4552,0.5844
28.9804,0.3466,1.8968,1.377,0.4259,0.2803,0.2672,0.2222,0.2222,1.0849,0.5021,0.2924,1.0557,0.7237,0.3167,0.171
29.0804,0.8951,1.8469,1.6131,0.5777,0.1159,0.215,0.2275,0.2275,0.9078,0.1553,0.5609,1.117,0.7028,0.2002,0.8815
29.1803,0.6084,1.4461,1.9358,0.2881,0.3906,0.393,0.4106,0.4106,1.2152,0.5856,0.4632,0.7819,0.5441,0.1364,1.5012
29.2802,0.4452,0.903,1.9556,0.1849,0.4442,0.4213,0.3847,0.3847,1.0577,0.8039,0.0962,0.7732,0.7063,0.1479,1.7805
29.3802,0.4729,0.7751,1.7159,0.3397,0.4432,0.4268,0.6274,0.6274,1.4962,0.9594,0.2805,0.6947,0.5627,0.1918,1.8588
29.4801,0.6278,1.5878,1.6058,0.5323,0.3484,0.5932,0.1093,0.1093,1.4755,0.5363,0.3874,1.1144,0.402,0.391,1.6388
29.58,0.7485,2.4961,1.766,0.4708,0.1749,0.454,0.2959,0.2959,1.8227,0.258,0.1958,1.0349,0.7642,0.4857,1.0874
29.68,0.6,2.7977,1.8554,0.2225,0.0452,0.267,0.2733,0.2733,1.9742,0.511,0.1748,0.8916,0.8487,0.4059,1.0097
29.7799,0.552,2.1717,1.6284,0.0642,0.1236,0.2298,0.3142,0.3142,2.1442,0.7331,0.4798,0.4312,0.4914,0.5226,1.5724
29.8798,0.7676,0.9614,1.2501,0.2425,0.4052,0.4984,0.3913,0.3913,2.5156,0.6724,0.5176,0.4741,0.6732,0.5655,1.9694
29.9798,0.6652,0.2034,1.1811,0.6271,0.5401,0.5835,0.6947,0.6947,1.8766,0.5672,0.2389,0.6381,0.6409,0.397,1.869
30.0797,0.4635,1.0749,1.373,0.6804,0.3205,0.5972,0.2451,0.2451,1.4539,0.3182,0.1569,0.732,0.4517,0.3561,1.3625
30.1796,0.5885,2.1592,1.3348,0.4024,0.3233,0.5095,0.274,0.274,0.7088,0.3986,0.3652,0.6375,0.7692,0.3114,0.7458
30.2796,0.4564,2.6954,1.024,0.028,0.1429,0.249,0.203,0.203,0.6188,0.5484,0.2539,0.7106,0.8512,0.166,0.2816
30.3795,0.8926,2.0621,1.0294,0.1991,0.2313,0.1159,0.3103,0.3103,0.8995,0.4414,0.1881,0.342,0.436,0.098,1.0638
30.4794,0.6139,0.8865,1.4514,0.4027,0.514,0.3783,0.4226,0.4226,1.7302,0.4447,0.368,0.7185,0.5361,0.1029,1.645
