Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y
,,,1.2771,0.8829,,,0.5957,0.6607
,,,1.1257,1.0768,,,0.6393,0.6165
,,,0.907,0.6294,,,0.6095,0.5899
,,,1.385,1.0323,,,0.5621,0.6435
,,,0.8249,1.0,,,0.54,0.6928
,,,1.1087,0.7821,,,0.6265,0.7502
,,,1.4688,1.2631,,,0.6955,0.7324
,,,0.9123,0.8956,,,0.7066,0.7279
,,,1.4315,0.8897,,,0.656,0.7463
,,,1.2248,1.1072,,,0.5906,0.7869
,,,0.9266,1.0202,,,0.6788,0.775
,,,1.6245,1.1154,,,0.7632,0.8143
,,,1.1035,1.1099,,,0.7967,0.8531
,,,1.3791,0.9013,,,0.8454,0.8499
,,,1.4809,1.121,,,0.7788,0.8495
,,,1.1566,1.2411,,,0.772,0.8737
,,,1.4461,1.158,,,0.8092,0.9549
,,,1.3758,1.1532,,,0.8822,0.9261
,,,1.4557,1.1828,,,1.0032,0.9289
,,,1.5407,1.0308,,,0.9225,0.9105
,,,1.4493,1.2371,,,0.8966,0.9524
,,,1.4135,1.5102,,,0.9041,0.9634
,,,1.4075,0.9285,,,0.9635,1.0013
,,,1.6617,1.3397,,,1.0661,1.0417
,,,1.5123,1.1925,,,1.0745,1.0634
,,,1.491,0.971,,,1.0485,1.1471
,,,1.8857,1.7198,,,0.9626,1.0985
,,,1.1442,1.0896,,,1.0337,1.1831
,,,1.6353,1.2148,,,1.1107,1.1385
,,,1.7196,1.584,,,1.2294,1.1905
,,,1.2566,0.8718,,,1.2202,1.2781
,,,2.1484,1.6349,,,1.1324,1.1967
,,,1.3584,1.5485,,,1.1461,1.1739
,,,1.2437,0.9871,,,1.0824,1.2281
,,,2.0675,1.71,,,1.2966,1.4031
,,,1.2008,1.0771,,,1.3707,1.3971
,,,1.9886,1.3741,,,1.329,1.3547
,,,1.993,1.7579,,,1.3126,1.3813
,,,0.975,1.1529,,,1.1814,1.3729
,,,1.9572,1.36,,,1.311,1.3237
,,,1.3765,1.3568,,,1.3743,1.3777
,,,1.6323,1.223,,,1.4261,1.4938
,,,2.396,1.7157,,,1.4649,1.4453
,,,1.5132,1.5316,,,1.3288,1.44
,,,1.4636,1.3325,,,1.373,1.5865
,,,1.6969,1.3185,,,1.4764,1.654
,,,1.4465,1.3328,,,1.6145,1.6589
,,,2.237,1.4427,,,1.6478,1.6132
,,,1.9591,1.57,,,1.5065,1.6162
,,,1.6537,1.6681,,,1.498,1.6913
,,,1.4608,1.0155,,,1.5907,1.6377
,,,1.5872,1.2971,,,1.6821,1.6989
,,,1.8381,1.7121,,,1.7159,1.764
,,,2.0264,1.3107,,,1.7326,1.738
,,,2.2438,1.8386,,,1.6694,1.7686
,,,0.9929,1.3045,,,1.6019,1.8459
,,,1.375,0.9903,,,1.7196,1.8853
,,,1.8159,1.7322,,,1.8601,1.874
,,,1.8081,1.355,,,1.9451,1.9334
,,,2.6391,1.743,,,1.9183,1.9077
,,,1.4771,1.772,,,1.8361,1.9785
,,,0.8058,0.8126,,,1.8023,2.0212
,,,1.8212,1.4712,,,1.9066,1.9889
,,,1.5476,1.5494,,,1.9932,2.0164
,,,2.3745,1.5621,,,2.0273,2.0016
,,,2.3696,1.9459,,,2.053,2.0674
,,,0.7851,1.3937,,,1.946,2.1803
,,,1.3914,0.873,,,1.9842,2.2033
,,,1.4897,1.609,,,2.1308,2.1029
,,,1.7078,1.5089,,,2.159,2.1958
,,,2.7114,1.6995,,,2.1828,2.2252
,,,1.6769,1.6069,,,2.1921,2.2325
