Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y
,,,4.4597,3.8072,,,1.6419,1.5106
,,,4.0571,2.7961,,,1.5518,2.0656
,,,3.4634,3.1814,,,1.8412,1.8838
,,,2.5502,2.3634,,,1.6217,1.6296
,,,0.5815,0.8683,,,1.8228,1.8447
,,,3.7571,2.9151,,,1.6715,1.444
,,,4.3186,3.3366,,,1.7728,1.9924
,,,3.4929,2.6806,,,1.576,1.7917
,,,3.253,2.7451,,,2.058,1.8574
,,,1.4213,1.3027,,,1.89,1.7965
,,,1.9154,1.9284,,,1.769,1.731
,,,3.9031,3.2973,,,1.7795,2.0292
,,,3.8608,2.9003,,,1.4602,1.7499
,,,3.1487,2.5482,,,2.1735,1.9439
,,,2.7819,2.2925,,,1.8241,1.5881
,,,0.5198,0.7194,,,1.7595,1.8951
,,,2.7989,2.2943,,,1.7281,1.7552
,,,3.97,3.2018,,,1.7581,1.6584
,,,3.1384,2.2996,,,1.9783,1.8375
,,,3.0989,2.137,,,1.7111,1.3679
,,,1.8771,1.2616,,,1.973,1.7673
,,,1.3013,1.408,,,1.6247,1.5832
,,,3.4417,2.7546,,,1.9186,1.9755
,,,3.4775,2.8113,,,1.7901,1.7325
,,,2.6872,2.114,,,1.5429,1.7512
,,,2.4678,2.3615,,,1.7254,1.7034
,,,1.0683,1.3419,,,1.5235,1.4956
,,,2.1203,2.3205,,,1.6935,1.978
,,,3.5225,3.1331,,,1.5013,1.7429
,,,2.6231,2.2927,,,1.8201,1.9739
,,,2.5944,1.8888,,,1.7435,1.7659
,,,2.0507,1.8804,,,1.8391,1.8603
,,,1.2616,1.7844,,,1.8827,1.7658
,,,2.7993,2.7121,,,1.6221,1.5218
,,,3.1774,2.2599,,,1.807,1.6408
,,,2.3994,1.5208,,,1.5404,1.5051
,,,2.4235,2.2525,,,1.6965,1.8549
,,,1.7902,1.8959,,,1.5667,1.7711
,,,1.6794,2.3451,,,1.5208,1.717
,,,2.8468,2.5297,,,1.6804,1.4165
,,,2.7996,1.6407,,,1.7279,1.1703
,,,2.2862,1.6463,,,1.6937,1.8635
,,,2.6272,1.7386,,,1.6966,1.5722
,,,2.0413,1.581,,,2.3427,1.2616
,,,2.5294,1.9137,,,1.8454,1.5057
,,,2.8974,1.9236,,,1.5127,1.7509
,,,2.5572,1.4793,,,2.0292,1.5083
,,,2.5474,1.8073,,,1.7506,1.3717
,,,2.8004,1.4616,,,2.1482,1.8174
,,,1.866,2.1458,,,1.749,2.1256
,,,1.5293,2.8856,,,2.3976,2.6075
,,,3.0543,2.9431,,,,
