Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
43.6705,0.0165,0.0147,0.1016,0.0865,0.0936,0.0955,0.0656,0.1518,0.1225,0.0293,0.1302,0.3919,1.5481,0.4308,0.031,0.072,0.1857,0.1544,0.3583,387.5937,0.106,0.0846,0.2143,0.2256,0.1291,0.2109
43.7704,0.0148,0.0151,0.1063,0.074,0.0918,0.0963,0.0622,0.1432,0.1129,0.0371,0.1204,0.4454,1.3746,0.7901,0.0311,0.0727,0.1802,0.1524,0.3642,350.1107,0.1031,0.0866,0.2268,0.2244,0.1377,0.1621
43.8704,0.0151,0.0148,0.1102,0.0559,0.089,0.0964,0.0582,0.1276,0.1041,0.0462,0.1288,0.4919,1.2044,0.3642,0.0334,0.0718,0.1762,0.184,0.3462,275.091,0.0993,0.0883,0.228,0.2322,0.1311,0.1982
43.9703,0.0172,0.0141,0.1122,0.0365,0.0853,0.094,0.0551,0.1071,0.1003,0.0526,0.1557,0.5192,1.4113,0.303,0.0359,0.0695,0.1752,0.2221,0.3119,171.8334,0.0954,0.089,0.217,0.245,0.1099,0.2991
44.0702,0.0199,0.0131,0.112,0.0295,0.0811,0.0874,0.0538,0.0841,0.1034,0.0543,0.1925,0.5201,2.3031,0.6278,0.0374,0.0663,0.1773,0.2464,0.2787,56.2868,0.0923,0.0885,0.1984,0.2562,0.0768,0.4101
44.1702,0.0222,0.0121,0.1101,0.0442,0.077,0.0754,0.0542,0.0621,0.1109,0.0507,0.2313,0.4941,1.1221,0.4924,0.0376,0.0628,0.181,0.248,0.2687,82.6551,0.091,0.0866,0.1816,0.261,0.0359,0.5038
44.2701,0.0232,0.0115,0.1069,0.0641,0.0739,0.0577,0.0553,0.0467,0.1188,0.0419,0.2662,0.4487,0.2778,0.1424,0.037,0.06,0.1842,0.2268,0.2907,195.1337,0.0921,0.083,0.177,0.2574,0.0091,0.5647
44.37,0.0228,0.0115,0.1034,0.0801,0.0727,0.0352,0.0558,0.0443,0.1234,0.0296,0.2937,0.3996,1.0025,0.1409,0.0365,0.0587,0.185,0.1914,0.3294,288.5183,0.0957,0.0777,0.1879,0.2472,0.0499,0.5828
44.47,0.021,0.012,0.1002,0.0886,0.0741,0.0134,0.055,0.0527,0.1232,0.0195,0.3113,0.3696,1.2747,0.071,0.0369,0.0593,0.1828,0.1618,0.3632,351.2426,0.1012,0.0708,0.207,0.235,0.084,0.5531
44.5699,0.0183,0.0126,0.0982,0.0884,0.0778,0.0271,0.0525,0.0635,0.1186,0.0253,0.3177,0.3781,1.5624,0.1304,0.0383,0.0615,0.1784,0.1637,0.3776,376.8752,0.1079,0.0623,0.2233,0.227,0.1069,0.476
