Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
50.9656,0.0235,0.0141,0.0991,0.0627,0.0659,0.0871,0.0382,0.0311,0.1097,0.0544,0.0706,0.6898,0.436,0.3514,0.0305,0.0523,0.157,0.1789,0.2056,431.8634,0.0871,0.0677,0.1755,0.2367,0.1588,0.5706
51.0655,0.0224,0.0129,0.1007,0.0636,0.0646,0.0718,0.037,0.0109,0.119,0.0459,0.1307,0.7014,0.7681,0.3797,0.0263,0.0489,0.1605,0.1426,0.2266,388.3749,0.0899,0.0666,0.1797,0.2353,0.1871,0.6366
51.1655,0.0197,0.0117,0.0995,0.0715,0.0649,0.0587,0.0373,0.0203,0.1244,0.0341,0.1887,0.6958,1.6322,0.2671,0.0256,0.0456,0.1683,0.1471,0.2418,300.0404,0.0927,0.065,0.1931,0.2243,0.2135,0.6723
51.2654,0.0161,0.0111,0.0958,0.0814,0.0663,0.0565,0.0387,0.0375,0.1241,0.0228,0.239,0.673,1.7349,0.2689,0.0297,0.0425,0.176,0.1875,0.2465,178.9213,0.0952,0.0632,0.2074,0.2077,0.2336,0.674
51.3653,0.0132,0.0114,0.0909,0.0895,0.0675,0.0674,0.0404,0.0506,0.1189,0.0217,0.2793,0.6362,1.3974,0.3793,0.0367,0.0395,0.18,0.231,0.2405,54.8911,0.097,0.062,0.2159,0.1924,0.2444,0.6409
51.4653,0.0128,0.0127,0.0875,0.0936,0.0676,0.0836,0.0415,0.0584,0.1107,0.033,0.3087,0.5936,1.5845,0.4922,0.0441,0.0364,0.1784,0.2575,0.2281,124.0732,0.0978,0.0619,0.2153,0.1855,0.2452,0.5765
51.5652,0.0154,0.0144,0.0877,0.0927,0.0664,0.0983,0.0411,0.0613,0.1032,0.047,0.3272,0.557,2.825,0.6016,0.0501,0.033,0.1719,0.259,0.2171,249.4259,0.0974,0.0634,0.2064,0.1899,0.2368,0.4904
51.6651,0.019,0.0158,0.0918,0.0864,0.0639,0.1076,0.0386,0.0605,0.0996,0.0589,0.3354,0.5385,3.2197,0.3996,0.0536,0.0291,0.1634,0.2363,0.216,347.587,0.0956,0.0666,0.1938,0.2019,0.2223,0.4031
51.7651,0.022,0.0166,0.098,0.075,0.061,0.11,0.0339,0.059,0.1011,0.0667,0.3336,0.5443,2.7079,0.6107,0.0541,0.0245,0.1574,0.1994,0.2276,404.5262,0.0924,0.0711,0.1844,0.2146,0.2067,0.3523
51.865,0.0237,0.0166,0.1038,0.0597,0.0587,0.1054,0.028,0.0605,0.106,0.0691,0.3221,0.5708,2.9911,0.4109,0.0516,0.0193,0.1573,0.1693,0.2468,413.5448,0.088,0.076,0.184,0.2222,0.1956,0.3764
51.9649,0.0236,0.0157,0.1071,0.044,0.0577,0.0947,0.023,0.0676,0.1112,0.0658,0.3011,0.6073,3.9936,0.7311,0.0463,0.014,0.1634,0.1722,0.2655,374.1471,0.0825,0.0809,0.1929,0.2223,0.1931,0.4655
52.0648,0.0217,0.014,0.1072,0.0371,0.0582,0.0803,0.0229,0.0798,0.1143,0.0569,0.2707,0.6436,5.1993,1.6762,0.0389,0.0106,0.1722,0.207,0.2767,291.7827,0.0765,0.085,0.2059,0.2158,0.1986,0.5779
52.1648,0.0185,0.012,0.1043,0.0468,0.0597,0.0665,0.0289,0.094,0.1141,0.0437,0.2313,0.6728,5.1973,1.2186,0.0311,0.0119,0.1793,0.2477,0.2775,177.1781,0.0709,0.0882,0.2161,0.2067,0.2072,0.6821
52.2647,0.0149,0.0103,0.0998,0.0649,0.0613,0.0598,0.0378,0.1074,0.1112,0.0291,0.1842,0.6924,3.776,0.463,0.0252,0.0168,0.1814,0.2739,0.2692,47.8809,0.0666,0.0901,0.2193,0.2002,0.213,0.7592
52.3646,0.0127,0.0096,0.0953,0.0821,0.0622,0.0653,0.0466,0.1175,0.1068,0.0216,0.1321,0.7019,4.4644,0.7094,0.0242,0.0227,0.1777,0.2761,0.2571,96.8282,0.0645,0.0908,0.2144,0.2002,0.2114,0.7982
52.4646,0.0135,0.0102,0.0923,0.0939,0.0619,0.08,0.0536,0.1226,0.1027,0.0301,0.0804,0.7007,4.2537,0.63,0.0279,0.0283,0.1697,0.2534,0.2492,217.8014,0.0653,0.0901,0.2039,0.2069,0.1999,0.7939
52.5645,0.0167,0.0116,0.0916,0.098,0.06,0.0974,0.0578,0.1218,0.1002,0.0442,0.0475,0.687,3.3819,0.4856,0.0332,0.0329,0.1614,0.2131,0.2519,312.3795,0.0686,0.0878,0.193,0.216,0.1786,0.7464
52.6644,0.0202,0.013,0.0929,0.0935,0.0566,0.1129,0.0589,0.1147,0.0996,0.056,0.0675,0.657,2.2563,1.2149,0.0375,0.0363,0.1572,0.1734,0.2656,369.1896,0.0736,0.0841,0.1876,0.2224,0.1494,0.661
52.7644,0.0228,0.0138,0.0955,0.0813,0.0519,0.1235,0.057,0.1019,0.1003,0.0623,0.1074,0.6066,0.7878,1.0918,0.0395,0.0382,0.1595,0.1621,0.2842,382.3704,0.0791,0.0792,0.1907,0.2225,0.1162,0.5495
52.8643,0.0238,0.0137,0.0985,0.064,0.0465,0.1277,0.0529,0.0843,0.1011,0.062,0.1426,0.5331,1.678,0.7033,0.0385,0.0385,0.167,0.1889,0.2999,351.4011,0.0841,0.0735,0.1999,0.2156,0.0845,0.4334
52.9642,0.0229,0.0127,0.101,0.0475,0.0414,0.1244,0.0483,0.0644,0.1016,0.055,0.1671,0.4375,1.0285,0.5272,0.0348,0.0373,0.1752,0.2289,0.3067,280.9291,0.0878,0.0675,0.2095,0.2044,0.0616,0.3505
53.0642,0.0202,0.0108,0.1024,0.0429,0.0386,0.1134,0.0451,0.047,0.1017,0.0421,0.1792,0.3267,0.2404,0.1801,0.0292,0.0347,0.18,0.2582,0.3024,180.0729,0.0897,0.0615,0.2143,0.1943,0.0528,0.3466
53.1641,0.0164,0.0085,0.1024,0.0545,0.0401,0.0957,0.0452,0.0417,0.1019,0.0259,0.1789,0.221,0.4671,0.2535,0.0234,0.0308,0.1789,0.2652,0.2894,61.4837,0.0899,0.0558,0.2117,0.1912,0.0529,0.4176
53.264,0.0126,0.0062,0.1008,0.0713,0.0459,0.0736,0.0485,0.0525,0.1026,0.0143,0.1682,0.1758,1.2291,0.9661,0.0204,0.0259,0.1721,0.2479,0.2742,62.8852,0.0883,0.0508,0.2023,0.1979,0.0509,0.5142
53.364,0.011,0.0054,0.0978,0.0851,0.0542,0.0532,0.0535,0.0698,0.1037,0.0243,0.1514,0.2362,1.2722,1.1012,0.0228,0.0204,0.1623,0.2129,0.2657,175.339,0.0857,0.047,0.19,0.2112,0.0415,0.6002
53.4639,0.0129,0.0064,0.0946,0.0925,0.0629,0.0483,0.0579,0.0859,0.1046,0.0407,0.1349,0.3379,0.5257,0.5977,0.0285,0.015,0.154,0.1774,0.27,265.3065,0.0826,0.045,0.1801,0.2251,0.0258,0.6577
53.5638,0.0165,0.0082,0.0926,0.0922,0.0704,0.0652,0.0603,0.0971,0.1042,0.0542,0.1279,0.4338,1.3843,0.378,0.0346,0.0105,0.1519,0.1676,0.286,322.716,0.0798,0.0455,0.1777,0.2339,0.022,0.679
53.6638,0.0199,0.0096,0.0931,0.0848,0.0754,0.0906,0.0597,0.1015,0.1023,0.0626,0.1376,0.5075,0.7396,0.0436,0.0392,0.0085,0.1568,0.1938,0.3057,341.6386,0.078,0.0482,0.183,0.2348,0.046,0.6623
53.7637,0.0218,0.0102,0.0962,0.0716,0.0776,0.1149,0.0559,0.0981,0.0992,0.0647,0.1628,0.5538,0.1867,0.3261,0.0415,0.0091,0.1656,0.2347,0.3204,320.5988,0.0774,0.0523,0.1921,0.228,0.076,0.6101
53.8636,0.022,0.0098,0.1008,0.0555,0.0768,0.1342,0.0494,0.0867,0.0966,0.0608,0.197,0.5732,1.3876,0.2498,0.0412,0.0102,0.173,0.2672,0.3242,262.6071,0.078,0.0568,0.1995,0.2169,0.1035,0.5281
53.9636,0.0203,0.0086,0.1047,0.041,0.0735,0.1465,0.0414,0.0678,0.0962,0.0515,0.234,0.5707,1.5633,0.6148,0.0388,0.0103,0.1753,0.28,0.3162,174.78,0.0795,0.0612,0.2014,0.2067,0.1244,0.4242
54.0635,0.0172,0.007,0.1063,0.0362,0.0686,0.1519,0.0343,0.0432,0.0994,0.0387,0.2697,0.5539,0.8901,0.7762,0.0353,0.0093,0.1707,0.2706,0.3008,68.1547,0.0818,0.0653,0.1971,0.2023,0.1365,0.3086
54.1634,0.0135,0.0059,0.1045,0.0446,0.0629,0.1512,0.0316,0.0218,0.1055,0.0255,0.3011,0.5323,2.1396,0.6504,0.032,0.0087,0.161,0.2452,0.2867,52.3473,0.0846,0.0694,0.1888,0.2051,0.1395,0.1973
54.2634,0.0112,0.0064,0.0996,0.0586,0.0571,0.1465,0.0354,0.0378,0.112,0.0194,0.3261,0.5152,2.253,0.4882,0.0301,0.0116,0.1501,0.2183,0.2836,160.8035,0.0876,0.0741,0.1808,0.2121,0.1354,0.1327
54.3633,0.0123,0.0084,0.0934,0.0718,0.0515,0.1404,0.0436,0.073,0.1166,0.0263,0.3431,0.5103,2.3458,0.4342,0.0303,0.0187,0.1439,0.2093,0.2952,253.4838,0.0903,0.0793,0.1776,0.2182,0.1291,0.1744
54.4632,0.016,0.0108,0.0882,0.0814,0.0458,0.1351,0.0531,0.1103,0.1173,0.0371,0.3508,0.5227,1.3203,0.486,0.0316,0.028,0.1463,0.2264,0.316,318.8476,0.0922,0.085,0.1814,0.2194,0.1275,0.266
54.5632,0.0201,0.0129,0.0863,0.0858,0.0395,0.1311,0.062,0.1458,0.1138,0.0456,0.3487,0.5533,1.5652,0.2802,0.0326,0.0382,0.1559,0.2568,0.3355,349.6239,0.093,0.0908,0.1898,0.2144,0.1359,0.3583
54.6631,0.023,0.0143,0.0886,0.0844,0.0327,0.1272,0.0693,0.1771,0.1072,0.0498,0.3363,0.5992,3.0024,0.5998,0.0323,0.0484,0.1676,0.2814,0.3447,342.404,0.0925,0.0963,0.1983,0.2049,0.1538,0.437
54.763,0.0243,0.0147,0.0933,0.0773,0.0267,0.1212,0.0747,0.2022,0.1004,0.0491,0.314,0.6542,2.6339,0.7292,0.0301,0.0576,0.1759,0.2878,0.3394,297.9037,0.0908,0.1013,0.203,0.1954,0.1754,0.4961
54.863,0.0237,0.0143,0.0981,0.0655,0.0255,0.1104,0.0782,0.2197,0.0971,0.0442,0.2823,0.7095,2.3635,0.4777,0.0267,0.0651,0.1777,0.2716,0.3211,220.8743,0.0881,0.1053,0.202,0.1907,0.1945,0.5319
54.9629,0.0213,0.0132,0.1011,0.0522,0.0321,0.0933,0.08,0.2287,0.0992,0.0367,0.2425,0.7551,2.8101,1.0219,0.0236,0.0702,0.1729,0.2367,0.2976,119.6346,0.0845,0.1082,0.1961,0.1932,0.2064,0.5415
55.0628,0.0176,0.012,0.1015,0.0443,0.0437,0.0698,0.0803,0.2289,0.1055,0.0311,0.1962,0.7815,4.3033,0.7845,0.0233,0.0724,0.1638,0.196,0.2809,7.3247,0.0801,0.1099,0.1881,0.2009,0.2082,0.5232
55.1628,0.014,0.0113,0.0996,0.049,0.0566,0.0438,0.0792,0.2207,0.1123,0.0328,0.1463,0.7808,4.4427,0.6215,0.0271,0.0717,0.1553,0.1728,0.2816,110.4484,0.0754,0.1102,0.1819,0.2091,0.1995,0.4768
55.2627,0.0126,0.0118,0.0964,0.0631,0.0684,0.0365,0.0768,0.2053,0.116,0.0419,0.098,0.748,3.4194,0.6526,0.0334,0.0683,0.1522,0.1851,0.2992,213.5675,0.071,0.1091,0.1805,0.2136,0.1818,0.4039
55.3626,0.0146,0.0133,0.0934,0.0783,0.0773,0.0658,0.0733,0.1846,0.1145,0.0532,0.0639,0.6825,3.3054,0.3893,0.0397,0.0626,0.1563,0.2201,0.3229,292.9562,0.0683,0.1067,0.1839,0.2123,0.1593,0.3093
55.4626,0.0185,0.0151,0.0916,0.0894,0.0822,0.107,0.0688,0.1613,0.1076,0.0628,0.0673,0.5883,3.2541,0.6262,0.0445,0.0556,0.165,0.2525,0.3398,339.2946,0.0681,0.1028,0.1893,0.2063,0.1385,0.2039
55.5625,0.0222,0.0166,0.0917,0.0937,0.0824,0.149,0.0634,0.1386,0.0974,0.0685,0.0965,0.4749,3.8333,1.1612,0.0466,0.0486,0.1735,0.2666,0.342,346.7579,0.0709,0.0975,0.1932,0.1991,0.1271,0.1254
55.6624,0.0245,0.0173,0.0935,0.0898,0.0774,0.1874,0.0577,0.1206,0.0882,0.0695,0.1258,0.3586,3.116,1.2637,0.0456,0.0433,0.1776,0.2565,0.328,313.7306,0.0762,0.0908,0.1931,0.1957,0.1288,0.1632
55.7624,0.025,0.0172,0.0965,0.0779,0.0673,0.2188,0.0519,0.1106,0.0852,0.0659,0.1464,0.2672,1.4834,0.708,0.0416,0.0414,0.1757,0.2246,0.3035,243.1167,0.0827,0.0826,0.1883,0.1994,0.1389,0.2711
55.8623,0.0236,0.0161,0.1001,0.0595,0.0525,0.2407,0.0464,0.1092,0.0907,0.0586,0.1551,0.2399,1.7088,0.4015,0.0354,0.0431,0.1689,0.1823,0.2805,142.2319,0.0895,0.0731,0.1806,0.2098,0.1488,0.3812
55.9622,0.0205,0.0145,0.1034,0.037,0.0338,0.2513,0.0412,0.114,0.1014,0.0497,0.1516,0.2803,1.8254,0.4758,0.0288,0.0474,0.1605,0.1523,0.2733,24.6261,0.0957,0.0626,0.1729,0.2227,0.1519,0.4728
56.0621,0.0164,0.0127,0.1058,0.0179,0.0126,0.2497,0.0363,0.1211,0.1117,0.0424,0.1378,0.3455,1.5523,0.2801,0.0254,0.0529,0.1552,0.1589,0.287,106.8196,0.1004,0.0515,0.1687,0.2329,0.1445,0.5355
56.1621,0.0127,0.0116,0.1064,0.0252,0.0117,0.2365,0.0311,0.1277,0.1176,0.0403,0.1174,0.4059,1.7248,0.5417,0.0283,0.0584,0.1563,0.193,0.3125,225.071,0.1031,0.0402,0.1695,0.2367,0.1259,0.5631
56.262,0.0118,0.0117,0.1049,0.0449,0.0347,0.2136,0.0249,0.1326,0.1169,0.0444,0.0977,0.4529,1.3466,1.1997,0.0357,0.0636,0.1632,0.2265,0.335,321.4386,0.1036,0.0292,0.1743,0.2326,0.0976,0.5528
56.3619,0.0144,0.0128,0.1016,0.0617,0.0567,0.1863,0.0176,0.1359,0.11,0.0517,0.0894,0.4875,0.7454,1.1664,0.044,0.0683,0.172,0.2418,0.3429,383.9537,0.1018,0.0188,0.1802,0.2222,0.0633,0.5053
56.4619,0.0182,0.0143,0.0975,0.0724,0.0759,0.1638,0.0097,0.1381,0.0991,0.0586,0.1002,0.5136,1.4762,0.6426,0.0506,0.0729,0.1782,0.2321,0.3318,404.5015,0.0979,0.0091,0.1841,0.2094,0.0311,0.4244
56.5618,0.0215,0.0154,0.0945,0.0762,0.0911,0.1588,0.0074,0.14,0.0891,0.063,0.1253,0.5343,1.8761,0.4644,0.0543,0.0774,0.179,0.1995,0.3047,379.7507,0.0926,0.0042,0.1847,0.1997,0.0308,0.3168
56.6617,0.0231,0.0157,0.094,0.0733,0.101,0.1786,0.0164,0.1419,0.0857,0.0636,0.1559,0.5491,2.2477,0.2829,0.0544,0.082,0.1739,0.1562,0.2722,311.7612,0.0865,0.0119,0.182,0.1973,0.0561,0.1919
56.7617,0.0228,0.015,0.0964,0.0646,0.1049,0.216,0.0277,0.1437,0.0914,0.0598,0.187,0.5544,1.5373,0.2075,0.0506,0.0863,0.165,0.1309,0.251,208.2352,0.0806,0.0209,0.1778,0.2026,0.0764,0.065
56.8616,0.0206,0.0133,0.1006,0.0515,0.1024,0.2592,0.0386,0.1445,0.1026,0.0518,0.2161,0.5453,1.9945,0.2735,0.0435,0.0899,0.1562,0.1525,0.254,85.2413,0.0754,0.0296,0.1746,0.2116,0.0857,0.0841
56.9615,0.0169,0.0108,0.1044,0.0364,0.0935,0.2988,0.0481,0.1431,0.1134,0.0406,0.2416,0.5187,2.6221,0.4047,0.0339,0.0923,0.1515,0.2015,0.2772,77.7155,0.0715,0.0375,0.1743,0.219,0.0823,0.198
57.0615,0.0126,0.008,0.1061,0.0236,0.0789,0.3285,0.0551,0.1384,0.1194,0.0288,0.2622,0.4751,1.8062,0.7113,0.0238,0.0931,0.1532,0.2463,0.304,202.92,0.0695,0.0444,0.1771,0.221,0.0673,0.2943
57.1614,0.0099,0.0059,0.1047,0.0227,0.0596,0.3444,0.0591,0.1295,0.1187,0.0239,0.2761,0.4192,1.7761,0.6691,0.0179,0.0918,0.1594,0.27,0.3191,311.9495,0.0693,0.05,0.1815,0.2163,0.0461,0.3643
57.2613,0.0114,0.0059,0.1006,0.0335,0.0372,0.3442,0.0597,0.116,0.1115,0.0319,0.2814,0.3609,2.0206,0.5165,0.0216,0.0884,0.1662,0.2663,0.3149,385.8761,0.0708,0.0545,0.1856,0.2066,0.0371,0.4046
57.3613,0.0154,0.0077,0.0952,0.0456,0.0148,0.3273,0.0568,0.0979,0.1004,0.0454,0.2762,0.3135,2.7991,0.7255,0.0305,0.0833,0.17,0.2364,0.2917,414.6723,0.0732,0.058,0.1875,0.1959,0.0591,0.4152
57.4612,0.0194,0.0097,0.0907,0.0548,0.0159,0.2947,0.051,0.0759,0.0902,0.0577,0.2597,0.2886,2.5065,0.5257,0.0393,0.0768,0.1689,0.1898,0.2575,394.3012,0.076,0.0608,0.1869,0.1889,0.0917,0.3994
57.5611,0.0222,0.0109,0.089,0.0591,0.0365,0.2487,0.0432,0.051,0.0868,0.0659,0.2322,0.287,1.1952,0.4501,0.0458,0.0699,0.1636,0.1489,0.2281,327.2777,0.0785,0.0629,0.1845,0.1886,0.1213,0.3632
57.6611,0.0231,0.0111,0.0903,0.0577,0.0549,0.1933,0.0354,0.0257,0.0924,0.0686,0.1963,0.2973,2.0352,0.7549,0.0491,0.0638,0.1564,0.1481,0.2207,223.8847,0.08,0.0645,0.1818,0.1943,0.1419,0.3143
57.761,0.0219,0.0102,0.0935,0.0503,0.0686,0.1344,0.0301,0.0137,0.1033,0.0654,0.1581,0.3059,2.1621,0.8834,0.0492,0.0594,0.1511,0.1878,0.2379,113.116,0.0803,0.0657,0.1804,0.2017,0.1506,0.2619
57.8609,0.0191,0.0083,0.0965,0.0378,0.0767,0.0841,0.03,0.0332,0.1139,0.0566,0.1299,0.3045,1.8108,0.7301,0.0463,0.0575,0.1506,0.2337,0.2637,122.7859,0.0794,0.0666,0.1809,0.2064,0.1464,0.2145
57.9609,0.0151,0.0061,0.0979,0.0231,0.0786,0.0716,0.0342,0.0544,0.1204,0.0435,0.1283,0.291,0.5516,0.9449,0.0414,0.0578,0.1553,0.2627,0.2807,242.4221,0.0775,0.0676,0.183,0.2054,0.1306,0.1789
58.0608,0.0116,0.0048,0.097,0.0188,0.0747,0.1032,0.0396,0.0712,0.1212,0.0282,0.155,0.2681,1.906,0.7459,0.036,0.0592,0.1625,0.2647,0.2787,354.9906,0.0751,0.0688,0.1851,0.1986,0.1077,0.1586
58.1607,0.0112,0.0061,0.094,0.0337,0.0655,0.1425,0.0437,0.0819,0.1171,0.0161,0.1942,0.2423,2.342,0.5402,0.0321,0.0604,0.1688,0.2378,0.2562,432.5715,0.0726,0.0703,0.1857,0.1885,0.0871,0.1541
58.2607,0.0144,0.0089,0.0899,0.0521,0.0525,0.1735,0.0454,0.0853,0.1107,0.0193,0.2324,0.2237,1.5283,0.2107,0.0316,0.0605,0.1713,0.1876,0.2202,462.7842,0.0706,0.0718,0.1838,0.1799,0.0831,0.1665
58.3606,0.0187,0.0116,0.0858,0.0675,0.0377,0.1911,0.0444,0.0809,0.1057,0.0312,0.2628,0.2254,1.2489,0.5708,0.0342,0.0591,0.169,0.1291,0.1873,440.7879,0.0693,0.0729,0.1795,0.1776,0.1,0.1973
58.4605,0.0223,0.0136,0.0828,0.0771,0.0258,0.1933,0.0414,0.069,0.1051,0.0417,0.282,0.2569,1.713,0.8717,0.0381,0.0561,0.1628,0.1,0.1801,368.9247,0.0688,0.0732,0.1737,0.1829,0.125,0.2437
58.5605,0.0243,0.0145,0.0816,0.0794,0.0249,0.1801,0.0376,0.0504,0.1091,0.0481,0.2888,0.3176,2.5496,1.0826,0.0413,0.0524,0.1548,0.1323,0.2042,257.2777,0.0693,0.0723,0.1683,0.1925,0.1463,0.299
58.6604,0.0243,0.0141,0.0826,0.0741,0.0346,0.1529,0.0352,0.028,0.1154,0.0498,0.2837,0.3996,2.2905,0.5603,0.0426,0.0492,0.1482,0.1836,0.2398,130.5017,0.0708,0.0702,0.1651,0.2011,0.1577,0.354
58.7603,0.0224,0.0126,0.0853,0.062,0.0461,0.1141,0.0363,0.0195,0.1207,0.047,0.2679,0.4932,1.6047,1.2191,0.0415,0.048,0.1454,0.2204,0.2663,108.877,0.0733,0.0671,0.1649,0.2042,0.1563,0.3992
58.8603,0.0189,0.0101,0.0892,0.0454,0.055,0.0669,0.041,0.0441,0.1228,0.0408,0.2431,0.5884,1.4004,1.092,0.0383,0.0499,0.1467,0.2307,0.2726,231.4639,0.0767,0.0633,0.1671,0.2,0.142,0.4261
58.9602,0.015,0.0073,0.093,0.0303,0.0597,0.0167,0.0477,0.0749,0.1211,0.0343,0.2106,0.6755,1.0232,0.3788,0.0335,0.0545,0.1504,0.2119,0.2563,350.8928,0.0807,0.0593,0.1702,0.1897,0.117,0.4279
59.0601,0.0127,0.0056,0.0958,0.03,0.0595,0.039,0.0545,0.1043,0.1164,0.033,0.1718,0.7453,1.5271,1.0848,0.0286,0.0604,0.1539,0.1685,0.2231,433.8016,0.085,0.0556,0.1727,0.1773,0.0859,0.4006
59.1601,0.0141,0.0069,0.0966,0.0451,0.0547,0.087,0.06,0.1296,0.1106,0.0404,0.1274,0.7904,2.2688,1.5163,0.0255,0.0662,0.1552,0.1146,0.1872,467.276,0.0892,0.0524,0.1738,0.1682,0.0578,0.3432
59.26,0.0181,0.0099,0.0948,0.0623,0.0461,0.1279,0.0633,0.1485,0.1061,0.0528,0.0784,0.8057,2.2913,1.1187,0.0257,0.0704,0.1537,0.0891,0.1714,446.7737,0.093,0.0502,0.1736,0.1662,0.0507,0.258
59.3599,0.0224,0.0129,0.0907,0.0759,0.0355,0.1578,0.0641,0.1594,0.1045,0.0653,0.0281,0.7893,1.8679,0.9727,0.0288,0.0724,0.15,0.1253,0.1881,375.7599,0.0959,0.0491,0.1726,0.171,0.0676,0.1507
59.4599,0.0255,0.0151,0.0854,0.0836,0.0277,0.1745,0.0623,0.1612,0.1063,0.0743,0.0365,0.7425,2.2024,0.2192,0.033,0.0716,0.1454,0.1788,0.2218,267.1797,0.0977,0.0491,0.1713,0.1782,0.0878,0.0361
59.5598,0.0269,0.0162,0.0808,0.0848,0.0295,0.1765,0.0581,0.1535,0.1104,0.0778,0.0901,0.6695,2.8689,0.4467,0.0367,0.0681,0.1415,0.2176,0.2506,155.2135,0.0984,0.0496,0.1701,0.1831,0.1002,0.1069
59.6597,0.0262,0.0161,0.0786,0.0799,0.0402,0.1638,0.0521,0.1364,0.1152,0.0747,0.142,0.577,3.5384,0.4234,0.0393,0.0621,0.1393,0.2302,0.2618,150.4041,0.0982,0.0499,0.1686,0.1826,0.1011,0.2293
59.7597,0.0236,0.0151,0.0796,0.0701,0.053,0.1375,0.0449,0.1109,0.1196,0.0646,0.1876,0.4737,2.6626,0.1229,0.0405,0.0544,0.1388,0.2135,0.2518,261.475,0.0975,0.0496,0.1667,0.1765,0.0897,0.3381
59.8596,0.0197,0.0134,0.0826,0.0573,0.0641,0.1003,0.0376,0.0787,0.1229,0.0487,0.2231,0.3709,2.2759,0.5507,0.0408,0.0461,0.1395,0.171,0.225,374.1465,0.0969,0.0486,0.1646,0.1669,0.0677,0.4233
59.9595,0.0158,0.0118,0.0855,0.0453,0.0714,0.0566,0.0318,0.0421,0.1248,0.0295,0.2456,0.2867,2.7608,0.7784,0.0406,0.0393,0.1404,0.1152,0.1947,451.1333,0.0964,0.0474,0.1629,0.1582,0.0386,0.4774
