Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y
,,,,,737.6313,756.3699,,,,,425.9193,629.7987,,
,,,,,723.6759,701.8435,,,,,632.7927,529.5063,,
,,,,,180.1923,446.2005,,,,,901.0257,977.6517,,
,,,,,642.4107,373.7811,,,,,1450.161,515.4415,,
,,,,,1051.566,733.0249,,,,,1358.299,418.884,,
,,,,,260.0555,702.7138,,,,,941.0959,829.4203,,
,,,,,35.6745,273.5765,,,,,808.9566,461.0737,,
,,,,,383.584,511.4065,,,,,578.5243,217.9594,,
,,,,,940.2455,344.8859,,,,,462.3134,723.3859,,
,,,,,467.7255,404.332,,,,,600.9446,563.7589,,
,,,,,1136.077,372.0856,,,,,775.9727,345.151,,
,,,,,710.0508,537.4169,,,,,749.3683,720.4489,,
,,,,,683.6342,708.4382,,,,,1060.192,414.8888,,
,,,,,634.7429,928.4869,,,,,1070.541,551.4067,,
,,,,,1655.292,411.6703,,,,,802.2567,698.7195,,
,,,,,1679.008,534.3268,,,,,776.6223,574.1754,,
,,,,,1760.357,389.488,,,,,625.4863,730.6343,,
,,,,,1314.252,543.4075,,,,,924.118,661.4466,,
,,,,,1362.075,335.5411,,,,,1063.928,210.8197,,
,,,,,278.5752,342.9329,,,,,646.8292,701.4847,,
,,,,,471.956,897.6693,,,,,676.2421,614.2568,,
,,,,,377.9427,698.7618,,,,,671.7693,157.7747,,
,,,,,668.8002,553.1985,,,,,440.3733,587.4206,,
,,,,,307.179,536.6469,,,,,488.117,650.7828,,
,,,,,296.2088,811.9824,,,,,531.412,303.5865,,
,,,,,854.5262,541.4598,,,,,554.7469,521.5894,,
,,,,,1012.826,305.0175,,,,,793.1208,1014.739,,
,,,,,1227.148,909.2515,,,,,1123.153,871.9145,,
,,,,,1346.591,962.6788,,,,,1289.947,294.1853,,
,,,,,2174.62,1608.026,,,,,1043.615,511.4143,,
,,,,,2324.624,632.1113,,,,,698.3606,614.5378,,
,,,,,2257.538,674.7382,,,,,614.1891,272.0987,,
,,,,,1350.867,372.8169,,,,,536.1911,616.5433,,
,,,,,345.7784,689.4247,,,,,444.6745,924.3632,,
,,,,,789.4884,157.7367,,,,,461.2749,527.3139,,
,,,,,847.0885,134.731,,,,,548.5052,267.7136,,
,,,,,723.5928,155.2303,,,,,362.0136,542.8548,,
,,,,,1504.117,511.503,,,,,650.0489,277.5016,,
,,,,,526.7404,669.4758,,,,,671.5837,305.8923,,
,,,,,328.4208,347.3376,,,,,238.7992,657.7665,,
,,,,,882.4588,668.6452,,,,,322.0811,621.7038,,
,,,,,1079.201,764.7939,,,,,230.6788,553.7819,,
,,,,,528.3711,691.8532,,,,,548.7833,263.401,,
,,,,,625.6467,294.3622,,,,,362.6872,851.4084,,
,,,,,476.9576,291.1344,,,,,219.2677,921.6957,,
,,,,,822.6113,572.2314,,,,,436.8849,551.1061,,
,,,,,1207.58,580.3215,,,,,1098.022,164.0142,,
,,,,,1251.53,64.8798,,,,,997.0139,568.2791,,
,,,,,979.819,554.4789,,,,,583.9835,666.0832,,
,,,,,172.6048,890.202,,,,,547.5795,628.4245,,
,,,,,1215.547,718.7549,,,,,327.288,371.7839,,
,,,,,1552.777,263.6725,,,,,217.4703,677.3246,,
,,,,,1619.849,565.5997,,,,,693.4757,620.4073,,
,,,,,1371.445,611.7697,,,,,822.9421,264.2667,,
,,,,,1299.533,709.132,,,,,742.712,417.1956,,
,,,,,376.4016,366.7284,,,,,673.4537,809.3046,,
,,,,,203.1579,407.3586,,,,,605.2419,531.7366,,
,,,,,514.1254,230.3707,,,,,451.2544,543.2587,,
,,,,,287.6585,176.485,,,,,245.6809,642.8597,,
,,,,,708.6522,409.0829,,,,,323.582,378.6931,,
,,,,,817.0416,379.536,,,,,567.637,305.5117,,
,,,,,246.9914,114.6592,,,,,430.0703,520.7025,,
,,,,,334.6935,149.7293,,,,,252.6844,592.3644,,
,,,,,556.6168,727.5573,,,,,568.8394,460.4409,,
,,,,,1004.905,1052.663,,,,,303.1469,794.1697,,
,,,,,920.9042,329.4265,,,,,139.8906,685.5075,,
,,,,,869.8913,309.5266,,,,,458.4102,539.0466,,
,,,,,,,,,,,597.3878,382.3173,,
,,,,,,,,,,,489.6603,758.6523,,
,,,,,,,,,,,408.7138,782.2089,,
,,,,,,,,,,,357.0294,506.4888,,
,,,,,,,,,,,337.2325,444.883,,
,,,,,,,,,,,154.9169,658.1765,,
,,,,,,,,,,,364.9693,528.9506,,
,,,,,,,,,,,348.1924,429.0817,,
,,,,,,,,,,,289.3355,230.2761,,
,,,,,,,,,,,54.7821,592.5011,,
,,,,,,,,,,,157.1987,526.9844,,
,,,,,,,,,,,191.7627,506.6102,,
,,,,,,,,,,,228.5146,411.1544,,
,,,,,,,,,,,884.9679,288.5257,,
,,,,,,,,,,,1068.203,966.5162,,
,,,,,,,,,,,1141.742,1179.806,,
